 Date Time CO OZ NO2 NO
 26.02.13 12:00 0.08 0.11 0.38 0.14
 -------- 13:00 0.09 0.14 0.36 0.12
 -------- 14:00 0.11 0.14 0.40 0.14
 -------- 15:00 0.09 0.15 0.38 0.12
 -------- 16:00 0.05 0.20 0.32 0.08
 26.02.13 17:00 0.06 0.23 0.33 0.08
 -------- 18:00 0.07 0.23 0.33 0.10
 -------- 19:00 0.09 0.14 0.39 0.09
 -------- 20:00 0.06 0.23 0.29 0.06
 -------- 21:00 0.06 0.22 0.29 0.06
 26.02.13 22:00 0.05 0.20 0.31 0.04
 -------- 23:00 0.05 0.22 0.27 0.05
 -------- 00:00 0.05 0.35 0.18 0.02
 -------- 01:00 0.05 0.37 0.17 0.02
 -------- 02:00 0.05 0.39 0.15 0.01
 27.02.13 03:00 0.04 0.46 0.10 0.01
 -------- 04:00 0.04 0.48 0.09 0.01
 -------- 05:00 0.05 0.42 0.13 0.01
 -------- 06:00 0.06 0.34 0.18 0.02
 -------- 07:00 0.09 0.31 0.19 0.03
 27.02.13 08:00 0.09 0.27 0.22 0.04
 -------- 09:00 0.11 0.21 0.26 0.05
 -------- 10:00 0.11 0.18 0.28 0.06
 -------- 11:00 0.11 0.16 0.30 0.06
 -------- 12:00 0.08 0.21 0.23 0.05
 27.02.13 13:00 0.09 0.20 0.25 0.06
 -------- 14:00 0.09 0.19 0.23 0.07
 -------- 15:00 0.09 0.20 0.22 0.06
 -------- 16:00 0.08 0.22 0.19 0.04
 -------- 17:00 0.07 0.24 0.20 0.05
 27.02.13 18:00 0.09 0.21 0.24 0.05
 -------- 19:00 0.06 0.25 0.19 0.03
