 Date Time CO OZ NO2 NO
 22.01.13 12:00 0.07 0.05 0.31 0.19
 -------- 13:00 0.10 0.08 0.27 0.13
 -------- 14:00 0.14 0.07 0.31 0.19
 -------- 15:00 0.19 0.04 0.38 0.26
 -------- 16:00 0.17 0.04 0.36 0.22
 22.01.13 17:00 0.15 0.04 0.32 0.15
 -------- 18:00 0.18 0.02 0.35 0.18
 -------- 19:00 0.15 0.01 0.35 0.16
 -------- 20:00 0.10 0.04 0.29 0.08
 -------- 21:00 0.15 0.01 0.34 0.13
 22.01.13 22:00 0.11 0.05 0.27 0.07
 -------- 23:00 0.09 0.05 0.28 0.08
 -------- 00:00 0.11 0.03 0.29 0.06
 -------- 01:00 0.07 0.06 0.25 0.03
 -------- 02:00 0.05 0.06 0.25 0.02
 23.01.13 03:00 0.04 0.08 0.23 0.02
 -------- 04:00 0.04 0.07 0.24 0.03
 -------- 05:00 0.04 0.07 0.23 0.03
 -------- 06:00 0.06 0.07 0.24 0.04
 -------- 07:00 0.12 0.02 0.31 0.13
 23.01.13 08:00 0.14 0.01 0.36 0.22
 -------- 09:00 0.20 0.01 0.36 0.24
 -------- 10:00 0.25 0.01 0.39 0.34
 -------- 11:00 0.24 0.02 0.38 0.32
 -------- 12:00 0.18 0.03 0.34 0.25
 23.01.13 13:00 0.15 0.05 0.30 0.20
 -------- 14:00 0.13 0.08 0.26 0.15
 -------- 15:00 0.11 0.11 0.24 0.12
 -------- 16:00 0.11 0.10 0.25 0.10
 -------- 17:00 0.13 0.03 0.35 0.16
 23.01.13 18:00 0.12 0.01 0.36 0.16
 -------- 19:00 0.13 0.01 0.35 0.12
 -------- 20:00 0.19 0.01 0.35 0.15
 -------- 21:00 0.15 0.01 0.33 0.11
 -------- 22:00 0.40 0.06 0.26 0.06
 23.01.13 23:00 0.15 0.02 0.30 0.11
 -------- 00:00 0.15 0.01 0.34 0.14
 -------- 01:00 0.17 0.01 0.36 0.21
 -------- 02:00 0.33 0.01 0.43 0.57
 -------- 03:00 0.37 0.01 0.48 0.80
 24.01.13 04:00 0.29 0.01 0.76 1.45
 -------- 05:00 0.36 0.01 0.65 1.14
 -------- 06:00 0.43 0.01 0.64 1.14
 -------- 07:00 0.49 0.01 0.63 1.01
 -------- 08:00 0.43 0.01 0.55 0.76
 24.01.13 09:00 0.27 0.01 0.43 0.42
 -------- 10:00 0.16 0.01 0.41 0.28
 -------- 11:00 0.13 0.01 0.38 0.25
 -------- 12:00 0.08 0.01 0.37 0.17
