 Date Time CO OZ NO2 NO
 03.01.13 12:00 0.13 0.07 0.25 0.07
 -------- 13:00 0.13 0.11 0.21 0.05
 -------- 14:00 0.15 0.11 0.20 0.07
 -------- 15:00 0.14 0.12 0.19 0.06
 -------- 16:00 0.13 0.09 0.22 0.06
 03.01.13 17:00 0.10 0.12 0.15 0.04
 -------- 18:00 0.08 0.15 0.13 0.05
 -------- 19:00 0.13 0.10 0.19 0.07
 -------- 20:00 0.14 0.05 0.24 0.07
 -------- 21:00 0.13 0.07 0.19 0.06
 03.01.13 22:00 0.12 0.06 0.18 0.05
 -------- 23:00 0.12 0.08 0.17 0.05
 -------- 00:00 0.09 0.09 0.15 0.04
 -------- 01:00 0.09 0.08 0.14 0.03
 -------- 02:00 0.08 0.08 0.13 0.03
 04.01.13 03:00 0.07 0.10 0.11 0.02
 -------- 04:00 0.06 0.11 0.10 0.02
 -------- 05:00 0.04 0.12 0.10 0.02
 -------- 06:00 0.05 0.11 0.12 0.03
 -------- 07:00 0.06 0.11 0.12 0.03
 04.01.13 08:00 0.07 0.10 0.15 0.05
 -------- 09:00 0.09 0.04 0.21 0.07
 -------- 10:00 0.15 0.01 0.22 0.11
 -------- 11:00 0.15 0.01 0.24 0.13
 -------- 12:00 0.15 0.01 0.23 0.15
 04.01.13 13:00 0.15 0.01 0.23 0.13
 -------- 14:00 0.10 0.04 0.20 0.11
 -------- 15:00 0.09 0.06 0.19 0.08
 -------- 16:00 0.10 0.05 0.21 0.08
 -------- 17:00 0.11 0.02 0.24 0.09
 04.01.13 18:00 0.10 0.03 0.23 0.08
 -------- 19:00 0.11 0.01 0.24 0.10
 -------- 20:00 0.11 0.01 0.24 0.07
 -------- 21:00 0.16 0.01 0.26 0.14
 -------- 22:00 0.18 0.01 0.26 0.15
 04.01.13 23:00 0.15 0.01 0.25 0.14
 -------- 00:00 0.09 0.02 0.22 0.05
 -------- 01:00 0.09 0.01 0.24 0.08
 -------- 02:00 0.14 0.01 0.25 0.19
 -------- 03:00 0.18 0.01 0.25 0.26
 05.01.13 04:00 0.12 0.01 0.21 0.11
 -------- 05:00 0.09 0.01 0.20 0.08
 -------- 06:00 0.07 0.01 0.18 0.06
 -------- 07:00 0.07 0.01 0.16 0.06
 -------- 08:00 0.06 0.01 0.17 0.05
 05.01.13 09:00 0.07 0.02 0.19 0.04
 -------- 10:00 0.11 0.03 0.20 0.05
 -------- 11:00 0.10 0.02 0.19 0.07
