 Date Time CO OZ NO2 NO
 14.03.13 12:00 0.08 0.10 0.41 0.12
 -------- 13:00 0.09 0.08 0.42 0.14
 -------- 14:00 0.08 0.07 0.43 0.17
 -------- 15:00 0.13 0.06 0.47 0.19
 -------- 16:00 0.11 0.04 0.50 0.17
 14.03.13 17:00 0.13 0.02 0.50 0.17
 -------- 18:00 0.15 0.01 0.52 0.21
 -------- 19:00 0.14 0.02 0.47 0.13
 -------- 20:00 0.12 0.05 0.41 0.08
 -------- 21:00 0.10 0.05 0.40 0.08
 14.03.13 22:00 0.07 0.07 0.37 0.04
 -------- 23:00 0.08 0.01 0.44 0.07
 -------- 00:00 0.09 0.01 0.43 0.06
 -------- 01:00 0.08 0.02 0.40 0.04
 -------- 02:00 0.08 0.02 0.38 0.03
 15.03.13 03:00 0.08 0.02 0.36 0.04
 -------- 04:00 0.06 0.02 0.33 0.03
 -------- 05:00 0.07 0.03 0.32 0.04
 -------- 06:00 0.09 0.01 0.36 0.07
 -------- 07:00 0.14 0.01 0.37 0.09
 15.03.13 08:00 0.13 0.01 0.35 0.12
 -------- 09:00 0.11 0.02 0.31 0.09
 -------- 10:00 0.15 0.05 0.30 0.07
 -------- 11:00 0.11 0.06 0.29 0.07
 -------- 12:00 0.14 0.04 0.32 0.11
 15.03.13 13:00 0.07 0.08 0.26 0.07
 -------- 14:00 0.08 0.10 0.25 0.06
 -------- 15:00 0.07 0.11 0.25 0.06
 -------- 16:00 0.07 0.13 0.22 0.04
 -------- 17:00 0.06 0.16 0.21 0.03
 15.03.13 18:00 0.06 0.19 0.19 0.02
 -------- 19:00 0.06 0.22 0.17 0.02
 -------- 20:00 0.07 0.18 0.19 0.02
 -------- 21:00 0.15 0.16 0.19 0.03
 -------- 22:00 0.22 0.14 0.19 0.03
 15.03.13 23:00 0.08 0.10 0.22 0.04
 -------- 00:00 0.07 0.04 0.27 0.05
 -------- 01:00 0.09 0.01 0.30 0.07
 -------- 02:00 0.09 ---- 0.31 0.10
 -------- 03:00 0.09 ---- 0.32 0.11
 16.03.13 04:00 0.11 0.01 0.30 0.10
 -------- 05:00 0.05 0.01 0.28 0.05
 -------- 06:00 0.05 0.01 0.28 0.06
 -------- 07:00 0.07 0.01 0.27 0.07
 -------- 08:00 0.09 0.01 0.28 0.10
 16.03.13 09:00 0.10 0.01 0.29 0.14
 -------- 10:00 0.09 0.01 0.29 0.16
 -------- 11:00 0.08 0.02 0.29 0.14
