 Date Time CO OZ NO2 NO
 28.11.12 12:00 0.04 0.01 0.18 0.12
 -------- 13:00 0.04 0.01 0.18 0.14
 -------- 14:00 0.04 0.01 0.17 0.13
 -------- 15:00 ---- 0.01 0.17 0.11
 -------- 16:00 ---- 0.01 0.19 0.09
 28.11.12 17:00 ---- 0.01 0.20 0.08
 -------- 18:00 ---- 0.01 0.19 0.06
 -------- 19:00 ---- 0.01 0.19 0.05
 -------- 20:00 ---- 0.01 0.17 0.04
 -------- 21:00 ---- 0.03 0.17 0.02
 28.11.12 22:00 ---- 0.05 0.14 0.02
 -------- 23:00 ---- 0.05 0.13 0.01
 -------- 00:00 ---- 0.05 0.13 0.01
 -------- 01:00 ---- 0.06 0.13 0.01
 -------- 02:00 ---- 0.06 0.13 0.02
 29.11.12 03:00 ---- 0.07 0.11 0.01
 -------- 04:00 ---- 0.09 0.09 0.01
 -------- 05:00 ---- 0.09 0.10 0.01
 -------- 06:00 ---- 0.09 0.11 0.01
 -------- 07:00 ---- 0.08 0.12 0.01
 29.11.12 08:00 ---- 0.06 0.14 0.02
 -------- 09:00 ---- 0.07 0.14 0.02
 -------- 10:00 ---- 0.10 0.12 0.02
 -------- 11:00 ---- 0.10 0.13 0.02
 -------- 12:00 ---- 0.09 0.14 0.03
 29.11.12 13:00 ---- 0.11 0.12 0.02
 -------- 14:00 ---- 0.11 0.12 0.02
 -------- 15:00 ---- 0.10 0.13 0.02
 -------- 16:00 ---- 0.09 0.13 0.02
 -------- 17:00 ---- 0.08 0.15 0.02
 29.11.12 18:00 ---- 0.07 0.14 0.02
 -------- 19:00 ---- 0.08 0.13 0.01
 -------- 20:00 ---- 0.08 0.13 0.02
 -------- 21:00 ---- 0.08 0.13 0.01
 -------- 22:00 ---- 0.05 0.13 0.02
 29.11.12 23:00 ---- 0.05 0.13 0.02
 -------- 00:00 ---- 0.05 0.14 0.02
 -------- 01:00 ---- 0.05 0.13 0.02
 -------- 02:00 ---- 0.07 0.12 0.02
 -------- 03:00 ---- 0.08 0.11 0.01
 30.11.12 04:00 ---- 0.09 0.10 0.01
 -------- 05:00 ---- 0.10 0.08 0.01
 -------- 06:00 ---- 0.09 0.10 0.02
 -------- 07:00 ---- 0.07 0.10 0.02
 -------- 08:00 ---- 0.07 0.11 0.02
 30.11.12 09:00 ---- 0.06 0.12 0.02
 -------- 10:00 0.02 0.05 0.13 0.03
 -------- 11:00 0.02 0.05 0.13 0.04
