 Date Time CO OZ NO2 NO
 30.11.12 00:00 ---- 0.04 0.14 0.02
 -------- 01:00 ---- 0.05 0.13 0.02
 -------- 02:00 ---- 0.07 0.12 0.02
 -------- 03:00 ---- 0.08 0.11 0.01
 -------- 04:00 ---- 0.09 0.10 0.01
 30.11.12 05:00 ---- 0.10 0.08 0.01
 -------- 06:00 ---- 0.09 0.10 0.02
 -------- 07:00 ---- 0.07 0.10 0.02
 -------- 08:00 ---- 0.07 0.11 0.02
 -------- 09:00 ---- 0.06 0.12 0.02
 30.11.12 10:00 0.02 0.05 0.13 0.03
 -------- 11:00 0.02 0.05 0.13 0.04
 -------- 12:00 0.02 0.04 0.14 0.04
 -------- 13:00 0.03 0.03 0.14 0.04
 -------- 14:00 0.04 0.03 0.13 0.04
 30.11.12 15:00 0.04 0.03 0.13 0.04
 -------- 16:00 0.04 0.02 0.13 0.05
 -------- 17:00 ---- 0.01 0.14 0.06
 -------- 18:00 0.02 0.01 0.14 0.07
 -------- 19:00 0.02 0.01 0.15 0.10
 30.11.12 20:00 0.03 0.01 0.16 0.17
 -------- 21:00 0.07 0.01 0.20 0.40
 -------- 22:00 0.14 0.01 0.22 0.32
 -------- 23:00 0.15 ---- 0.21 0.32
 -------- 00:00 0.17 0.01 0.21 0.24
 01.12.12 01:00 0.15 0.01 0.24 0.13
 -------- 02:00 0.11 0.01 0.23 0.06
 -------- 03:00 ---- 0.01 0.24 0.06
 -------- 04:00 ---- ---- 0.26 0.11
 -------- 05:00 ---- 0.01 0.25 0.09
 01.12.12 06:00 ---- 0.04 0.18 0.05
 -------- 07:00 ---- 0.04 0.17 0.06
 -------- 08:00 ---- 0.02 0.18 0.10
 -------- 09:00 ---- 0.01 0.18 0.11
 -------- 10:00 ---- 0.01 0.17 0.12
 01.12.12 11:00 ---- 0.01 0.18 0.19
 -------- 12:00 0.02 0.01 0.17 0.21
 -------- 13:00 0.02 0.01 0.20 0.23
 -------- 14:00 ---- 0.01 0.21 0.21
 -------- 15:00 ---- 0.01 0.18 0.19
 01.12.12 16:00 0.06 0.01 0.19 0.30
 -------- 17:00 0.11 0.01 0.20 0.28
 -------- 18:00 0.15 0.01 0.20 0.29
 -------- 19:00 0.14 0.01 0.22 0.35
 -------- 20:00 0.13 0.01 0.18 0.23
 01.12.12 21:00 0.09 0.01 0.19 0.31
 -------- 22:00 0.10 0.01 0.20 0.32
 -------- 23:00 ---- 0.01 0.19 0.29
