 Date Time CO OZ NO2 NO
 15.02.13 12:00 0.24 0.03 0.37 0.27
 -------- 13:00 0.17 0.03 0.34 0.21
 -------- 14:00 0.14 0.05 0.32 0.16
 -------- 15:00 0.13 0.07 0.33 0.14
 -------- 16:00 0.15 0.06 0.34 0.16
 15.02.13 17:00 0.15 0.05 0.35 0.10
 -------- 18:00 0.13 0.04 0.36 0.06
 -------- 19:00 0.09 0.07 0.31 0.02
 -------- 20:00 0.16 0.03 0.36 0.13
 -------- 21:00 0.24 0.01 0.39 0.20
 15.02.13 22:00 0.11 0.03 0.36 0.03
 -------- 23:00 0.09 0.05 0.33 0.02
 -------- 00:00 0.12 0.01 0.37 0.05
 -------- 01:00 0.14 0.01 0.37 0.07
 -------- 02:00 0.12 0.01 0.36 0.03
 16.02.13 03:00 0.13 0.01 0.36 0.06
 -------- 04:00 0.13 0.01 0.36 0.06
 -------- 05:00 0.13 0.01 0.36 0.08
 -------- 06:00 0.16 0.01 0.36 0.09
 -------- 07:00 0.17 0.01 0.38 0.13
 16.02.13 08:00 0.21 0.01 0.38 0.18
 -------- 09:00 0.23 0.01 0.37 0.21
 -------- 10:00 0.27 0.01 0.39 0.23
 -------- 11:00 0.25 0.01 0.39 0.22
 -------- 12:00 0.26 0.02 0.42 0.29
 16.02.13 13:00 0.22 0.02 0.42 0.24
 -------- 14:00 0.13 0.03 0.39 0.14
 -------- 15:00 0.13 0.05 0.37 0.12
 -------- 16:00 0.06 0.15 0.23 0.04
 -------- 17:00 0.06 0.14 0.24 0.03
 16.02.13 18:00 0.07 0.10 0.26 0.03
 -------- 19:00 0.12 0.03 0.33 0.06
 -------- 20:00 0.08 0.05 0.28 0.04
 -------- 21:00 0.04 0.19 0.15 0.02
 -------- 22:00 0.04 0.22 0.14 0.02
 16.02.13 23:00 0.03 0.23 0.14 0.02
 -------- 00:00 0.05 0.24 0.15 0.02
 -------- 01:00 0.07 0.24 0.15 0.01
 -------- 02:00 0.06 0.20 0.17 0.02
 -------- 03:00 0.07 0.23 0.14 0.01
 17.02.13 04:00 0.05 0.26 0.11 0.01
 -------- 05:00 0.06 0.27 0.11 0.01
 -------- 06:00 0.07 0.25 0.11 0.02
 -------- 07:00 0.06 0.21 0.12 0.01
 -------- 08:00 0.06 0.27 0.11 0.01
 17.02.13 09:00 0.08 0.24 0.17 0.02
 -------- 10:00 0.11 0.13 0.20 0.05
 -------- 11:00 0.13 0.15 0.17 0.05
 -------- 12:00 0.08 0.20 0.14 0.03
