 Date Time CO OZ NO2 NO
 25.12.12 12:00 0.15 0.02 0.32 0.15
 -------- 13:00 0.12 0.02 0.30 0.13
 -------- 14:00 0.13 0.02 0.33 0.14
 -------- 15:00 0.13 0.02 0.31 0.13
 -------- 16:00 0.11 0.02 0.31 0.10
 25.12.12 17:00 0.11 0.02 0.30 0.10
 -------- 18:00 0.13 0.01 0.31 0.11
 -------- 19:00 0.15 0.01 0.31 0.13
 -------- 20:00 0.12 0.01 0.29 0.09
 -------- 21:00 0.10 0.01 0.27 0.05
 25.12.12 22:00 0.09 0.02 0.25 0.05
 -------- 23:00 0.07 0.02 0.25 0.05
 -------- 00:00 0.11 0.02 0.27 0.06
 -------- 01:00 0.07 0.05 0.23 0.03
 -------- 02:00 0.06 0.09 0.20 0.02
 26.12.12 03:00 0.06 0.12 0.17 0.01
 -------- 04:00 0.06 0.12 0.18 0.01
 -------- 05:00 0.06 0.10 0.19 0.01
 -------- 06:00 0.07 0.10 0.19 0.02
 -------- 07:00 0.09 0.07 0.23 0.06
 26.12.12 08:00 0.11 0.06 0.23 0.07
 -------- 09:00 0.15 0.04 0.26 0.11
 -------- 10:00 0.13 0.01 0.29 0.15
 -------- 11:00 0.12 0.02 0.26 0.11
 -------- 12:00 0.11 0.03 0.24 0.10
 26.12.12 13:00 0.10 0.04 0.23 0.10
 -------- 14:00 0.12 0.03 0.25 0.12
 -------- 15:00 0.13 0.02 0.26 0.11
 -------- 16:00 0.13 0.03 0.23 0.10
 -------- 17:00 0.15 0.03 0.23 0.10
 26.12.12 18:00 0.14 0.03 0.25 0.11
 -------- 19:00 0.16 0.02 0.22 0.11
 -------- 20:00 0.13 0.02 0.25 0.12
 -------- 21:00 0.14 0.01 0.24 0.10
 -------- 22:00 0.09 0.03 0.23 0.09
 26.12.12 23:00 0.09 0.07 0.19 0.05
 -------- 00:00 0.06 0.08 0.20 0.04
 -------- 01:00 0.07 0.09 0.17 0.04
 -------- 02:00 0.04 0.16 0.15 0.02
 -------- 03:00 0.07 0.12 0.18 0.06
 27.12.12 04:00 0.04 0.15 0.15 0.03
 -------- 05:00 0.05 0.08 0.20 0.05
 -------- 06:00 0.07 0.03 0.24 0.04
 -------- 07:00 0.12 0.02 0.26 0.07
 -------- 08:00 0.11 0.04 0.26 0.07
 27.12.12 09:00 0.15 0.01 0.29 0.11
 -------- 10:00 0.17 0.01 0.31 0.15
 -------- 11:00 0.25 0.01 0.32 0.27
