 Date Time CO OZ NO2 NO
 06.11.12 12:00 0.11 0.03 0.23 0.08
 -------- 13:00 0.10 0.03 0.22 0.08
 -------- 14:00 0.11 0.01 0.23 0.09
 -------- 15:00 0.11 0.01 0.23 0.09
 -------- 16:00 0.12 0.03 0.22 0.11
 06.11.12 17:00 0.07 0.15 0.20 0.05
 -------- 18:00 0.08 0.12 0.25 0.06
 -------- 19:00 0.13 0.06 0.30 0.09
 -------- 20:00 0.11 0.05 0.25 0.07
 -------- 21:00 0.07 0.11 0.15 0.05
 06.11.12 22:00 0.07 0.14 0.15 0.05
 -------- 23:00 0.06 0.17 0.11 0.03
 -------- 00:00 0.05 0.18 0.10 0.03
 -------- 01:00 0.05 0.15 0.12 0.02
 -------- 02:00 0.05 0.14 0.13 0.02
 07.11.12 03:00 0.04 0.19 0.09 0.01
 -------- 04:00 0.04 0.19 0.08 0.01
 -------- 05:00 0.04 0.18 0.09 0.01
 -------- 06:00 0.04 0.19 0.10 0.02
 -------- 07:00 0.05 0.17 0.15 0.04
 07.11.12 08:00 0.10 0.12 0.22 0.09
 -------- 09:00 0.11 0.09 0.24 0.09
 -------- 10:00 0.13 0.08 0.23 0.11
 -------- 11:00 0.11 0.09 0.19 0.09
 -------- 12:00 0.09 0.12 0.17 0.08
 07.11.12 13:00 0.09 0.15 0.18 0.08
 -------- 14:00 0.09 0.15 0.21 0.09
 -------- 15:00 0.11 0.13 0.20 0.07
 -------- 16:00 0.11 0.10 0.22 0.10
 -------- 17:00 0.08 0.15 0.19 0.06
 07.11.12 18:00 0.10 0.08 0.26 0.09
 -------- 19:00 0.11 0.07 0.25 0.07
 -------- 20:00 0.13 0.08 0.24 0.09
 -------- 21:00 0.09 0.12 0.20 0.05
 -------- 22:00 0.11 0.13 0.18 0.06
 07.11.12 23:00 0.09 0.15 0.16 0.05
 -------- 00:00 0.06 0.15 0.15 0.03
 -------- 01:00 0.05 0.12 0.17 0.03
 -------- 02:00 0.04 0.14 0.14 0.02
 -------- 03:00 0.03 0.15 0.12 0.02
 08.11.12 04:00 0.05 0.12 0.13 0.02
 -------- 05:00 0.05 0.13 0.11 0.02
 -------- 06:00 0.04 0.11 0.13 0.03
 -------- 07:00 0.04 0.15 0.13 0.03
 -------- 08:00 0.08 0.13 0.19 0.05
 08.11.12 09:00 0.11 0.08 0.22 0.09
 -------- 10:00 0.12 0.07 0.24 0.11
 -------- 11:00 0.09 0.12 0.21 0.07
