 Date Time OZ NO2 NO
 01.10.12 12:00 0.20 0.13 0.05
 -------- 13:00 0.23 0.11 0.04
 -------- 14:00 0.22 0.13 0.05
 -------- 15:00 0.21 0.13 0.05
 -------- 16:00 0.21 0.13 0.04
 01.10.12 17:00 0.17 0.15 0.06
 -------- 18:00 0.14 0.20 0.06
 -------- 19:00 0.15 0.20 0.06
 -------- 20:00 0.09 0.25 0.06
 -------- 21:00 0.07 0.25 0.06
 01.10.12 22:00 0.01 0.31 0.15
 -------- 23:00 0.01 0.30 0.21
 -------- 00:00 0.01 0.29 0.33
 -------- 01:00 0.01 0.26 0.39
 -------- 02:00 0.01 0.24 0.28
 02.10.12 03:00 ---- 0.21 0.19
 -------- 04:00 0.01 0.21 0.23
 -------- 05:00 0.01 0.22 0.20
 -------- 06:00 0.01 0.23 0.24
 -------- 07:00 0.01 0.23 0.27
 02.10.12 08:00 0.01 0.26 0.39
 -------- 09:00 0.01 0.28 0.38
 -------- 10:00 0.01 0.30 0.35
 -------- 11:00 0.01 0.30 0.26
 -------- 12:00 0.05 0.25 0.15
 02.10.12 13:00 0.08 0.21 0.10
 -------- 14:00 0.12 0.20 0.09
 -------- 15:00 0.17 0.18 0.05
 -------- 16:00 0.16 0.21 0.07
 -------- 17:00 0.12 0.24 0.09
 02.10.12 18:00 0.03 0.33 0.15
 -------- 19:00 0.01 0.33 0.17
 -------- 20:00 0.01 0.35 0.29
 -------- 21:00 0.01 0.32 0.38
 -------- 22:00 0.01 0.31 0.27
 02.10.12 23:00 0.01 0.32 0.28
 -------- 00:00 0.01 0.30 0.16
 -------- 01:00 ---- 0.28 0.15
 -------- 02:00 ---- 0.25 0.17
 -------- 03:00 ---- 0.23 0.12
 03.10.12 04:00 0.01 0.23 0.10
 -------- 05:00 ---- 0.23 0.07
 -------- 06:00 0.01 0.22 0.06
 -------- 07:00 0.01 0.22 0.06
 -------- 08:00 0.01 0.23 0.09
 03.10.12 09:00 0.01 0.26 0.15
 -------- 10:00 0.01 0.25 0.14
 -------- 11:00 0.01 0.25 0.17
