 Date Time CO OZ NO2 NO
 23.11.12 12:00 0.15 0.04 0.27 0.14
 -------- 13:00 0.17 0.04 0.29 0.18
 -------- 14:00 0.13 0.04 0.30 0.19
 -------- 15:00 0.19 0.02 0.33 0.23
 -------- 16:00 0.17 0.02 0.32 0.16
 23.11.12 17:00 0.24 0.01 0.36 0.24
 -------- 18:00 0.23 0.01 0.35 0.27
 -------- 19:00 0.21 0.01 0.35 0.25
 -------- 20:00 0.22 0.01 0.33 0.21
 -------- 21:00 0.19 0.01 0.33 0.17
 23.11.12 22:00 0.31 0.01 0.31 0.16
 -------- 23:00 0.22 0.01 0.31 0.17
 -------- 00:00 0.11 0.01 0.29 0.15
 -------- 01:00 0.11 0.01 0.27 0.10
 -------- 02:00 0.07 0.01 0.26 0.08
 24.11.12 03:00 0.05 0.01 0.24 0.06
 -------- 04:00 0.04 0.01 0.24 0.06
 -------- 05:00 0.05 0.01 0.23 0.06
 -------- 06:00 0.08 0.01 0.23 0.07
 -------- 07:00 0.06 0.01 0.23 0.08
 24.11.12 08:00 0.09 0.01 0.24 0.13
 -------- 09:00 0.16 0.01 0.25 0.20
 -------- 10:00 0.13 0.01 0.25 0.26
 -------- 11:00 0.17 0.01 0.24 0.23
 -------- 12:00 0.17 0.01 0.25 0.24
 24.11.12 13:00 0.16 0.01 0.24 0.23
 -------- 14:00 0.15 0.01 0.24 0.20
 -------- 15:00 0.13 0.01 0.24 0.14
 -------- 16:00 0.13 0.01 0.26 0.18
 -------- 17:00 0.15 0.01 0.26 0.18
 24.11.12 18:00 0.17 0.01 0.28 0.23
 -------- 19:00 0.19 0.01 0.28 0.27
 -------- 20:00 0.15 0.01 0.28 0.28
 -------- 21:00 0.17 0.01 0.29 0.27
 -------- 22:00 0.15 0.01 0.29 0.27
 24.11.12 23:00 0.16 0.01 0.29 0.27
 -------- 00:00 0.13 0.01 0.28 0.27
 -------- 01:00 0.11 0.01 0.27 0.20
 -------- 02:00 0.09 0.01 0.25 0.15
 -------- 03:00 0.07 0.01 0.24 0.13
 25.11.12 04:00 0.04 0.01 0.23 0.10
 -------- 05:00 0.05 0.01 0.22 0.08
 -------- 06:00 0.06 0.01 0.25 0.10
 -------- 07:00 0.09 0.01 0.24 0.10
 -------- 08:00 0.09 0.01 0.23 0.10
 25.11.12 09:00 0.12 0.01 0.25 0.16
 -------- 10:00 0.09 0.01 0.25 0.13
 -------- 11:00 0.11 0.01 0.25 0.17
