 Date Time CO OZ NO2 NO
 21.09.12 12:00 0.25 0.03 0.46 0.19
 -------- 13:00 0.16 0.07 0.38 0.10
 -------- 14:00 0.12 0.13 0.32 0.07
 -------- 15:00 0.12 0.14 0.31 0.06
 -------- 16:00 0.10 0.19 0.25 0.03
 21.09.12 17:00 0.06 0.22 0.23 0.02
 -------- 18:00 0.12 0.15 0.25 0.06
 -------- 19:00 0.12 0.09 0.16 0.07
 -------- 20:00 0.11 0.05 0.20 0.07
 -------- 21:00 0.16 0.04 0.20 0.05
 21.09.12 22:00 0.13 0.03 0.22 0.08
 -------- 23:00 0.07 0.07 0.17 0.05
 -------- 00:00 0.08 0.08 0.15 0.05
 -------- 01:00 0.06 0.11 0.12 0.02
 -------- 02:00 0.04 0.12 0.10 0.02
 22.09.12 03:00 0.04 0.14 0.07 0.01
 -------- 04:00 0.04 0.15 0.08 0.01
 -------- 05:00 0.02 0.14 0.09 0.01
 -------- 06:00 0.02 0.14 0.09 0.01
 -------- 07:00 0.05 0.10 0.13 0.02
 22.09.12 08:00 0.05 0.06 0.16 0.03
 -------- 09:00 0.07 0.05 0.16 0.04
 -------- 10:00 0.08 0.05 0.16 0.05
 -------- 11:00 0.10 0.05 0.16 0.06
 -------- 12:00 0.07 0.09 0.14 0.04
 22.09.12 13:00 0.08 0.13 0.11 0.03
 -------- 14:00 0.06 0.17 0.12 0.02
 -------- 15:00 0.06 0.21 0.12 0.02
 -------- 16:00 0.07 0.23 0.13 0.02
 -------- 17:00 0.09 0.14 0.21 0.02
 22.09.12 18:00 0.13 0.05 0.30 0.06
 -------- 19:00 0.18 0.01 0.31 0.08
 -------- 20:00 0.17 0.01 0.28 0.06
 -------- 21:00 0.10 0.03 0.25 0.03
 -------- 22:00 0.11 0.03 0.22 0.02
 22.09.12 23:00 0.11 0.01 0.26 0.04
 -------- 00:00 0.08 0.04 0.24 0.03
 -------- 01:00 0.08 0.03 0.23 0.04
 -------- 02:00 0.06 0.02 0.23 0.02
 -------- 03:00 0.06 0.02 0.21 0.02
 23.09.12 04:00 0.06 0.02 0.24 0.02
 -------- 05:00 0.05 0.03 0.24 0.02
 -------- 06:00 0.05 0.03 0.22 0.02
 -------- 07:00 0.06 0.04 0.21 0.02
 -------- 08:00 0.06 0.07 0.18 0.03
 23.09.12 09:00 0.07 0.07 0.18 0.04
 -------- 10:00 0.08 0.04 0.23 0.05
 -------- 11:00 0.09 0.05 0.21 0.05
