 Date Time CO OZ NO2 NO
 13.02.13 12:00 0.13 0.07 0.27 0.08
 -------- 13:00 0.07 0.07 0.26 0.08
 -------- 14:00 0.05 0.13 0.19 0.04
 -------- 15:00 0.04 0.16 0.17 0.03
 -------- 16:00 0.05 0.15 0.21 0.04
 13.02.13 17:00 0.04 0.18 0.17 0.02
 -------- 18:00 0.05 0.18 0.18 0.02
 -------- 19:00 0.04 0.17 0.18 0.02
 -------- 20:00 0.04 0.16 0.19 0.02
 -------- 21:00 0.07 0.12 0.25 0.02
 13.02.13 22:00 0.09 0.04 0.30 0.04
 -------- 23:00 0.05 0.14 0.21 0.02
 -------- 00:00 0.05 0.12 0.24 0.01
 -------- 01:00 0.13 0.03 0.35 0.12
 -------- 02:00 0.10 0.01 0.33 0.07
 14.02.13 03:00 0.09 0.01 0.33 0.06
 -------- 04:00 0.08 0.02 0.31 0.04
 -------- 05:00 0.08 0.03 0.28 0.03
 -------- 06:00 0.07 0.04 0.27 0.03
 -------- 07:00 0.10 0.01 0.29 0.04
 14.02.13 08:00 0.12 0.01 0.30 0.06
 -------- 09:00 0.11 0.02 0.29 0.04
 -------- 10:00 0.13 0.03 0.30 0.09
 -------- 11:00 0.13 0.04 0.29 0.11
 -------- 12:00 0.09 0.08 0.27 0.08
 14.02.13 13:00 0.11 0.08 0.30 0.10
 -------- 14:00 0.11 0.08 0.31 0.12
 -------- 15:00 0.08 0.13 0.26 0.07
 -------- 16:00 0.07 0.13 0.25 0.06
 -------- 17:00 0.07 0.11 0.28 0.05
 14.02.13 18:00 0.07 0.15 0.24 0.02
 -------- 19:00 0.09 0.08 0.30 0.02
 -------- 20:00 0.08 0.07 0.29 0.03
 -------- 21:00 0.07 0.11 0.26 0.01
 -------- 22:00 0.06 0.11 0.25 0.02
 14.02.13 23:00 0.09 0.06 0.30 0.02
 -------- 00:00 0.09 0.05 0.30 0.02
 -------- 01:00 0.10 0.05 0.28 0.01
 -------- 02:00 0.10 0.02 0.31 0.02
 -------- 03:00 0.10 0.01 0.32 0.02
 15.02.13 04:00 0.09 0.01 0.31 0.02
 -------- 05:00 0.10 0.01 0.32 0.03
 -------- 06:00 0.10 0.01 0.32 0.04
 -------- 07:00 0.10 0.01 0.32 0.04
 -------- 08:00 0.13 0.02 0.33 0.04
 15.02.13 09:00 0.12 0.03 0.32 0.04
 -------- 10:00 0.11 0.04 0.30 0.03
 -------- 11:00 0.11 0.03 0.30 0.06
 -------- 12:00 0.10 0.04 0.28 0.07
