 Date Time CO OZ NO2 NO PM10
 13.12.12 00:00 0.06 0.02 0.26 0.05 0.04
 -------- 01:00 0.04 0.03 0.24 0.03 0.04
 -------- 02:00 0.04 0.04 0.21 0.02 0.04
 -------- 03:00 0.04 0.06 0.21 0.03 0.04
 -------- 04:00 0.03 0.07 0.20 0.02 0.04
 13.12.12 05:00 0.02 0.12 0.16 0.01 0.06
 -------- 06:00 0.03 0.10 0.19 0.02 0.06
 -------- 07:00 0.04 0.09 0.22 0.02 0.05
 -------- 08:00 0.05 0.07 0.26 0.03 0.04
 -------- 09:00 0.04 0.06 0.27 0.03 0.05
 13.12.12 10:00 0.04 0.09 0.23 0.02 0.06
 -------- 11:00 0.06 0.08 0.26 0.04 0.06
 -------- 12:00 0.05 0.12 0.20 0.03 0.06
 -------- 13:00 0.04 0.13 0.19 0.02 0.07
 -------- 14:00 0.05 0.10 0.24 0.03 0.07
 13.12.12 15:00 0.06 0.10 0.25 0.03 0.07
 -------- 16:00 0.06 0.07 0.30 0.04 0.08
 -------- 17:00 0.06 0.06 0.30 0.03 0.07
 -------- 18:00 0.06 0.08 0.27 0.02 0.06
 -------- 19:00 0.06 0.11 0.24 0.02 0.05
 13.12.12 20:00 0.05 0.11 0.22 0.02 0.05
 -------- 21:00 0.04 0.08 0.25 0.02 0.05
 -------- 22:00 0.05 0.06 0.27 0.02 0.05
 -------- 23:00 0.04 0.06 0.26 0.02 0.05
 -------- 00:00 0.04 0.05 0.26 0.03 0.04
 14.12.12 01:00 0.04 0.06 0.24 0.02 0.04
 -------- 02:00 0.04 0.06 0.23 0.02 0.04
 -------- 03:00 0.04 0.09 0.20 0.02 0.04
 -------- 04:00 0.04 0.08 0.22 0.01 0.04
 -------- 05:00 0.04 0.08 0.22 0.02 0.04
 14.12.12 06:00 0.05 0.07 0.23 0.02 0.05
 -------- 07:00 0.06 0.03 0.27 0.02 0.05
 -------- 08:00 0.06 0.02 0.28 0.04 0.05
 -------- 09:00 0.06 0.03 0.28 0.05 0.05
 -------- 10:00 0.06 0.03 0.27 0.05 0.06
 14.12.12 11:00 0.08 0.02 0.30 0.07 0.06
 -------- 12:00 0.08 0.03 0.31 0.08 0.06
 -------- 13:00 0.06 0.05 0.27 0.06 0.06
 -------- 14:00 0.07 0.06 0.25 0.05 0.06
 -------- 15:00 0.06 0.08 0.23 0.04 0.06
 14.12.12 16:00 0.07 0.08 0.24 0.03 0.06
 -------- 17:00 0.07 0.06 0.28 0.03 0.06
 -------- 18:00 0.06 0.07 0.28 0.03 0.06
 -------- 19:00 0.06 0.09 0.26 0.02 0.05
 -------- 20:00 0.06 0.08 0.26 0.03 0.05
 14.12.12 21:00 0.06 0.08 0.26 0.03 0.05
 -------- 22:00 0.06 0.07 0.26 0.03 0.05
 -------- 23:00 0.06 0.03 0.29 0.04 0.05
