 Date Time CO OZ NO2 NO PM10 PM2.5
 27.12.12 00:00 0.06 0.06 0.21 0.01 0.03 ----
 -------- 01:00 0.06 0.08 0.19 0.01 0.03 ----
 -------- 02:00 0.06 0.11 0.15 0.01 0.02 ----
 -------- 03:00 0.06 0.09 0.17 0.01 0.02 ----
 -------- 04:00 0.06 0.06 0.21 0.01 0.02 ----
 27.12.12 05:00 0.06 0.06 0.21 0.03 0.02 ----
 -------- 06:00 0.05 0.09 0.17 0.01 0.02 ----
 -------- 07:00 0.06 0.05 0.23 0.02 0.03 ----
 -------- 08:00 0.06 0.08 0.19 0.01 0.04 ----
 -------- 09:00 0.07 0.05 0.23 0.01 0.04 ----
 27.12.12 10:00 0.09 0.01 0.29 0.04 0.05 ----
 -------- 11:00 0.10 0.01 0.29 0.04 0.05 ----
 -------- 12:00 0.10 0.01 0.28 0.04 0.04 ----
 -------- 13:00 0.13 0.01 0.30 0.09 0.04 ----
 -------- 14:00 0.15 ---- 0.33 0.14 0.04 ----
 27.12.12 15:00 0.15 ---- 0.33 0.15 0.04 ----
 -------- 16:00 0.17 ---- 0.35 0.18 0.05 ----
 -------- 17:00 0.20 ---- 0.35 0.24 0.04 ----
 -------- 18:00 0.19 ---- 0.36 0.21 0.04 ----
 -------- 19:00 0.19 ---- 0.36 0.23 0.05 ----
 27.12.12 20:00 0.17 ---- 0.32 0.21 0.06 ----
 -------- 21:00 0.13 ---- 0.28 0.14 0.06 ----
 -------- 22:00 0.11 ---- 0.26 0.10 0.06 ----
 -------- 23:00 0.09 ---- 0.25 0.04 0.05 ----
 -------- 00:00 0.09 ---- 0.26 0.05 0.06 ----
 28.12.12 01:00 0.08 0.01 0.22 0.02 0.03 ----
 -------- 02:00 0.06 0.07 0.15 0.01 0.02 ----
 -------- 03:00 0.06 0.10 0.12 0.01 0.02 ----
 -------- 04:00 0.06 0.07 0.16 0.00 0.03 ----
 -------- 05:00 0.05 0.10 0.13 0.00 0.02 ----
 28.12.12 06:00 0.06 0.11 0.11 0.01 0.02 ----
 -------- 07:00 0.07 0.05 0.18 0.01 0.02 ----
 -------- 08:00 0.08 0.02 0.24 0.02 0.03 ----
 -------- 09:00 0.08 0.04 0.23 0.02 0.02 ----
 -------- 10:00 0.09 0.01 0.29 0.05 0.03 ----
 28.12.12 11:00 0.09 0.03 0.26 0.04 0.03 ----
 -------- 12:00 0.07 0.06 0.20 0.02 0.03 ----
 -------- 13:00 0.07 0.06 0.21 0.02 0.03 ----
 -------- 14:00 0.08 0.05 0.21 0.03 0.03 ----
 -------- 15:00 0.07 0.05 0.23 0.03 0.03 ----
 28.12.12 16:00 0.07 0.05 0.24 0.03 0.03 ----
 -------- 17:00 0.08 0.07 0.20 0.02 0.03 ----
 -------- 18:00 0.06 0.06 0.23 0.02 0.04 ----
 -------- 19:00 0.07 0.05 0.23 0.02 0.04 ----
 -------- 20:00 0.06 0.08 0.19 0.01 0.03 ----
 28.12.12 21:00 0.06 0.08 0.19 0.01 0.02 ----
 -------- 22:00 0.04 0.16 0.16 0.01 0.01 ----
 -------- 23:00 0.04 0.15 0.18 0.01 0.02 ----
