 Date Time CO OZ NO2 NO PM10
 07.10.12 00:00 0.04 0.16 0.09 0.00 0.02
 -------- 01:00 0.04 0.15 0.11 0.00 0.01
 -------- 02:00 0.05 0.10 0.16 0.00 0.01
 -------- 03:00 0.04 0.10 0.17 0.00 0.01
 -------- 04:00 0.05 0.05 0.21 0.02 0.02
 07.10.12 05:00 0.05 0.03 0.24 0.02 0.05
 -------- 06:00 0.05 0.03 0.22 0.01 0.02
 -------- 07:00 0.04 0.05 0.19 0.01 0.01
 -------- 08:00 0.04 0.11 0.13 0.01 0.02
 -------- 09:00 0.04 0.08 0.18 0.01 0.03
 07.10.12 10:00 0.04 0.10 0.14 0.01 0.06
 -------- 11:00 0.04 0.14 0.13 0.02 0.05
 -------- 12:00 0.04 0.21 0.09 0.01 0.02
 -------- 13:00 0.04 0.21 0.07 0.01 0.05
 -------- 14:00 0.03 0.22 0.06 0.01 0.03
 07.10.12 15:00 0.03 0.23 0.06 0.01 0.04
 -------- 16:00 0.03 0.21 0.07 0.01 0.02
 -------- 17:00 0.04 0.18 0.10 0.01 0.03
 -------- 18:00 0.04 0.18 0.10 0.00 0.02
 -------- 19:00 0.05 0.16 0.14 0.00 0.02
 07.10.12 20:00 0.07 0.09 0.22 0.01 0.03
 -------- 21:00 0.09 0.04 0.30 0.02 0.04
 -------- 22:00 0.08 0.03 0.30 0.01 0.04
 -------- 23:00 0.08 0.02 0.32 0.02 0.05
 -------- 00:00 0.11 ---- 0.32 0.06 0.05
 08.10.12 01:00 0.13 ---- 0.32 0.11 0.05
 -------- 02:00 0.18 ---- 0.30 0.20 0.05
 -------- 03:00 0.17 ---- 0.31 0.25 0.06
 -------- 04:00 0.14 ---- 0.30 0.21 0.07
 -------- 05:00 0.14 ---- 0.31 0.20 0.06
 08.10.12 06:00 0.11 ---- 0.33 0.17 0.07
 -------- 07:00 0.11 ---- 0.34 0.16 0.13
 -------- 08:00 0.08 0.02 0.33 0.07 0.09
 -------- 09:00 0.09 0.01 0.34 0.06 0.07
 -------- 10:00 0.09 0.01 0.35 0.07 0.05
 08.10.12 11:00 0.08 0.05 0.32 0.04 0.03
 -------- 12:00 0.06 0.10 0.26 0.01 0.03
 -------- 13:00 0.08 0.07 0.29 0.01 0.03
 -------- 14:00 0.07 0.09 0.25 0.01 0.03
 -------- 15:00 0.06 0.10 0.22 0.02 0.03
 08.10.12 16:00 0.06 0.11 0.21 0.01 0.04
 -------- 17:00 0.06 0.11 0.20 0.01 0.03
 -------- 18:00 0.06 0.10 0.19 0.01 0.03
 -------- 19:00 0.06 0.11 0.18 0.00 0.03
 -------- 20:00 0.06 0.08 0.22 0.01 0.03
 08.10.12 21:00 0.07 0.05 0.25 0.01 0.03
 -------- 22:00 0.15 0.06 0.23 0.01 0.03
 -------- 23:00 0.06 0.06 0.20 0.01 0.02
