 Date Time CO OZ NO2 NO PM10
 07.11.12 00:00 0.03 0.09 0.13 0.01 0.02
 -------- 01:00 0.03 0.09 0.14 0.00 0.02
 -------- 02:00 0.02 0.14 0.09 0.00 0.02
 -------- 03:00 0.02 0.14 0.08 0.00 0.02
 -------- 04:00 0.02 0.15 0.07 0.00 0.01
 07.11.12 05:00 0.02 0.14 0.08 0.00 0.01
 -------- 06:00 0.02 0.14 0.09 0.00 0.01
 -------- 07:00 0.02 0.15 0.11 0.00 0.02
 -------- 08:00 0.04 0.10 0.17 0.01 0.04
 -------- 09:00 0.05 0.06 0.21 0.02 0.06
 07.11.12 10:00 0.05 0.08 0.18 0.02 0.06
 -------- 11:00 0.04 0.08 0.17 0.02 0.05
 -------- 12:00 0.04 0.12 0.13 0.02 0.02
 -------- 13:00 0.04 0.14 0.15 0.02 0.05
 -------- 14:00 0.05 0.12 0.16 0.02 0.07
 07.11.12 15:00 0.05 0.09 0.20 0.03 0.07
 -------- 16:00 0.04 0.10 0.18 0.02 0.05
 -------- 17:00 0.05 0.08 0.22 0.02 0.05
 -------- 18:00 0.06 0.04 0.26 0.02 0.04
 -------- 19:00 0.06 0.08 0.21 0.02 0.04
 07.11.12 20:00 0.05 0.09 0.19 0.01 0.04
 -------- 21:00 0.04 0.10 0.17 0.01 0.05
 -------- 22:00 0.04 0.11 0.15 0.01 0.04
 -------- 23:00 0.04 0.14 0.12 0.01 0.03
 -------- 00:00 0.04 0.15 0.10 0.00 0.02
 08.11.12 01:00 0.04 0.16 0.09 0.00 0.02
 -------- 02:00 0.03 0.15 0.08 0.00 0.02
 -------- 03:00 0.02 0.13 0.10 0.00 0.01
 -------- 04:00 0.02 0.12 0.11 0.00 0.01
 -------- 05:00 0.03 0.09 0.10 0.00 0.01
 08.11.12 06:00 0.02 0.11 0.10 0.00 0.01
 -------- 07:00 0.05 0.11 0.13 0.01 0.01
 -------- 08:00 0.04 0.11 0.14 0.01 0.01
 -------- 09:00 0.04 0.10 0.18 0.01 0.02
 -------- 10:00 0.05 0.10 0.19 0.02 0.03
 08.11.12 11:00 0.04 0.12 0.17 0.02 0.03
 -------- 12:00 0.05 0.12 0.17 0.02 0.04
 -------- 13:00 0.06 0.07 0.24 0.03 0.03
 -------- 14:00 0.05 0.09 0.22 0.03 0.03
 -------- 15:00 0.04 0.13 0.18 0.02 0.02
 08.11.12 16:00 0.04 0.13 0.18 0.02 0.02
 -------- 17:00 0.06 0.12 0.20 0.02 0.02
 -------- 18:00 0.06 0.09 0.22 0.01 0.02
 -------- 19:00 0.06 0.09 0.21 0.01 0.03
 -------- 20:00 0.06 0.11 0.19 0.01 0.02
 08.11.12 21:00 0.06 0.11 0.17 0.01 0.03
 -------- 22:00 0.04 0.11 0.17 0.01 0.03
 -------- 23:00 0.04 0.10 0.18 0.01 0.04
