 Date Time CO OZ NO2 NO PM10
 02.12.12 12:00 0.06 0.02 0.14 0.05 0.03
 -------- 13:00 0.06 0.02 0.15 0.04 0.03
 -------- 14:00 0.06 0.03 0.13 0.02 0.03
 -------- 15:00 0.06 0.02 0.14 0.03 0.03
 -------- 16:00 0.07 0.01 0.17 0.03 0.03
 02.12.12 17:00 0.06 0.03 0.17 0.02 0.03
 -------- 18:00 0.05 0.03 0.16 0.01 0.02
 -------- 19:00 0.06 0.01 0.20 0.02 0.03
 -------- 20:00 0.06 0.01 0.21 0.03 0.03
 -------- 21:00 0.07 0.01 0.22 0.02 0.03
 02.12.12 22:00 0.06 0.02 0.20 0.01 0.03
 -------- 23:00 0.06 ---- 0.23 0.02 0.03
 -------- 00:00 0.05 ---- 0.23 0.02 0.03
 -------- 01:00 0.04 0.01 0.23 0.01 0.03
 -------- 02:00 0.04 0.01 0.24 0.01 0.03
 03.12.12 03:00 0.05 0.01 0.24 0.01 0.02
 -------- 04:00 0.05 0.01 0.24 0.01 0.02
 -------- 05:00 0.04 0.02 0.22 0.00 0.03
 -------- 06:00 0.04 ---- 0.25 0.02 0.02
 -------- 07:00 0.05 0.01 0.25 0.04 0.03
 03.12.12 08:00 0.08 ---- 0.28 0.10 0.04
 -------- 09:00 0.09 ---- 0.30 0.12 0.06
 -------- 10:00 0.08 ---- 0.29 0.10 0.06
 -------- 11:00 0.09 0.01 0.28 0.11 0.05
 -------- 12:00 0.08 0.02 0.26 0.09 0.06
 03.12.12 13:00 0.07 0.01 0.25 0.07 0.05
 -------- 14:00 0.08 0.01 0.27 0.08 0.05
 -------- 15:00 0.06 0.02 0.25 0.06 0.05
 -------- 16:00 0.07 0.03 0.25 0.05 0.05
 -------- 17:00 0.06 0.01 0.26 0.03 0.05
 03.12.12 18:00 0.07 0.02 0.26 0.03 0.06
 -------- 19:00 0.06 0.03 0.23 0.02 0.04
 -------- 20:00 0.05 0.08 0.16 0.01 0.02
 -------- 21:00 0.05 0.08 0.16 0.01 0.02
 -------- 22:00 0.05 0.07 0.17 0.01 0.03
 03.12.12 23:00 0.04 0.06 0.18 0.01 0.03
 -------- 00:00 0.04 0.06 0.18 0.01 0.03
 -------- 01:00 0.04 0.09 0.14 0.00 0.06
 -------- 02:00 0.04 0.11 0.12 0.00 0.07
 -------- 03:00 0.04 0.14 0.09 0.00 0.04
 04.12.12 04:00 0.04 0.13 0.09 0.00 0.04
 -------- 05:00 0.04 0.10 0.12 0.00 0.02
 -------- 06:00 0.04 0.09 0.13 0.01 0.01
 -------- 07:00 0.04 0.08 0.12 0.01 0.01
 -------- 08:00 0.06 0.06 0.13 0.01 0.01
 04.12.12 09:00 0.06 0.03 0.15 0.02 0.02
 -------- 10:00 0.07 0.01 0.19 0.04 0.03
 -------- 11:00 0.08 0.01 0.19 0.06 0.04
