 Date Time CO OZ NO2 NO PM10 PM2.5
 06.03.13 12:00 0.15 0.03 0.45 0.16 0.08 ----
 -------- 13:00 0.11 0.06 0.42 0.13 0.07 ----
 -------- 14:00 0.11 0.10 0.39 0.09 0.07 ----
 -------- 15:00 0.09 0.12 0.38 0.07 0.07 ----
 -------- 16:00 0.08 0.17 0.34 0.04 0.05 ----
 06.03.13 17:00 0.06 0.24 0.26 0.02 0.04 ----
 -------- 18:00 0.06 0.23 0.29 0.01 0.04 ----
 -------- 19:00 0.07 0.21 0.31 0.01 0.04 ----
 -------- 20:00 0.06 0.26 0.24 0.00 0.04 ----
 -------- 21:00 0.06 0.27 0.23 0.01 0.04 ----
 06.03.13 22:00 0.06 0.25 0.25 0.01 0.05 ----
 -------- 23:00 0.06 0.21 0.31 0.01 0.04 ----
 -------- 00:00 0.07 0.27 0.26 0.00 0.05 ----
 -------- 01:00 0.06 0.31 0.23 0.00 0.05 ----
 -------- 02:00 0.05 0.36 0.17 ---- 0.05 ----
 07.03.13 03:00 0.04 0.38 0.16 0.01 0.05 ----
 -------- 04:00 0.04 0.35 0.18 0.00 0.05 ----
 -------- 05:00 0.04 0.36 0.19 0.00 0.06 ----
 -------- 06:00 0.04 0.41 0.14 0.00 0.06 ----
 -------- 07:00 0.05 0.38 0.16 ---- 0.06 ----
 07.03.13 08:00 0.06 0.34 0.21 0.00 0.06 ----
 -------- 09:00 0.06 0.32 0.21 0.01 0.05 ----
 -------- 10:00 0.06 0.29 0.20 0.01 0.04 ----
 -------- 11:00 0.04 0.29 0.15 0.02 0.03 ----
 -------- 12:00 0.04 0.29 0.14 0.02 0.03 ----
 07.03.13 13:00 0.04 0.30 0.13 0.02 0.03 ----
 -------- 14:00 0.04 0.33 0.11 0.02 0.03 ----
 -------- 15:00 0.04 0.33 0.12 0.02 0.05 ----
 -------- 16:00 0.05 0.34 0.10 0.01 0.02 ----
 -------- 17:00 0.04 0.31 0.13 0.01 0.05 ----
 07.03.13 18:00 0.06 0.27 0.18 0.01 0.03 ----
 -------- 19:00 0.04 0.25 0.19 0.01 0.03 ----
 -------- 20:00 0.04 0.26 0.15 0.00 0.03 ----
 -------- 21:00 0.04 0.23 0.17 0.00 0.03 ----
 -------- 22:00 0.07 0.08 0.35 0.02 0.06 ----
 07.03.13 23:00 0.05 0.15 0.26 0.01 0.04 ----
 -------- 00:00 0.06 0.10 0.32 0.02 0.05 ----
 -------- 01:00 0.06 0.08 0.34 0.01 0.05 ----
 -------- 02:00 0.05 0.11 0.30 0.01 0.04 ----
 -------- 03:00 0.04 0.18 0.21 0.00 0.03 ----
 08.03.13 04:00 0.04 0.19 0.20 0.01 0.02 ----
 -------- 05:00 0.04 0.19 0.20 0.00 0.02 ----
 -------- 06:00 0.04 0.23 0.15 0.00 0.03 ----
 -------- 07:00 0.04 0.25 0.12 ---- 0.02 ----
 -------- 08:00 0.04 0.27 0.09 0.00 0.01 ----
 08.03.13 09:00 0.04 0.30 0.07 0.00 0.03 ----
 -------- 10:00 0.04 0.28 0.10 0.01 0.03 ----
 -------- 11:00 0.04 0.27 0.10 0.01 0.03 ----
