 Date Time CO OZ NO2 NO PM10
 07.02.13 12:00 0.08 0.06 0.25 0.04 0.08
 -------- 13:00 0.07 0.10 0.22 0.02 0.05
 -------- 14:00 0.08 0.08 0.25 0.03 0.05
 -------- 15:00 0.09 0.06 0.28 0.05 0.06
 -------- 16:00 0.08 0.07 0.26 0.03 0.08
 07.02.13 17:00 0.08 0.07 0.26 0.03 0.09
 -------- 18:00 0.08 0.08 0.24 0.02 0.06
 -------- 19:00 0.07 0.09 0.22 0.02 0.07
 -------- 20:00 0.08 0.08 0.22 0.02 0.11
 -------- 21:00 0.08 0.05 0.25 0.02 0.10
 07.02.13 22:00 0.08 0.07 0.23 0.02 0.08
 -------- 23:00 0.07 0.07 0.22 0.02 0.07
 -------- 00:00 0.06 0.12 0.15 0.01 0.04
 -------- 01:00 0.06 0.10 0.17 0.01 0.04
 -------- 02:00 0.06 0.10 0.19 0.01 0.04
 08.02.13 03:00 0.05 0.11 0.18 0.01 0.04
 -------- 04:00 0.04 0.10 0.20 0.01 0.04
 -------- 05:00 0.04 0.14 0.15 0.01 0.05
 -------- 06:00 0.04 0.12 0.16 0.01 0.04
 -------- 07:00 0.06 0.10 0.19 0.01 0.04
 08.02.13 08:00 0.07 0.06 0.25 0.02 0.06
 -------- 09:00 0.08 0.03 0.28 0.04 0.06
 -------- 10:00 0.08 0.04 0.26 0.04 0.06
 -------- 11:00 0.08 0.04 0.25 0.04 0.06
 -------- 12:00 0.07 0.07 0.21 0.03 0.06
 08.02.13 13:00 0.06 0.08 0.20 0.03 0.04
 -------- 14:00 0.08 0.07 0.21 0.03 0.05
 -------- 15:00 0.07 0.04 0.24 0.04 0.05
 -------- 16:00 0.08 0.01 0.30 0.08 0.06
 -------- 17:00 0.07 0.01 0.30 0.06 0.05
 08.02.13 18:00 0.07 0.01 0.30 0.06 0.04
 -------- 19:00 0.07 ---- 0.33 0.07 0.03
 -------- 20:00 0.07 0.02 0.32 0.04 0.04
 -------- 21:00 0.06 0.06 0.25 0.02 0.03
 -------- 22:00 0.06 0.04 0.29 0.03 0.03
 08.02.13 23:00 0.07 0.03 0.33 0.05 0.04
 -------- 00:00 0.06 0.08 0.25 0.02 0.04
 -------- 01:00 0.06 0.06 0.26 0.03 0.03
 -------- 02:00 0.05 0.08 0.23 0.02 0.04
 -------- 03:00 0.05 0.11 0.20 0.01 0.03
 09.02.13 04:00 0.06 0.10 0.21 0.01 0.03
 -------- 05:00 0.04 0.14 0.16 0.01 0.03
 -------- 06:00 0.04 0.14 0.16 0.01 0.03
 -------- 07:00 0.04 0.15 0.14 0.01 0.03
 -------- 08:00 0.04 0.15 0.15 0.01 0.03
 09.02.13 09:00 0.06 0.14 0.16 0.01 0.04
 -------- 10:00 0.05 0.14 0.16 0.01 0.05
 -------- 11:00 0.06 0.13 0.20 0.02 0.05
