 Date Time CO OZ NO2 NO PM10
 12.11.12 00:00 0.05 0.07 0.17 0.01 0.04
 -------- 01:00 0.04 0.11 0.12 0.00 0.04
 -------- 02:00 0.04 0.11 0.10 ---- 0.03
 -------- 03:00 0.04 0.12 0.08 0.00 0.03
 -------- 04:00 0.04 0.13 0.07 0.00 0.02
 12.11.12 05:00 0.04 0.11 0.08 0.00 0.02
 -------- 06:00 0.04 0.10 0.10 0.00 0.02
 -------- 07:00 0.05 0.08 0.12 0.00 0.04
 -------- 08:00 0.07 0.03 0.18 0.02 0.04
 -------- 09:00 0.07 0.02 0.20 0.02 0.05
 12.11.12 10:00 0.08 0.03 0.19 0.03 0.05
 -------- 11:00 0.06 0.04 0.18 0.02 0.05
 -------- 12:00 0.07 0.04 0.17 0.02 0.06
 -------- 13:00 0.07 0.03 0.19 0.03 0.06
 -------- 14:00 0.07 0.02 0.18 0.04 0.05
 12.11.12 15:00 0.06 0.02 0.18 0.04 0.05
 -------- 16:00 0.06 0.01 0.19 0.04 0.06
 -------- 17:00 0.07 0.01 0.20 0.03 0.06
 -------- 18:00 0.07 0.01 0.20 0.03 0.05
 -------- 19:00 0.06 0.02 0.18 0.03 0.06
 12.11.12 20:00 0.07 0.02 0.18 0.02 0.06
 -------- 21:00 0.08 0.01 0.19 0.03 0.07
 -------- 22:00 0.08 0.01 0.19 0.03 0.08
 -------- 23:00 0.07 0.01 0.19 0.04 0.06
 -------- 00:00 0.06 0.01 0.17 0.02 0.05
 13.11.12 01:00 0.06 0.03 0.18 0.01 0.02
 -------- 02:00 0.06 0.04 0.18 0.01 0.03
 -------- 03:00 0.05 0.04 0.19 0.01 0.03
 -------- 04:00 0.04 0.08 0.13 0.01 0.03
 -------- 05:00 0.04 0.10 0.11 0.00 0.02
 13.11.12 06:00 0.04 0.10 0.12 0.00 0.02
 -------- 07:00 0.05 0.09 0.13 0.01 0.02
 -------- 08:00 0.06 0.06 0.19 0.02 0.03
 -------- 09:00 0.07 0.06 0.21 0.02 0.03
 -------- 10:00 0.07 0.06 0.21 0.03 0.03
 13.11.12 11:00 0.07 0.09 0.19 0.02 0.04
 -------- 12:00 0.06 0.12 0.15 0.02 0.03
 -------- 13:00 0.06 0.12 0.15 0.02 0.04
 -------- 14:00 0.06 0.13 0.16 0.02 0.04
 -------- 15:00 0.06 0.11 0.18 0.02 0.06
 13.11.12 16:00 0.07 0.12 0.18 0.02 0.05
 -------- 17:00 0.07 0.08 0.22 0.02 0.06
 -------- 18:00 0.06 0.08 0.21 0.02 0.04
 -------- 19:00 0.06 0.08 0.21 0.01 0.03
 -------- 20:00 0.05 0.08 0.21 0.01 0.03
 13.11.12 21:00 0.04 0.10 0.19 0.01 0.03
 -------- 22:00 0.04 0.11 0.17 0.01 0.03
 -------- 23:00 0.02 0.17 0.11 0.01 0.01
