 Date Time CO OZ NO2 NO PM10
 19.03.13 00:00 0.04 ---- 0.22 0.01 0.03
 -------- 01:00 0.04 ---- 0.19 0.00 0.03
 -------- 02:00 0.04 ---- 0.17 0.00 0.03
 -------- 03:00 0.04 ---- 0.20 0.00 0.03
 -------- 04:00 0.04 ---- 0.19 0.00 0.02
 19.03.13 05:00 0.04 ---- 0.16 0.00 0.02
 -------- 06:00 0.04 ---- 0.17 0.00 0.02
 -------- 07:00 0.04 ---- 0.19 0.01 0.02
 -------- 08:00 0.05 ---- 0.21 0.01 0.02
 -------- 09:00 0.05 ---- 0.23 0.01 0.03
 19.03.13 10:00 0.06 ---- 0.21 0.02 0.02
 -------- 11:00 0.04 ---- 0.19 0.02 0.03
 -------- 12:00 0.05 ---- 0.18 0.02 0.03
 -------- 13:00 0.05 0.25 0.15 0.02 0.03
 -------- 14:00 0.04 0.24 0.15 0.02 0.03
 19.03.13 15:00 0.04 0.24 0.16 0.01 0.03
 -------- 16:00 0.04 0.25 0.16 0.01 0.03
 -------- 17:00 0.05 0.23 0.19 0.02 0.03
 -------- 18:00 0.05 0.22 0.21 0.01 0.03
 -------- 19:00 0.06 0.17 0.27 0.02 0.03
 19.03.13 20:00 0.05 0.23 0.19 0.00 0.03
 -------- 21:00 0.06 0.19 0.22 0.00 0.03
 -------- 22:00 0.06 0.16 0.26 0.01 0.03
 -------- 23:00 0.04 0.20 0.22 0.01 0.02
 -------- 00:00 0.04 0.18 0.23 0.00 0.03
 20.03.13 01:00 0.04 0.16 0.25 0.00 0.03
 -------- 02:00 0.04 0.12 0.28 0.00 0.03
 -------- 03:00 0.05 0.09 0.33 0.01 0.04
 -------- 04:00 0.05 0.11 0.31 0.00 0.03
 -------- 05:00 0.04 0.11 0.28 0.00 0.03
 20.03.13 06:00 0.06 0.06 0.34 0.00 0.04
 -------- 07:00 0.07 0.01 0.43 0.04 0.04
 -------- 08:00 0.10 0.01 0.44 0.08 0.05
 -------- 09:00 0.09 0.04 0.39 0.05 0.05
 -------- 10:00 0.07 0.12 0.29 0.03 0.04
 20.03.13 11:00 0.07 0.12 0.28 0.05 0.05
 -------- 12:00 0.06 0.19 0.19 0.02 0.03
 -------- 13:00 0.06 0.18 0.22 0.03 0.04
 -------- 14:00 0.06 0.20 0.19 0.02 0.04
 -------- 15:00 0.05 0.22 0.19 0.02 0.04
 20.03.13 16:00 0.06 0.21 0.19 0.02 0.04
 -------- 17:00 0.06 0.22 0.18 0.01 0.04
 -------- 18:00 0.06 0.23 0.17 0.01 0.04
 -------- 19:00 0.06 0.24 0.17 0.00 0.04
 -------- 20:00 0.06 0.21 0.20 0.01 0.04
 20.03.13 21:00 0.06 0.17 0.24 0.01 0.04
 -------- 22:00 0.06 0.13 0.27 0.01 0.04
 -------- 23:00 0.05 0.13 0.26 0.01 0.04
