 Date Time CO OZ NO2 NO PM10
 24.03.13 12:00 0.04 0.29 0.11 0.01 0.03
 -------- 13:00 0.04 0.28 0.11 0.01 0.03
 -------- 14:00 0.04 0.27 0.11 0.01 0.03
 -------- 15:00 0.04 0.27 0.11 0.01 0.04
 -------- 16:00 0.04 0.26 0.12 0.01 0.03
 24.03.13 17:00 0.04 0.26 0.12 0.01 0.03
 -------- 18:00 0.04 0.26 0.11 0.00 0.03
 -------- 19:00 0.04 0.26 0.11 0.00 0.03
 -------- 20:00 0.04 0.23 0.14 0.00 0.03
 -------- 21:00 0.04 0.21 0.15 0.00 0.03
 24.03.13 22:00 0.04 0.21 0.16 0.00 0.02
 -------- 23:00 0.04 0.22 0.15 0.00 0.02
 -------- 00:00 0.04 0.24 0.13 0.00 0.02
 -------- 01:00 0.04 0.24 0.12 0.00 0.02
 -------- 02:00 0.04 0.25 0.12 0.00 0.02
 25.03.13 03:00 0.03 0.26 0.11 0.00 0.02
 -------- 04:00 0.04 0.27 0.10 0.00 0.02
 -------- 05:00 0.04 0.27 0.11 0.00 0.02
 -------- 06:00 0.04 0.23 0.15 0.00 0.02
 -------- 07:00 0.04 0.23 0.17 0.00 0.02
 25.03.13 08:00 0.05 0.24 0.15 0.01 0.02
 -------- 09:00 0.05 0.25 0.15 0.01 0.02
 -------- 10:00 0.05 0.24 0.16 0.02 0.03
 -------- 11:00 0.04 0.25 0.15 0.02 0.03
 -------- 12:00 0.04 0.27 0.12 0.01 0.03
 25.03.13 13:00 0.04 0.27 0.13 0.02 0.03
 -------- 14:00 0.04 0.28 0.12 0.01 0.03
 -------- 15:00 0.04 0.28 0.12 0.01 0.03
 -------- 16:00 0.04 0.28 0.12 0.01 0.03
 -------- 17:00 0.04 0.29 0.11 0.01 0.03
 25.03.13 18:00 0.05 0.25 0.15 0.01 0.03
 -------- 19:00 0.05 0.23 0.19 0.01 0.03
 -------- 20:00 0.05 0.21 0.21 0.00 0.03
 -------- 21:00 0.05 0.18 0.25 0.00 0.03
 -------- 22:00 0.05 0.19 0.21 0.01 0.02
 25.03.13 23:00 0.05 0.18 0.23 0.01 0.02
 -------- 00:00 0.04 0.20 0.17 0.00 0.01
 -------- 01:00 0.04 0.20 0.18 0.00 0.02
 -------- 02:00 0.04 0.21 0.17 0.00 0.02
 -------- 03:00 0.04 0.23 0.15 0.01 0.02
 26.03.13 04:00 0.03 0.22 0.15 0.00 0.02
 -------- 05:00 0.03 0.21 0.16 0.00 0.02
 -------- 06:00 0.04 0.22 0.14 0.00 0.02
 -------- 07:00 0.04 0.19 0.18 0.00 0.02
 -------- 08:00 0.06 0.15 0.23 0.02 0.02
 26.03.13 09:00 0.06 0.17 0.21 0.02 0.02
 -------- 10:00 0.06 0.20 0.17 0.02 0.03
 -------- 11:00 0.05 0.21 0.16 0.03 0.03
