 Date Time CO OZ NO2 NO PM10
 18.11.12 12:00 0.04 0.12 0.12 0.01 0.04
 -------- 13:00 0.04 0.14 0.12 0.01 0.04
 -------- 14:00 0.03 0.16 0.10 0.01 0.05
 -------- 15:00 0.04 0.14 0.12 0.01 0.06
 -------- 16:00 0.04 0.13 0.12 0.01 0.06
 18.11.12 17:00 0.04 0.14 0.10 0.01 0.06
 -------- 18:00 0.02 0.15 0.08 0.00 0.05
 -------- 19:00 0.03 0.15 0.07 0.00 0.05
 -------- 20:00 0.04 0.15 0.07 0.00 0.04
 -------- 21:00 0.04 0.15 0.07 0.00 0.04
 18.11.12 22:00 0.04 0.16 0.08 0.00 0.03
 -------- 23:00 0.04 0.16 0.07 0.00 0.02
 -------- 00:00 0.03 0.15 0.07 0.00 0.02
 -------- 01:00 0.02 0.15 0.06 0.00 0.02
 -------- 02:00 0.02 0.14 0.05 0.00 0.01
 19.11.12 03:00 0.02 0.16 0.04 0.00 0.01
 -------- 04:00 0.02 0.16 0.03 ---- 0.01
 -------- 05:00 0.03 0.14 0.04 0.00 0.01
 -------- 06:00 0.04 0.12 0.07 0.00 0.01
 -------- 07:00 0.05 0.10 0.10 0.01 0.03
 19.11.12 08:00 0.07 0.06 0.15 0.02 0.06
 -------- 09:00 0.07 0.04 0.18 0.02 0.07
 -------- 10:00 0.06 0.08 0.13 0.02 0.06
 -------- 11:00 0.06 0.05 0.15 0.02 0.08
 -------- 12:00 0.08 0.03 0.18 0.03 0.07
 19.11.12 13:00 0.07 0.04 0.17 0.03 0.06
 -------- 14:00 0.06 0.05 0.16 0.02 0.06
 -------- 15:00 0.07 0.04 0.17 0.02 0.08
 -------- 16:00 0.07 0.01 0.20 0.04 0.10
 -------- 17:00 0.07 0.01 0.20 0.03 0.09
 19.11.12 18:00 0.06 0.02 0.18 0.03 0.09
 -------- 19:00 0.06 0.03 0.15 0.02 0.08
 -------- 20:00 0.06 0.02 0.16 0.02 0.08
 -------- 21:00 0.06 0.01 0.16 0.03 0.09
 -------- 22:00 0.06 0.01 0.14 0.02 0.09
 19.11.12 23:00 0.06 0.01 0.14 0.02 0.09
 -------- 00:00 0.06 0.01 0.13 0.02 0.08
 -------- 01:00 0.04 0.01 0.11 0.01 0.07
 -------- 02:00 0.04 0.01 0.11 0.01 0.06
 -------- 03:00 0.04 0.01 0.10 0.02 0.06
 20.11.12 04:00 0.04 0.01 0.10 0.01 0.05
 -------- 05:00 0.04 0.01 0.10 0.01 0.05
 -------- 06:00 0.05 0.01 0.10 0.01 0.06
 -------- 07:00 0.13 ---- 0.12 0.03 0.06
 -------- 08:00 0.08 ---- 0.13 0.06 0.07
 20.11.12 09:00 0.08 ---- 0.14 0.07 0.11
 -------- 10:00 0.08 ---- 0.14 0.07 0.09
 -------- 11:00 0.08 ---- 0.13 0.07 0.07
