 Date Time CO OZ NO2 NO PM10
 13.10.12 00:00 0.08 0.01 0.25 0.02 0.03
 -------- 01:00 0.07 0.03 0.21 0.01 0.02
 -------- 02:00 0.05 0.06 0.17 0.00 0.02
 -------- 03:00 0.04 0.09 0.12 0.00 0.02
 -------- 04:00 0.04 0.07 0.13 0.00 0.02
 13.10.12 05:00 0.06 0.04 0.15 0.01 0.02
 -------- 06:00 0.06 0.04 0.16 0.01 0.02
 -------- 07:00 0.06 0.04 0.15 0.01 0.02
 -------- 08:00 0.06 0.02 0.17 0.01 0.03
 -------- 09:00 0.06 0.03 0.17 0.02 0.02
 13.10.12 10:00 0.06 0.05 0.18 0.02 0.03
 -------- 11:00 0.07 0.07 0.18 0.02 0.02
 -------- 12:00 0.06 0.08 0.15 0.03 0.02
 -------- 13:00 0.05 0.09 0.13 0.02 0.02
 -------- 14:00 0.05 0.10 0.13 0.02 0.03
 13.10.12 15:00 0.05 0.12 0.11 0.02 0.01
 -------- 16:00 0.05 0.11 0.13 0.01 0.03
 -------- 17:00 0.06 0.09 0.16 0.01 0.04
 -------- 18:00 0.06 0.05 0.20 0.01 0.04
 -------- 19:00 0.08 0.03 0.23 0.01 0.04
 13.10.12 20:00 0.09 0.04 0.27 0.04 0.05
 -------- 21:00 0.14 ---- 0.30 0.12 0.10
 -------- 22:00 0.14 ---- 0.30 0.12 0.10
 -------- 23:00 0.10 ---- 0.28 0.06 0.07
 -------- 00:00 0.09 ---- 0.27 0.05 0.06
 14.10.12 01:00 0.09 ---- 0.25 0.05 0.08
 -------- 02:00 0.17 ---- 0.23 0.04 0.05
 -------- 03:00 0.09 0.01 0.22 0.03 0.04
 -------- 04:00 0.09 ---- 0.22 0.04 0.04
 -------- 05:00 0.13 ---- 0.22 0.10 0.07
 14.10.12 06:00 0.11 ---- 0.23 0.10 0.07
 -------- 07:00 0.09 ---- 0.23 0.11 0.05
 -------- 08:00 0.09 ---- 0.24 0.13 0.05
 -------- 09:00 0.09 ---- 0.25 0.12 0.05
 -------- 10:00 0.08 0.01 0.27 0.10 0.05
 14.10.12 11:00 0.06 0.07 0.20 0.05 0.05
 -------- 12:00 0.06 0.06 0.20 0.04 0.06
 -------- 13:00 0.06 0.08 0.19 0.02 0.05
 -------- 14:00 0.06 0.07 0.21 0.02 0.06
 -------- 15:00 0.08 0.06 0.23 0.03 0.06
 14.10.12 16:00 0.08 0.05 0.23 0.03 0.07
 -------- 17:00 0.08 0.03 0.26 0.05 0.08
 -------- 18:00 0.10 0.02 0.29 0.06 0.09
 -------- 19:00 0.17 ---- 0.32 0.14 0.12
 -------- 20:00 0.12 0.01 0.31 0.08 0.09
 14.10.12 21:00 0.10 ---- 0.30 0.04 0.09
 -------- 22:00 0.07 0.04 0.25 0.02 0.07
 -------- 23:00 0.06 0.06 0.22 0.01 0.06
