 Date Time CO OZ NO2 NO PM10
 22.11.12 12:00 0.11 0.01 0.30 0.11 0.15
 -------- 13:00 0.09 0.04 0.31 0.06 0.13
 -------- 14:00 0.07 0.07 0.28 0.03 0.11
 -------- 15:00 0.07 0.07 0.28 0.02 0.11
 -------- 16:00 0.06 0.09 0.27 0.02 0.11
 22.11.12 17:00 0.06 0.12 0.24 0.01 0.10
 -------- 18:00 0.05 0.18 0.19 0.01 0.07
 -------- 19:00 0.06 0.14 0.24 0.01 0.08
 -------- 20:00 0.06 0.14 0.22 0.01 0.09
 -------- 21:00 0.06 0.14 0.20 0.02 0.09
 22.11.12 22:00 0.04 0.14 0.19 0.01 0.08
 -------- 23:00 0.04 0.13 0.17 0.00 0.07
 -------- 00:00 0.05 0.12 0.18 0.01 0.06
 -------- 01:00 0.05 0.14 0.15 0.01 0.06
 -------- 02:00 0.04 0.13 0.16 0.00 0.05
 23.11.12 03:00 0.03 0.14 0.15 0.00 0.05
 -------- 04:00 0.02 0.15 0.12 0.00 0.04
 -------- 05:00 0.02 0.15 0.11 0.00 0.03
 -------- 06:00 0.02 0.13 0.12 0.00 0.03
 -------- 07:00 0.03 0.09 0.17 0.01 0.05
 23.11.12 08:00 0.04 0.08 0.20 0.01 0.06
 -------- 09:00 0.05 0.07 0.20 0.01 0.07
 -------- 10:00 0.06 0.08 0.19 0.02 0.07
 -------- 11:00 0.07 0.06 0.21 0.04 0.09
 -------- 12:00 0.08 0.06 0.22 0.05 0.10
 23.11.12 13:00 0.08 0.05 0.22 0.06 0.09
 -------- 14:00 0.08 0.05 0.24 0.07 0.11
 -------- 15:00 0.08 0.05 0.25 0.05 0.11
 -------- 16:00 0.09 0.01 0.29 0.07 0.40
 -------- 17:00 0.11 0.01 0.31 0.07 0.23
 23.11.12 18:00 0.10 ---- 0.32 0.09 0.23
 -------- 19:00 0.09 ---- 0.32 0.08 0.23
 -------- 20:00 0.08 0.02 0.29 0.03 0.19
 -------- 21:00 0.06 0.03 0.26 0.02 0.14
 -------- 22:00 0.07 0.03 0.25 0.02 0.14
 23.11.12 23:00 0.06 0.04 0.24 0.02 0.12
 -------- 00:00 0.06 0.01 0.26 0.03 0.14
 -------- 01:00 0.04 0.03 0.22 0.02 0.09
 -------- 02:00 0.04 0.03 0.22 0.02 0.08
 -------- 03:00 0.04 0.03 0.21 0.02 0.06
 24.11.12 04:00 0.04 0.03 0.20 0.01 0.07
 -------- 05:00 0.04 0.03 0.19 0.01 0.06
 -------- 06:00 0.04 0.02 0.19 0.01 0.07
 -------- 07:00 0.04 ---- 0.21 0.02 0.07
 -------- 08:00 0.05 ---- 0.21 0.04 0.07
 24.11.12 09:00 0.06 ---- 0.22 0.06 0.08
 -------- 10:00 0.07 ---- 0.21 0.08 0.11
 -------- 11:00 0.08 ---- 0.22 0.11 0.14
