 Date Time CO OZ NO2 NO PM10
 26.12.12 00:00 0.06 0.05 0.24 0.01 0.05
 -------- 01:00 0.04 0.11 0.17 0.01 0.04
 -------- 02:00 0.04 0.13 0.14 0.00 0.05
 -------- 03:00 0.04 0.12 0.14 0.01 0.05
 -------- 04:00 0.04 0.12 0.14 0.00 0.05
 26.12.12 05:00 0.04 0.12 0.13 0.00 0.05
 -------- 06:00 0.04 0.12 0.14 0.01 0.06
 -------- 07:00 0.05 0.10 0.15 0.01 0.06
 -------- 08:00 0.06 0.08 0.19 0.02 0.07
 -------- 09:00 0.07 0.06 0.21 0.01 0.06
 26.12.12 10:00 0.08 0.03 0.26 0.03 0.05
 -------- 11:00 0.08 0.02 0.26 0.04 0.05
 -------- 12:00 0.09 0.03 0.25 0.04 0.06
 -------- 13:00 0.09 0.01 0.27 0.05 0.06
 -------- 14:00 0.10 0.01 0.28 0.06 0.08
 26.12.12 15:00 0.10 0.01 0.26 0.05 0.09
 -------- 16:00 0.10 0.02 0.25 0.04 0.09
 -------- 17:00 0.10 0.01 0.26 0.04 0.09
 -------- 18:00 0.12 ---- 0.29 0.06 0.09
 -------- 19:00 0.12 ---- 0.29 0.07 0.08
 26.12.12 20:00 0.11 0.01 0.28 0.06 0.08
 -------- 21:00 0.08 0.04 0.21 0.02 0.04
 -------- 22:00 0.08 0.04 0.22 0.02 0.03
 -------- 23:00 0.08 0.03 0.24 0.02 0.04
 -------- 00:00 0.07 0.05 0.22 0.02 0.03
 27.12.12 01:00 0.06 0.08 0.19 0.01 0.03
 -------- 02:00 0.06 0.11 0.15 0.01 0.02
 -------- 03:00 0.06 0.09 0.17 0.01 0.02
 -------- 04:00 0.06 0.06 0.21 0.01 0.02
 -------- 05:00 0.06 0.06 0.21 0.03 0.02
 27.12.12 06:00 0.05 0.09 0.17 0.01 0.02
 -------- 07:00 0.06 0.05 0.23 0.02 0.03
 -------- 08:00 0.06 0.08 0.19 0.01 0.04
 -------- 09:00 0.07 0.05 0.23 0.01 0.04
 -------- 10:00 0.09 0.01 0.29 0.04 0.05
 27.12.12 11:00 0.10 0.01 0.29 0.04 0.05
 -------- 12:00 0.10 0.01 0.28 0.04 0.04
 -------- 13:00 0.13 0.01 0.30 0.09 0.04
 -------- 14:00 0.15 ---- 0.33 0.14 0.04
 -------- 15:00 0.15 ---- 0.33 0.15 0.04
 27.12.12 16:00 0.17 ---- 0.35 0.18 0.05
 -------- 17:00 0.20 ---- 0.35 0.24 0.04
 -------- 18:00 0.19 ---- 0.36 0.21 0.04
 -------- 19:00 0.19 ---- 0.36 0.23 0.05
 -------- 20:00 0.17 ---- 0.32 0.21 0.06
 27.12.12 21:00 0.13 ---- 0.28 0.14 0.06
 -------- 22:00 0.11 ---- 0.26 0.10 0.06
 -------- 23:00 0.09 ---- 0.25 0.04 0.05
