 Date Time CO OZ NO2 NO PM10
 12.02.13 12:00 0.04 0.16 0.16 0.01 0.03
 -------- 13:00 0.04 0.20 0.15 0.01 0.03
 -------- 14:00 0.05 0.17 0.19 0.01 0.03
 -------- 15:00 0.05 0.18 0.18 0.01 0.04
 -------- 16:00 0.04 0.21 0.14 0.01 0.04
 12.02.13 17:00 0.05 0.19 0.18 0.01 0.04
 -------- 18:00 0.06 0.20 0.17 0.00 0.04
 -------- 19:00 0.06 0.18 0.17 0.00 0.05
 -------- 20:00 0.06 0.15 0.19 0.00 0.06
 -------- 21:00 0.06 0.16 0.19 0.00 0.06
 12.02.13 22:00 0.06 0.14 0.20 0.00 0.06
 -------- 23:00 0.05 0.15 0.19 0.00 0.06
 -------- 00:00 0.05 0.13 0.21 0.00 0.06
 -------- 01:00 0.05 0.11 0.21 0.00 0.07
 -------- 02:00 0.06 0.09 0.23 0.00 0.07
 13.02.13 03:00 0.06 0.07 0.25 0.00 0.06
 -------- 04:00 0.06 0.04 0.27 0.00 0.07
 -------- 05:00 0.06 0.01 0.31 0.01 0.07
 -------- 06:00 0.06 0.01 0.31 0.01 0.07
 -------- 07:00 0.07 0.01 0.37 0.03 0.08
 13.02.13 08:00 0.09 ---- 0.40 0.07 0.09
 -------- 09:00 0.11 ---- 0.41 0.09 0.09
 -------- 10:00 0.11 ---- 0.40 0.11 0.11
 -------- 11:00 0.11 0.01 0.39 0.14 0.11
 -------- 12:00 0.10 0.04 0.38 0.11 0.10
 13.02.13 13:00 0.09 0.05 0.37 0.12 0.12
 -------- 14:00 0.07 0.09 0.30 0.06 0.10
 -------- 15:00 0.08 0.08 0.33 0.06 0.12
 -------- 16:00 0.07 0.09 0.30 0.04 0.10
 -------- 17:00 0.07 0.09 0.31 0.03 0.09
 13.02.13 18:00 0.07 0.08 0.32 0.01 0.09
 -------- 19:00 0.08 0.02 0.40 0.03 0.10
 -------- 20:00 0.07 0.08 0.32 0.01 0.09
 -------- 21:00 0.08 0.04 0.36 0.01 0.09
 -------- 22:00 0.09 0.03 0.38 0.02 0.08
 13.02.13 23:00 0.08 0.03 0.38 0.02 0.08
 -------- 00:00 0.08 0.01 0.38 0.01 0.08
 -------- 01:00 0.10 ---- 0.41 0.04 0.10
 -------- 02:00 0.08 ---- 0.39 0.03 0.09
 -------- 03:00 0.07 0.01 0.38 0.02 0.09
 14.02.13 04:00 0.06 0.02 0.35 0.01 0.08
 -------- 05:00 0.06 0.04 0.31 0.01 0.08
 -------- 06:00 0.06 0.03 0.32 0.01 0.08
 -------- 07:00 0.07 ---- 0.35 0.02 0.09
 -------- 08:00 0.08 ---- 0.36 0.04 0.09
 14.02.13 09:00 0.09 0.01 0.36 0.06 0.10
 -------- 10:00 0.10 0.03 0.33 0.07 0.11
 -------- 11:00 0.11 0.05 0.32 0.08 0.11
