 Date Time CO OZ NO2 NO PM10
 03.04.13 00:00 0.08 0.21 0.30 0.01 0.05
 -------- 01:00 0.07 0.28 0.24 0.01 0.04
 -------- 02:00 0.06 0.29 0.20 0.01 0.04
 -------- 03:00 0.06 0.25 0.23 0.01 0.05
 -------- 04:00 0.06 0.26 0.20 0.00 0.05
 03.04.13 05:00 0.06 0.26 0.20 0.00 0.04
 -------- 06:00 0.06 0.22 0.22 0.00 0.04
 -------- 07:00 0.07 0.19 0.26 0.00 0.05
 -------- 08:00 0.09 0.08 0.40 0.03 0.07
 -------- 09:00 0.10 0.08 0.41 0.03 0.08
 03.04.13 10:00 0.13 0.05 0.45 0.07 0.08
 -------- 11:00 0.12 0.06 0.43 0.07 0.08
 -------- 12:00 0.11 0.08 0.37 0.06 0.08
 -------- 13:00 0.09 0.10 0.34 0.04 0.06
 -------- 14:00 0.08 0.16 0.27 0.02 0.05
 03.04.13 15:00 0.07 0.20 0.22 0.02 0.04
 -------- 16:00 0.06 0.25 0.18 0.01 0.03
 -------- 17:00 0.07 0.24 0.21 0.01 0.04
 -------- 18:00 0.06 0.26 0.19 0.01 0.04
 -------- 19:00 0.06 0.29 0.19 0.01 0.03
 03.04.13 20:00 0.06 0.30 0.19 0.00 0.04
 -------- 21:00 0.07 0.26 0.22 0.00 0.05
 -------- 22:00 0.08 0.17 0.33 0.01 0.06
 -------- 23:00 0.09 0.12 0.40 0.01 0.06
 -------- 00:00 0.09 0.08 0.43 0.01 0.06
 04.04.13 01:00 0.08 0.05 0.47 0.02 0.06
 -------- 02:00 0.08 0.04 0.47 0.01 0.06
 -------- 03:00 0.07 0.05 0.46 0.01 0.08
 -------- 04:00 0.06 0.07 0.45 0.01 0.05
 -------- 05:00 0.06 0.09 0.41 0.01 0.04
 04.04.13 06:00 0.06 0.07 0.43 0.01 0.04
 -------- 07:00 0.06 0.11 0.39 0.01 0.05
 -------- 08:00 0.07 0.17 0.34 0.02 0.07
 -------- 09:00 0.06 0.25 0.25 0.02 0.09
 -------- 10:00 0.05 0.31 0.19 0.02 0.09
 04.04.13 11:00 0.04 0.35 0.15 0.01 0.06
 -------- 12:00 0.04 0.36 0.13 0.01 0.06
 -------- 13:00 0.04 0.40 0.10 0.01 0.04
 -------- 14:00 0.04 0.36 0.13 0.01 0.05
 -------- 15:00 0.04 0.38 0.11 0.01 0.04
 04.04.13 16:00 0.04 0.38 0.11 0.01 0.04
 -------- 17:00 0.04 0.38 0.11 0.01 0.04
 -------- 18:00 0.04 0.36 0.13 0.00 0.04
 -------- 19:00 0.04 0.36 0.13 0.00 0.04
 -------- 20:00 0.05 0.33 0.17 0.00 0.04
 04.04.13 21:00 0.04 0.32 0.15 0.00 0.05
 -------- 22:00 0.05 0.24 0.22 0.00 0.06
 -------- 23:00 0.06 0.20 0.30 0.00 0.07
