 Date Time CO OZ NO2 NO PM10
 16.10.12 00:00 0.05 0.08 0.21 0.01 0.07
 -------- 01:00 0.05 0.09 0.18 0.01 0.06
 -------- 02:00 0.04 0.12 0.14 0.00 0.06
 -------- 03:00 0.04 0.10 0.17 0.04 0.06
 -------- 04:00 0.05 0.10 0.14 0.01 0.05
 16.10.12 05:00 0.04 0.11 0.10 0.00 0.05
 -------- 06:00 0.04 0.07 0.14 0.01 0.05
 -------- 07:00 0.07 0.04 0.18 0.01 0.07
 -------- 08:00 0.09 0.01 0.23 0.03 0.07
 -------- 09:00 0.08 0.01 0.24 0.04 0.09
 16.10.12 10:00 0.11 ---- 0.25 0.07 0.09
 -------- 11:00 0.09 ---- 0.26 0.08 0.10
 -------- 12:00 0.10 ---- 0.26 0.10 0.11
 -------- 13:00 0.11 ---- 0.25 0.11 0.12
 -------- 14:00 0.10 ---- 0.28 0.12 0.12
 16.10.12 15:00 0.09 0.01 0.25 0.10 0.12
 -------- 16:00 0.11 ---- 0.25 0.12 0.12
 -------- 17:00 0.11 ---- 0.25 0.12 0.11
 -------- 18:00 0.10 ---- 0.26 0.11 0.10
 -------- 19:00 0.09 ---- 0.24 0.08 0.11
 16.10.12 20:00 0.09 ---- 0.23 0.06 0.10
 -------- 21:00 0.08 ---- 0.22 0.08 0.10
 -------- 22:00 0.09 ---- 0.21 0.08 0.09
 -------- 23:00 0.09 ---- 0.20 0.07 0.08
 -------- 00:00 0.08 ---- 0.19 0.07 0.08
 17.10.12 01:00 0.07 ---- 0.18 0.08 0.09
 -------- 02:00 0.07 ---- 0.19 0.09 0.13
 -------- 03:00 0.06 ---- 0.17 0.08 0.11
 -------- 04:00 0.06 ---- 0.17 0.07 0.09
 -------- 05:00 0.06 ---- 0.17 0.07 0.07
 17.10.12 06:00 0.06 ---- 0.17 0.07 0.08
 -------- 07:00 0.09 ---- 0.17 0.14 0.09
 -------- 08:00 0.12 ---- 0.18 0.21 0.11
 -------- 09:00 0.13 ---- 0.18 0.20 0.11
 -------- 10:00 0.12 ---- 0.16 0.16 0.12
 17.10.12 11:00 0.13 ---- 0.18 0.19 0.14
 -------- 12:00 0.12 ---- 0.18 0.19 0.18
 -------- 13:00 0.11 ---- 0.16 0.15 0.13
 -------- 14:00 0.12 ---- 0.18 0.17 0.14
 -------- 15:00 0.10 0.01 0.23 0.10 0.11
 17.10.12 16:00 0.11 0.01 0.28 0.11 0.12
 -------- 17:00 0.12 ---- 0.29 0.09 0.12
 -------- 18:00 0.13 ---- 0.31 0.12 0.13
 -------- 19:00 0.11 ---- 0.26 0.08 0.12
 -------- 20:00 0.10 ---- 0.21 0.05 0.12
 17.10.12 21:00 0.10 ---- 0.20 0.06 0.13
 -------- 22:00 0.11 ---- 0.23 0.06 0.13
 -------- 23:00 0.12 ---- 0.25 0.09 0.14
