 Date Time CO OZ NO2 NO PM10
 27.09.12 00:00 0.12 ---- 0.24 0.08 0.06
 -------- 01:00 0.12 ---- 0.26 0.11 0.06
 -------- 02:00 0.13 ---- 0.25 0.16 0.06
 -------- 03:00 0.11 ---- 0.23 0.12 0.06
 -------- 04:00 0.09 ---- 0.19 0.13 0.05
 27.09.12 05:00 0.15 ---- 0.20 0.26 0.07
 -------- 06:00 0.19 ---- 0.25 0.40 0.15
 -------- 07:00 0.24 ---- 0.28 0.50 0.15
 -------- 08:00 0.23 ---- 0.28 0.40 0.15
 -------- 09:00 0.17 ---- 0.30 0.26 0.12
 27.09.12 10:00 0.17 0.01 0.31 0.27 0.15
 -------- 11:00 0.13 0.03 0.31 0.16 0.13
 -------- 12:00 0.11 0.08 0.26 0.09 0.11
 -------- 13:00 0.09 0.14 0.23 0.06 0.09
 -------- 14:00 0.06 0.15 0.22 0.04 0.08
 27.09.12 15:00 0.06 0.11 0.25 0.05 0.09
 -------- 16:00 0.07 0.09 0.27 0.04 0.09
 -------- 17:00 0.09 0.08 0.27 0.05 0.10
 -------- 18:00 0.11 0.03 0.31 0.07 0.11
 -------- 19:00 0.11 0.04 0.34 0.07 0.12
 27.09.12 20:00 0.12 ---- 0.36 0.09 0.12
 -------- 21:00 0.10 0.04 0.32 0.06 0.12
 -------- 22:00 0.09 0.04 0.30 0.04 0.10
 -------- 23:00 0.10 0.01 0.33 0.05 0.10
 -------- 00:00 0.10 0.03 0.32 0.03 0.09
 28.09.12 01:00 0.09 0.05 0.31 0.02 0.09
 -------- 02:00 0.08 0.13 0.27 0.01 0.10
 -------- 03:00 0.07 0.19 0.24 0.01 0.09
 -------- 04:00 0.06 0.34 0.17 0.01 0.10
 -------- 05:00 0.06 0.42 0.13 0.01 0.08
 28.09.12 06:00 0.05 0.38 0.15 0.00 0.07
 -------- 07:00 0.06 0.39 0.16 0.01 0.08
 -------- 08:00 0.07 0.41 0.17 0.01 0.08
 -------- 09:00 0.08 0.41 0.18 0.01 0.09
 -------- 10:00 0.08 0.37 0.20 0.01 0.11
 28.09.12 11:00 0.09 0.34 0.24 0.02 0.11
 -------- 12:00 0.07 0.53 0.30 0.01 0.10
 -------- 13:00 0.06 0.29 0.20 0.01 0.10
 -------- 14:00 0.06 0.32 0.15 0.01 0.11
 -------- 15:00 0.06 0.32 0.14 0.01 0.11
 28.09.12 16:00 0.06 0.27 0.21 0.01 0.09
 -------- 17:00 0.06 0.32 0.17 0.00 0.08
 -------- 18:00 0.07 0.27 0.22 0.00 0.09
 -------- 19:00 0.10 0.14 0.36 0.01 0.12
 -------- 20:00 0.09 0.13 0.37 0.01 0.12
 28.09.12 21:00 0.05 0.28 0.18 0.00 0.14
 -------- 22:00 0.05 0.21 0.12 0.00 0.06
 -------- 23:00 0.05 0.19 0.15 0.00 0.03
