 Date Time CO OZ NO2 NO PM10
 27.11.12 12:00 0.09 0.01 0.13 0.08 0.04
 -------- 13:00 0.09 ---- 0.15 0.08 0.05
 -------- 14:00 0.08 0.01 0.17 0.07 0.05
 -------- 15:00 0.08 ---- 0.16 0.06 0.04
 -------- 16:00 0.08 ---- 0.17 0.07 0.05
 27.11.12 17:00 0.08 0.01 0.16 0.06 0.05
 -------- 18:00 0.07 0.02 0.13 0.02 0.03
 -------- 19:00 0.06 0.02 0.14 0.02 0.03
 -------- 20:00 0.07 0.01 0.16 0.03 0.03
 -------- 21:00 0.08 ---- 0.20 0.05 0.04
 27.11.12 22:00 0.09 ---- 0.19 0.05 0.05
 -------- 23:00 0.07 ---- 0.19 0.04 0.04
 -------- 00:00 0.07 ---- 0.18 0.05 0.05
 -------- 01:00 0.06 ---- 0.18 0.05 0.04
 -------- 02:00 0.06 ---- 0.18 0.04 0.04
 28.11.12 03:00 0.05 ---- 0.17 0.03 0.04
 -------- 04:00 0.05 ---- 0.16 0.02 0.03
 -------- 05:00 0.06 ---- 0.17 0.04 0.04
 -------- 06:00 0.08 ---- 0.19 0.11 0.04
 -------- 07:00 0.09 ---- 0.21 0.12 0.05
 28.11.12 08:00 0.11 ---- 0.21 0.15 0.06
 -------- 09:00 0.11 ---- 0.20 0.18 0.09
 -------- 10:00 0.10 ---- 0.19 0.13 0.09
 -------- 11:00 0.09 ---- 0.20 0.15 0.09
 -------- 12:00 0.08 ---- 0.17 0.10 0.08
 28.11.12 13:00 0.08 ---- 0.17 0.11 0.09
 -------- 14:00 0.09 ---- 0.19 0.17 0.09
 -------- 15:00 0.08 ---- 0.19 0.13 0.08
 -------- 16:00 0.08 ---- 0.22 0.17 0.08
 -------- 17:00 0.09 ---- 0.22 0.15 0.08
 28.11.12 18:00 0.11 ---- 0.23 0.14 0.06
 -------- 19:00 0.10 ---- 0.22 0.10 0.05
 -------- 20:00 0.09 ---- 0.21 0.07 0.05
 -------- 21:00 0.08 ---- 0.21 0.05 0.05
 -------- 22:00 0.06 0.01 0.19 0.02 0.03
 28.11.12 23:00 0.06 0.01 0.17 0.02 0.03
 -------- 00:00 0.06 0.01 0.17 0.02 0.04
 -------- 01:00 0.04 0.01 0.17 0.02 0.03
 -------- 02:00 0.04 0.02 0.16 0.01 0.03
 -------- 03:00 0.04 0.02 0.15 0.01 0.03
 29.11.12 04:00 0.04 0.03 0.14 0.01 0.03
 -------- 05:00 0.04 0.02 0.16 0.01 0.03
 -------- 06:00 0.04 0.02 0.17 0.01 0.03
 -------- 07:00 0.06 0.01 0.18 0.02 0.03
 -------- 08:00 0.06 0.01 0.20 0.03 0.04
 29.11.12 09:00 0.06 0.01 0.21 0.03 0.04
 -------- 10:00 0.06 0.02 0.21 0.03 0.04
 -------- 11:00 0.06 0.02 0.21 0.04 0.04
