 Date Time CO OZ NO2 NO PM10
 24.11.12 12:00 0.06 ---- 0.21 0.08 0.13
 -------- 13:00 0.06 0.01 0.21 0.09 0.14
 -------- 14:00 0.07 ---- 0.22 0.10 0.15
 -------- 15:00 0.08 ---- 0.24 0.11 0.17
 -------- 16:00 0.08 ---- 0.25 0.13 0.17
 24.11.12 17:00 0.09 ---- 0.26 0.15 0.18
 -------- 18:00 0.11 ---- 0.27 0.16 0.21
 -------- 19:00 0.12 ---- 0.26 0.16 0.19
 -------- 20:00 0.11 ---- 0.26 0.18 0.16
 -------- 21:00 0.12 ---- 0.29 0.28 0.18
 24.11.12 22:00 0.12 ---- 0.29 0.25 0.20
 -------- 23:00 0.11 ---- 0.28 0.21 0.22
 -------- 00:00 0.09 ---- 0.27 0.17 0.16
 -------- 01:00 0.09 ---- 0.27 0.15 0.12
 -------- 02:00 0.08 ---- 0.25 0.11 0.12
 25.11.12 03:00 0.07 ---- 0.23 0.07 0.11
 -------- 04:00 0.06 ---- 0.23 0.05 0.09
 -------- 05:00 0.06 ---- 0.23 0.05 0.08
 -------- 06:00 0.06 ---- 0.23 0.07 0.08
 -------- 07:00 0.06 ---- 0.22 0.04 0.08
 25.11.12 08:00 0.08 ---- 0.24 0.07 0.09
 -------- 09:00 0.11 ---- 0.23 0.07 0.12
 -------- 10:00 0.09 ---- 0.23 0.10 0.12
 -------- 11:00 0.07 0.01 0.22 0.09 0.12
 -------- 12:00 0.07 0.01 0.23 0.09 0.13
 25.11.12 13:00 0.06 0.01 0.23 0.10 0.13
 -------- 14:00 0.08 0.01 0.23 0.10 0.15
 -------- 15:00 0.08 0.01 0.24 0.10 0.14
 -------- 16:00 0.08 ---- 0.24 0.09 0.13
 -------- 17:00 0.08 ---- 0.26 0.09 0.11
 25.11.12 18:00 0.08 ---- 0.25 0.06 0.10
 -------- 19:00 0.06 ---- 0.25 0.09 0.11
 -------- 20:00 0.06 ---- 0.23 0.06 0.14
 -------- 21:00 0.06 ---- 0.24 0.06 0.14
 -------- 22:00 0.07 ---- 0.24 0.05 0.14
 25.11.12 23:00 0.08 ---- 0.24 0.06 0.14
 -------- 00:00 0.08 ---- 0.23 0.06 0.14
 -------- 01:00 0.06 ---- 0.21 0.03 0.08
 -------- 02:00 0.05 0.01 0.20 0.02 0.06
 -------- 03:00 0.04 0.01 0.19 0.01 0.06
 26.11.12 04:00 0.04 ---- 0.19 0.01 0.06
 -------- 05:00 0.04 ---- 0.19 0.01 0.05
 -------- 06:00 0.05 ---- 0.19 0.02 0.06
 -------- 07:00 0.06 ---- 0.19 0.04 0.06
 -------- 08:00 0.07 ---- 0.19 0.06 0.06
 26.11.12 09:00 0.08 ---- 0.19 0.06 0.07
 -------- 10:00 0.08 ---- 0.19 0.07 0.08
 -------- 11:00 0.09 ---- 0.18 0.08 0.08
