 Date Time CO OZ NO2 NO PM10
 01.12.12 12:00 0.09 ---- 0.15 0.09 0.05
 -------- 13:00 0.09 0.01 0.15 0.09 0.05
 -------- 14:00 0.10 ---- 0.16 0.10 0.06
 -------- 15:00 0.10 ---- 0.16 0.08 0.05
 -------- 16:00 0.10 ---- 0.17 0.10 0.05
 01.12.12 17:00 0.11 ---- 0.17 0.11 0.05
 -------- 18:00 0.12 ---- 0.17 0.12 0.06
 -------- 19:00 0.10 ---- 0.16 0.09 0.05
 -------- 20:00 0.10 ---- 0.16 0.08 0.04
 -------- 21:00 0.13 ---- 0.17 0.12 0.05
 01.12.12 22:00 0.15 ---- 0.18 0.17 0.06
 -------- 23:00 0.10 ---- 0.17 0.11 0.05
 -------- 00:00 0.11 ---- 0.16 0.14 0.05
 -------- 01:00 0.12 ---- 0.15 0.14 0.04
 -------- 02:00 0.13 ---- 0.15 0.18 0.04
 02.12.12 03:00 0.11 ---- 0.15 0.14 0.04
 -------- 04:00 0.08 ---- 0.15 0.07 0.03
 -------- 05:00 0.08 ---- 0.13 0.07 0.04
 -------- 06:00 0.07 ---- 0.12 0.06 0.04
 -------- 07:00 0.06 ---- 0.11 0.05 0.02
 02.12.12 08:00 0.04 ---- 0.12 0.03 0.01
 -------- 09:00 0.05 ---- 0.14 0.04 0.02
 -------- 10:00 0.07 ---- 0.15 0.04 0.03
 -------- 11:00 0.06 0.01 0.14 0.03 0.04
 -------- 12:00 0.06 0.02 0.15 0.04 0.03
 02.12.12 13:00 0.06 0.02 0.15 0.04 0.03
 -------- 14:00 0.06 0.03 0.13 0.02 0.03
 -------- 15:00 0.06 0.02 0.14 0.03 0.03
 -------- 16:00 0.07 0.01 0.17 0.03 0.03
 -------- 17:00 0.06 0.03 0.17 0.02 0.03
 02.12.12 18:00 0.05 0.03 0.16 0.01 0.02
 -------- 19:00 0.06 0.01 0.20 0.02 0.03
 -------- 20:00 0.06 0.01 0.21 0.03 0.03
 -------- 21:00 0.07 0.01 0.22 0.02 0.03
 -------- 22:00 0.06 0.02 0.20 0.01 0.03
 02.12.12 23:00 0.06 ---- 0.23 0.02 0.03
 -------- 00:00 0.05 ---- 0.23 0.02 0.03
 -------- 01:00 0.04 0.01 0.23 0.01 0.03
 -------- 02:00 0.04 0.01 0.24 0.01 0.03
 -------- 03:00 0.05 0.01 0.24 0.01 0.02
 03.12.12 04:00 0.05 0.01 0.24 0.01 0.02
 -------- 05:00 0.04 0.02 0.22 0.00 0.03
 -------- 06:00 0.04 ---- 0.25 0.02 0.02
 -------- 07:00 0.05 0.01 0.25 0.04 0.03
 -------- 08:00 0.08 ---- 0.28 0.10 0.04
 03.12.12 09:00 0.09 ---- 0.30 0.12 0.06
 -------- 10:00 0.08 ---- 0.29 0.10 0.06
 -------- 11:00 0.09 0.01 0.28 0.11 0.05
