 Date Time CO OZ NO2 NO PM10
 22.01.13 00:00 0.06 0.06 0.27 0.01 0.03
 -------- 01:00 0.05 0.11 0.22 0.01 0.03
 -------- 02:00 0.04 0.12 0.19 0.00 0.02
 -------- 03:00 0.04 0.14 0.20 0.01 0.02
 -------- 04:00 0.04 0.20 0.13 0.00 0.02
 22.01.13 05:00 0.04 0.14 0.19 0.00 0.02
 -------- 06:00 0.04 0.10 0.24 0.00 0.02
 -------- 07:00 0.06 0.07 0.26 0.01 0.03
 -------- 08:00 0.07 0.01 0.34 0.02 0.03
 -------- 09:00 0.08 0.01 0.36 0.04 0.03
 22.01.13 10:00 0.09 0.01 0.35 0.08 0.04
 -------- 11:00 0.09 0.03 0.36 0.11 0.05
 -------- 12:00 0.08 0.05 0.34 0.12 0.06
 -------- 13:00 0.11 0.04 0.37 0.19 0.06
 -------- 14:00 0.10 0.04 0.36 0.15 0.05
 22.01.13 15:00 0.09 0.04 0.33 0.12 0.05
 -------- 16:00 0.08 0.05 0.32 0.07 0.04
 -------- 17:00 0.07 0.05 0.32 0.05 0.03
 -------- 18:00 0.08 0.02 0.38 0.05 0.04
 -------- 19:00 0.07 0.03 0.34 0.03 0.04
 22.01.13 20:00 0.06 0.03 0.34 0.03 0.03
 -------- 21:00 0.07 0.05 0.31 0.03 0.03
 -------- 22:00 0.07 0.03 0.34 0.04 0.03
 -------- 23:00 0.07 0.02 0.36 0.05 0.04
 -------- 00:00 0.06 0.04 0.31 0.02 0.03
 23.01.13 01:00 0.05 0.04 0.29 0.02 0.04
 -------- 02:00 0.05 0.06 0.28 0.02 0.03
 -------- 03:00 0.04 0.08 0.26 0.01 0.03
