 Date Time CO OZ NO2 NO PM10
 21.10.12 12:00 0.04 0.15 0.11 0.01 0.05
 -------- 13:00 0.05 0.16 0.13 0.02 0.06
 -------- 14:00 0.05 0.18 0.11 0.01 0.07
 -------- 15:00 0.06 0.15 0.14 0.01 0.07
 -------- 16:00 0.06 0.15 0.14 0.01 0.07
 21.10.12 17:00 0.06 0.13 0.16 0.01 0.08
 -------- 18:00 0.08 0.06 0.23 0.01 0.08
 -------- 19:00 0.09 0.06 0.21 0.01 0.08
 -------- 20:00 0.06 0.12 0.14 0.01 0.05
 -------- 21:00 0.06 0.14 0.11 0.00 0.04
 21.10.12 22:00 0.05 0.15 0.10 0.00 0.04
 -------- 23:00 0.05 0.15 0.12 0.01 0.04
 -------- 00:00 0.04 0.17 0.09 0.00 0.03
 -------- 01:00 0.04 0.16 0.09 0.00 0.04
 -------- 02:00 0.04 0.15 0.09 0.00 0.05
 22.10.12 03:00 0.04 0.14 0.10 0.01 0.05
 -------- 04:00 0.04 0.13 0.09 0.00 0.06
 -------- 05:00 0.04 0.10 0.10 0.00 0.05
 -------- 06:00 0.05 0.06 0.13 0.00 0.03
 -------- 07:00 0.07 0.03 0.16 0.01 0.03
 22.10.12 08:00 0.09 ---- 0.22 0.04 0.03
 -------- 09:00 0.10 ---- 0.22 0.05 0.03
 -------- 10:00 0.11 0.01 0.20 0.08 0.03
 -------- 11:00 0.07 0.02 0.16 0.03 0.02
 -------- 12:00 0.06 0.02 0.15 0.04 0.02
 22.10.12 13:00 0.06 0.01 0.12 0.03 0.01
 -------- 14:00 0.06 0.05 0.15 0.03 0.02
 -------- 15:00 0.06 0.10 0.18 0.02 0.02
 -------- 16:00 0.06 0.12 0.18 0.01 0.03
 -------- 17:00 0.05 0.13 0.17 0.01 0.03
 22.10.12 18:00 0.04 0.17 0.17 0.01 0.02
 -------- 19:00 0.05 0.12 0.18 0.02 0.03
 -------- 20:00 0.05 0.11 0.19 0.01 0.03
 -------- 21:00 0.04 0.15 0.11 0.01 0.02
 -------- 22:00 0.04 0.12 0.14 0.01 0.02
 22.10.12 23:00 0.04 0.13 0.13 0.00 0.01
 -------- 00:00 0.04 0.12 0.12 0.00 0.02
 -------- 01:00 0.03 0.12 0.10 0.00 0.02
 -------- 02:00 0.03 0.12 0.10 0.00 0.02
 -------- 03:00 0.03 0.15 0.08 0.00 0.02
 23.10.12 04:00 0.02 0.15 0.09 0.00 0.01
 -------- 05:00 0.02 0.16 0.07 0.00 0.02
 -------- 06:00 0.03 0.14 0.10 0.01 0.01
 -------- 07:00 0.04 0.11 0.14 0.00 0.02
 -------- 08:00 0.05 0.06 0.19 0.01 0.03
 23.10.12 09:00 0.06 0.03 0.26 0.06 0.04
 -------- 10:00 0.07 0.03 0.26 0.04 0.06
 -------- 11:00 0.07 0.03 0.26 0.05 0.07
