 Date Time CO OZ NO2 NO PM10
 22.10.12 00:00 0.04 0.17 0.10 0.00 0.03
 -------- 01:00 0.04 0.16 0.09 0.00 0.04
 -------- 02:00 0.04 0.15 0.09 0.00 0.05
 -------- 03:00 0.04 0.14 0.10 0.01 0.05
 -------- 04:00 0.04 0.13 0.09 0.00 0.06
 22.10.12 05:00 0.04 0.10 0.10 0.00 0.05
 -------- 06:00 0.05 0.06 0.13 0.00 0.03
 -------- 07:00 0.07 0.03 0.16 0.01 0.03
 -------- 08:00 0.09 ---- 0.22 0.04 0.03
 -------- 09:00 0.10 ---- 0.22 0.05 0.03
 22.10.12 10:00 0.11 0.01 0.20 0.08 0.03
 -------- 11:00 0.07 0.02 0.16 0.03 0.02
 -------- 12:00 0.06 0.02 0.15 0.04 0.02
 -------- 13:00 0.06 0.01 0.12 0.03 0.01
 -------- 14:00 0.06 0.05 0.15 0.03 0.02
 22.10.12 15:00 0.06 0.10 0.18 0.02 0.02
 -------- 16:00 0.06 0.12 0.18 0.01 0.03
 -------- 17:00 0.05 0.13 0.17 0.01 0.03
 -------- 18:00 0.04 0.17 0.17 0.01 0.02
 -------- 19:00 0.05 0.12 0.18 0.02 0.03
 22.10.12 20:00 0.05 0.11 0.19 0.01 0.03
 -------- 21:00 0.04 0.15 0.11 0.01 0.02
 -------- 22:00 0.04 0.12 0.14 0.01 0.02
 -------- 23:00 0.04 0.13 0.13 0.00 0.01
 -------- 00:00 0.04 0.12 0.12 0.00 0.02
 23.10.12 01:00 0.03 0.12 0.10 0.00 0.02
 -------- 02:00 0.03 0.12 0.10 0.00 0.02
 -------- 03:00 0.03 0.15 0.08 0.00 0.02
 -------- 04:00 0.02 0.15 0.09 0.00 0.01
 -------- 05:00 0.02 0.16 0.07 0.00 0.02
 23.10.12 06:00 0.03 0.14 0.10 0.01 0.01
 -------- 07:00 0.04 0.11 0.14 0.00 0.02
 -------- 08:00 0.05 0.06 0.19 0.01 0.03
 -------- 09:00 0.06 0.03 0.26 0.06 0.04
 -------- 10:00 0.07 0.03 0.26 0.04 0.06
 23.10.12 11:00 0.07 0.03 0.26 0.05 0.07
 -------- 12:00 0.08 0.02 0.29 0.07 0.06
 -------- 13:00 0.08 0.02 0.27 0.06 0.07
 -------- 14:00 0.06 0.02 0.25 0.05 0.06
 -------- 15:00 0.07 0.03 0.26 0.05 0.05
 23.10.12 16:00 0.07 0.01 0.26 0.06 0.07
 -------- 17:00 0.06 0.01 0.27 0.05 0.07
 -------- 18:00 0.07 0.01 0.28 0.05 0.07
 -------- 19:00 0.07 0.02 0.28 0.03 0.05
 -------- 20:00 0.06 0.01 0.27 0.03 0.06
 23.10.12 21:00 0.05 0.02 0.25 0.01 0.07
 -------- 22:00 0.07 0.01 0.28 0.03 0.08
