 Date Time CO OZ NO2 NO PM10
 02.01.13 00:00 0.08 0.01 0.25 0.02 0.04
 -------- 01:00 0.08 0.01 0.24 0.02 0.05
 -------- 02:00 0.08 0.02 0.21 0.02 0.04
 -------- 03:00 0.06 0.06 0.16 0.01 0.03
 -------- 04:00 0.06 0.12 0.09 0.01 0.03
 02.01.13 05:00 0.06 0.12 0.10 0.01 0.03
 -------- 06:00 0.06 0.13 0.10 0.01 0.04
 -------- 07:00 0.06 0.13 0.11 0.01 0.04
 -------- 08:00 0.06 0.15 0.10 0.01 0.04
 -------- 09:00 0.06 0.13 0.12 0.00 0.04
 02.01.13 10:00 0.05 0.12 0.14 0.00 0.05
 -------- 11:00 0.04 0.13 0.13 0.00 0.05
 -------- 12:00 0.06 0.12 0.14 0.01 0.05
 -------- 13:00 0.06 0.13 0.15 0.01 0.05
 -------- 14:00 0.06 0.12 0.18 0.01 0.06
 02.01.13 15:00 0.06 0.11 0.20 0.02 0.06
 -------- 16:00 0.06 0.11 0.21 0.01 0.06
 -------- 17:00 0.06 0.11 0.22 0.01 0.05
 -------- 18:00 0.06 0.09 0.25 0.01 0.05
 -------- 19:00 0.07 0.08 0.26 0.01 0.05
 02.01.13 20:00 0.06 0.10 0.24 0.00 0.05
 -------- 21:00 0.07 0.10 0.24 0.01 0.05
 -------- 22:00 0.06 0.12 0.23 0.01 0.05
 -------- 23:00 0.07 0.15 0.19 0.00 0.05
 -------- 00:00 0.06 0.15 0.18 0.00 0.05
 03.01.13 01:00 0.06 0.16 0.17 0.00 0.05
 -------- 02:00 0.06 0.19 0.13 0.00 0.05
 -------- 03:00 0.05 0.20 0.11 0.01 0.05
 -------- 04:00 0.06 0.18 0.13 ---- 0.05
 -------- 05:00 0.06 0.17 0.13 0.00 0.06
 03.01.13 06:00 0.06 0.16 0.15 0.00 0.06
 -------- 07:00 0.06 0.14 0.18 0.00 0.06
 -------- 08:00 0.06 0.14 0.17 0.00 0.06
 -------- 09:00 0.07 0.12 0.19 0.00 0.06
 -------- 10:00 0.08 0.10 0.22 0.00 0.07
 03.01.13 11:00 0.08 0.09 0.23 0.01 0.08
 -------- 12:00 0.08 0.10 0.22 0.02 0.08
 -------- 13:00 0.08 0.11 0.20 0.02 0.08
 -------- 14:00 0.09 0.09 0.23 0.02 0.09
 -------- 15:00 0.09 0.07 0.24 0.02 0.09
 03.01.13 16:00 0.08 0.11 0.17 0.01 0.08
 -------- 17:00 0.08 0.11 0.15 0.01 0.07
 -------- 18:00 0.07 0.11 0.16 0.01 0.06
 -------- 19:00 0.07 0.06 0.23 0.01 0.05
 -------- 20:00 0.08 0.05 0.24 0.01 0.06
 03.01.13 21:00 0.08 0.04 0.22 0.01 0.07
 -------- 22:00 0.07 0.05 0.20 0.01 0.06
 -------- 23:00 0.08 0.05 0.20 0.01 0.05
