 Date Time CO OZ NO2 NO PM10
 28.03.13 12:00 0.07 0.23 0.20 0.04 0.03
 -------- 13:00 0.04 0.26 0.14 0.02 0.02
 -------- 14:00 0.04 0.29 0.11 0.01 0.02
 -------- 15:00 0.04 0.29 0.14 0.02 0.03
 -------- 16:00 0.04 0.30 0.13 0.01 0.03
 28.03.13 17:00 0.04 0.30 0.14 0.01 0.03
 -------- 18:00 0.05 0.30 0.16 0.01 0.03
 -------- 19:00 0.05 0.28 0.20 0.02 0.03
 -------- 20:00 0.06 0.21 0.28 0.01 0.04
 -------- 21:00 0.08 0.14 0.39 0.01 0.04
 28.03.13 22:00 0.09 0.03 0.53 0.03 0.05
 -------- 23:00 0.07 0.06 0.49 0.02 0.05
 -------- 00:00 0.07 0.05 0.48 0.03 0.04
 -------- 01:00 0.08 ---- 0.56 0.07 0.06
 -------- 02:00 0.07 0.01 0.54 0.05 0.05
 29.03.13 03:00 0.07 ---- 0.55 0.07 0.05
 -------- 04:00 0.06 ---- 0.54 0.05 0.05
 -------- 05:00 0.07 ---- 0.56 0.08 0.07
 -------- 06:00 0.06 ---- 0.54 0.06 0.04
 -------- 07:00 0.09 0.01 0.54 0.06 0.04
 29.03.13 08:00 0.11 0.02 0.55 0.13 0.05
 -------- 09:00 0.14 0.03 0.57 0.18 0.07
 -------- 10:00 0.12 0.05 0.53 0.16 0.06
 -------- 11:00 0.11 0.07 0.52 0.15 0.07
 -------- 12:00 0.07 0.21 0.31 0.06 0.05
 29.03.13 13:00 0.04 0.34 0.14 0.02 0.03
 -------- 14:00 0.04 0.35 0.13 0.02 0.06
 -------- 15:00 0.04 0.36 0.13 0.01 0.03
 -------- 16:00 0.04 0.36 0.14 0.01 0.03
 -------- 17:00 0.04 0.37 0.14 0.01 0.03
 29.03.13 18:00 0.05 0.36 0.15 0.02 0.02
 -------- 19:00 0.04 0.33 0.18 0.01 0.03
 -------- 20:00 0.07 0.19 0.32 0.01 0.05
 -------- 21:00 0.11 0.03 0.55 0.02 0.08
 -------- 22:00 0.22 ---- 0.64 0.26 0.11
 29.03.13 23:00 0.18 ---- 0.62 0.22 0.10
