 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 28.09.12 12:00 0.12 ---- 0.12 0.25 0.17 1.49 0.02 0.16
 -------- 13:00 0.12 ---- 0.12 0.27 0.19 1.51 0.02 0.17
 -------- 14:00 0.12 ---- 0.12 0.29 0.18 1.51 0.02 0.15
 -------- 15:00 0.13 ---- 0.12 0.26 0.22 1.52 0.02 0.14
 -------- 16:00 0.12 ---- 0.12 0.29 0.21 1.52 0.02 0.13
 28.09.12 17:00 0.12 ---- 0.12 0.25 0.26 1.54 0.02 0.13
 -------- 18:00 0.13 ---- 0.12 0.24 0.27 1.54 0.02 0.13
 -------- 19:00 0.10 ---- 0.17 0.21 0.29 1.59 0.02 0.17
 -------- 20:00 0.07 ---- 0.21 0.22 0.26 1.57 0.02 0.21
 -------- 21:00 0.04 ---- 0.12 0.33 0.16 1.50 0.01 0.15
 28.09.12 22:00 0.02 ---- 0.12 0.32 0.09 1.44 0.00 0.10
 -------- 23:00 0.02 ---- 0.29 0.30 0.11 1.48 0.00 0.02
 -------- 00:00 0.02 ---- ---- 0.30 0.09 1.44 0.00 0.03
 -------- 01:00 ---- ---- 0.12 0.29 0.07 1.43 0.00 0.02
 -------- 02:00 ---- ---- 0.25 0.25 0.08 1.44 0.00 0.02
 29.09.12 03:00 ---- ---- ---- 0.22 0.07 1.42 0.00 0.02
 -------- 04:00 ---- ---- ---- 0.23 0.07 1.43 0.00 0.02
 -------- 05:00 ---- ---- ---- 0.23 0.07 1.43 0.00 0.02
 -------- 06:00 0.02 ---- ---- 0.17 0.11 1.44 0.01 0.03
 -------- 07:00 0.04 ---- ---- 0.16 0.10 1.42 0.01 0.03
 29.09.12 08:00 0.06 ---- ---- 0.16 0.11 1.42 0.01 0.03
 -------- 09:00 0.06 ---- ---- 0.19 0.09 1.42 0.01 0.04
 -------- 10:00 0.06 ---- ---- 0.19 0.11 1.45 0.01 0.04
 -------- 11:00 0.06 ---- ---- 0.21 0.09 1.45 0.01 0.03
 -------- 12:00 0.08 ---- 0.19 0.21 0.10 1.50 0.01 0.04
 29.09.12 13:00 0.06 ---- ---- 0.25 0.07 1.45 0.01 0.03
 -------- 14:00 0.06 ---- ---- 0.25 0.07 1.45 0.01 0.03
 -------- 15:00 0.06 ---- ---- 0.25 0.07 1.44 0.01 0.04
 -------- 16:00 0.06 ---- ---- 0.26 0.07 1.44 0.01 0.04
 -------- 17:00 0.06 ---- ---- 0.26 0.08 1.45 0.01 0.03
 29.09.12 18:00 0.07 ---- 0.25 0.23 0.12 1.51 0.01 0.05
 -------- 19:00 0.07 ---- ---- 0.17 0.18 1.50 0.00 0.06
 -------- 20:00 0.07 ---- ---- 0.11 0.21 1.52 0.01 0.07
 -------- 21:00 0.11 ---- ---- 0.03 0.29 1.62 0.05 0.10
 -------- 22:00 0.13 ---- 0.12 0.01 0.29 1.63 0.07 0.11
 29.09.12 23:00 0.15 ---- 0.12 0.01 0.29 1.62 0.09 0.10
 -------- 00:00 0.09 ---- ---- 0.02 0.28 1.58 0.03 0.08
 -------- 01:00 0.09 ---- 0.12 0.01 0.29 1.59 0.05 0.10
 -------- 02:00 0.08 ---- ---- 0.03 0.26 1.58 0.03 0.08
 -------- 03:00 0.08 ---- ---- 0.02 0.23 1.62 0.03 0.07
 30.09.12 04:00 0.13 ---- 0.17 0.01 0.22 1.77 0.14 0.12
 -------- 05:00 0.11 ---- 0.12 0.01 0.22 1.75 0.10 0.11
 -------- 06:00 0.10 ---- 0.19 0.01 0.23 1.78 0.10 0.08
 -------- 07:00 0.10 ---- 0.12 0.01 0.22 1.73 0.06 0.07
 -------- 08:00 0.11 ---- 0.12 0.01 0.20 1.78 0.10 0.08
 30.09.12 09:00 0.15 ---- 0.25 0.02 0.20 1.80 0.14 0.09
 -------- 10:00 0.13 ---- 0.17 0.04 0.21 1.71 0.11 0.10
 -------- 11:00 0.12 ---- 0.12 0.06 0.20 1.67 0.09 0.12
