 Date Time CO H2S OZ NO2 CHX NO
 13.10.12 12:00 0.06 ---- 0.13 0.16 1.54 0.03
 -------- 13:00 0.05 ---- 0.11 0.16 1.58 0.03
 -------- 14:00 0.06 ---- 0.12 0.14 1.56 0.03
 -------- 15:00 0.05 ---- 0.14 0.12 1.55 0.02
 -------- 16:00 0.06 ---- 0.13 0.14 1.55 0.02
 13.10.12 17:00 0.07 ---- 0.10 0.17 1.57 0.02
 -------- 18:00 0.09 ---- 0.05 0.22 1.58 0.03
 -------- 19:00 0.11 0.12 0.01 0.25 1.60 0.04
 -------- 20:00 0.14 0.71 0.01 0.26 1.81 0.06
 -------- 21:00 0.15 1.33 0.01 0.27 1.94 0.09
 13.10.12 22:00 0.15 1.33 0.01 0.27 1.98 0.10
 -------- 23:00 0.14 1.12 0.01 0.28 1.86 0.07
 -------- 00:00 0.15 1.50 0.01 0.27 1.97 0.10
 -------- 01:00 0.11 1.33 0.01 0.25 1.84 0.05
 -------- 02:00 0.11 0.46 0.01 0.22 1.68 0.04
 14.10.12 03:00 0.12 0.17 0.01 0.21 1.71 0.05
 -------- 04:00 0.14 0.12 0.01 0.20 1.72 0.09
 -------- 05:00 0.12 0.12 0.01 0.20 1.77 0.07
 -------- 06:00 0.11 0.12 0.01 0.19 1.67 0.10
 -------- 07:00 0.18 0.21 0.01 0.19 1.78 0.21
 14.10.12 08:00 0.25 0.58 0.01 0.21 2.03 0.38
 -------- 09:00 0.21 0.38 0.01 0.19 1.96 0.28
 -------- 10:00 0.20 0.38 0.01 0.23 1.93 0.24
 -------- 11:00 0.13 0.12 0.03 0.22 1.69 0.12
 -------- 12:00 0.07 ---- 0.10 0.15 1.57 0.04
 14.10.12 13:00 0.06 ---- 0.13 0.15 1.54 0.02
 -------- 14:00 0.08 ---- 0.12 0.16 1.53 0.02
 -------- 15:00 0.08 ---- 0.09 0.20 1.56 0.04
 -------- 16:00 0.10 ---- 0.08 0.21 1.61 0.05
 -------- 17:00 0.11 ---- 0.06 0.22 1.63 0.04
 14.10.12 18:00 0.11 ---- 0.04 0.23 1.65 0.04
 -------- 19:00 0.14 ---- 0.02 0.26 1.71 0.07
 -------- 20:00 0.12 0.12 0.01 0.27 1.74 0.08
 -------- 21:00 0.10 ---- 0.04 0.24 1.61 0.04
 -------- 22:00 0.06 ---- 0.04 0.23 1.59 0.04
 14.10.12 23:00 0.06 ---- 0.02 0.24 1.63 0.04
 -------- 00:00 0.07 ---- 0.01 0.24 1.67 0.06
 -------- 01:00 0.06 ---- 0.01 0.24 1.68 0.06
 -------- 02:00 0.05 ---- 0.01 0.23 1.73 0.04
 -------- 03:00 0.04 ---- 0.01 0.21 1.73 0.03
 15.10.12 04:00 0.04 ---- 0.01 0.21 1.75 0.04
 -------- 05:00 0.06 ---- 0.01 0.21 1.79 0.05
 -------- 06:00 0.05 ---- 0.01 0.20 1.71 0.06
 -------- 07:00 0.07 0.12 0.01 0.20 1.68 0.07
 -------- 08:00 0.09 ---- 0.01 0.19 1.68 0.08
 15.10.12 09:00 0.08 0.12 0.02 0.18 1.68 0.09
 -------- 10:00 0.05 0.12 0.04 0.16 1.65 0.06
 -------- 11:00 0.06 ---- 0.05 0.16 1.64 0.07
