 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 14.02.13 12:00 0.12 0.01 ---- 0.14 0.23 1.69 0.12 0.11
 -------- 13:00 0.12 0.01 0.12 0.16 0.24 1.79 0.14 0.13
 -------- 14:00 0.10 0.02 0.12 0.26 0.20 1.63 0.08 0.11
 -------- 15:00 0.10 0.02 0.12 0.22 0.26 1.61 0.09 0.11
 -------- 16:00 0.10 0.01 ---- 0.21 0.26 1.66 0.06 0.10
 14.02.13 17:00 0.10 0.01 ---- 0.16 0.30 1.76 0.06 0.10
 -------- 18:00 0.11 0.01 0.12 0.09 0.34 1.73 0.05 0.11
 -------- 19:00 0.12 0.01 0.12 0.03 0.38 1.69 0.07 0.12
 -------- 20:00 0.13 0.01 0.17 0.03 0.37 1.74 0.06 0.12
 -------- 21:00 0.11 0.15 0.46 0.05 0.38 1.91 0.06 0.11
 14.02.13 22:00 0.12 0.40 1.17 0.03 0.39 1.91 0.07 0.12
 -------- 23:00 0.11 0.11 0.33 0.02 0.38 1.86 0.05 0.12
 -------- 00:00 0.11 0.20 0.58 0.02 0.36 2.41 0.05 0.13
 -------- 01:00 0.10 0.12 0.29 0.10 0.29 1.80 0.03 0.10
 -------- 02:00 0.08 0.03 0.12 0.14 0.25 1.65 0.01 0.09
 15.02.13 03:00 0.09 0.03 0.17 0.05 0.33 1.92 0.03 0.10
 -------- 04:00 0.07 0.03 0.12 0.13 0.26 1.64 0.02 0.11
 -------- 05:00 0.08 0.02 0.12 0.19 0.23 1.63 0.01 0.09
 -------- 06:00 0.11 0.05 0.17 0.02 0.33 2.02 0.10 0.12
 -------- 07:00 0.08 0.10 0.42 0.02 0.34 2.01 0.09 0.13
 15.02.13 08:00 0.09 0.08 0.50 0.02 0.36 2.12 0.06 0.12
 -------- 09:00 0.09 0.04 0.38 0.03 0.33 2.05 0.06 0.12
 -------- 10:00 0.09 0.03 0.38 0.03 0.31 2.10 0.09 0.10
 -------- 11:00 0.10 0.04 0.25 0.05 0.29 2.11 0.13 0.12
 -------- 12:00 0.11 0.03 0.21 0.08 0.26 2.08 0.18 0.16
 15.02.13 13:00 0.10 0.03 0.12 0.11 0.26 1.90 0.17 0.21
 -------- 14:00 0.10 0.02 0.12 0.14 0.27 1.74 0.15 0.25
 -------- 15:00 0.11 0.02 0.19 0.13 0.28 1.75 0.16 0.22
 -------- 16:00 0.09 0.02 0.25 0.15 0.29 1.82 0.09 0.14
 -------- 17:00 0.09 0.02 0.25 0.13 0.32 1.74 0.07 0.13
 15.02.13 18:00 0.09 0.02 0.38 0.04 0.37 1.83 0.09 0.14
 -------- 19:00 0.09 0.02 0.33 0.04 0.39 2.04 0.04 0.14
 -------- 20:00 0.13 0.03 0.62 0.02 0.40 2.12 0.09 0.13
 -------- 21:00 0.13 0.04 0.33 0.06 0.35 1.94 0.09 0.13
 -------- 22:00 0.10 0.02 0.25 0.11 0.31 1.69 0.04 0.10
 15.02.13 23:00 0.11 0.01 0.25 0.06 0.35 1.76 0.03 0.10
 -------- 00:00 0.12 0.01 0.17 0.02 0.36 1.79 0.08 0.10
 -------- 01:00 0.15 0.01 0.50 0.01 0.34 1.99 0.16 0.12
 -------- 02:00 0.20 0.01 1.04 0.01 0.28 2.43 0.31 0.17
 -------- 03:00 0.19 0.01 1.00 0.01 0.29 2.30 0.29 0.15
 16.02.13 04:00 0.18 0.01 0.83 0.01 0.28 2.39 0.28 0.15
 -------- 05:00 0.21 0.01 1.54 0.01 0.28 2.92 0.35 0.17
 -------- 06:00 0.24 0.01 1.75 0.01 0.25 3.16 0.41 0.19
 -------- 07:00 0.29 0.01 1.54 0.01 0.23 3.32 0.50 0.19
 -------- 08:00 0.31 0.01 1.42 0.01 0.21 3.39 0.55 0.18
 16.02.13 09:00 0.30 0.01 0.88 0.01 0.27 2.81 0.39 0.15
 -------- 10:00 0.15 0.01 0.29 0.06 0.32 2.12 0.12 0.09
 -------- 11:00 0.12 0.01 0.33 0.12 0.30 1.88 0.08 0.10
