 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 27.11.12 12:00 0.08 ---- ---- 0.01 0.16 1.65 0.10 ----
 -------- 13:00 0.09 0.00 0.12 0.01 0.17 1.69 0.11 ----
 -------- 14:00 0.09 0.00 ---- 0.01 0.17 1.66 0.09 ----
 -------- 15:00 0.08 0.00 0.12 0.01 0.17 1.65 0.07 ----
 -------- 16:00 0.08 0.00 0.17 0.01 0.17 1.64 0.06 ----
 27.11.12 17:00 0.08 0.00 0.12 ---- 0.17 1.64 0.07 ----
 -------- 18:00 0.07 0.00 0.12 0.01 0.16 1.60 0.05 ----
 -------- 19:00 0.08 0.00 ---- ---- 0.18 1.60 0.04 ----
 -------- 20:00 0.08 0.00 ---- ---- 0.19 1.61 0.04 ----
 -------- 21:00 0.08 0.00 ---- ---- 0.20 1.61 0.05 ----
 27.11.12 22:00 0.07 0.00 0.21 ---- 0.20 1.65 0.05 ----
 -------- 23:00 0.07 0.00 0.25 ---- 0.20 1.65 0.05 ----
 -------- 00:00 0.06 0.00 0.12 ---- 0.19 1.62 0.05 ----
 -------- 01:00 0.06 0.01 0.29 ---- 0.19 1.62 0.04 ----
 -------- 02:00 0.06 0.01 ---- ---- 0.18 1.59 0.04 ----
 28.11.12 03:00 0.06 0.01 0.25 ---- 0.19 1.63 0.04 ----
 -------- 04:00 0.06 0.01 0.25 ---- 0.18 1.72 0.04 ----
 -------- 05:00 0.07 0.01 0.75 ---- 0.18 2.02 0.06 ----
 -------- 06:00 0.07 0.01 0.12 ---- 0.17 1.80 0.06 ----
 -------- 07:00 0.07 0.01 ---- ---- 0.16 1.79 0.06 ----
 28.11.12 08:00 0.08 0.01 0.12 ---- 0.15 1.69 0.07 ----
 -------- 09:00 0.08 0.01 ---- ---- 0.15 1.64 0.07 ----
 -------- 10:00 0.06 0.01 ---- 0.01 0.15 1.60 0.06 ----
 -------- 11:00 0.06 0.01 ---- 0.01 0.13 1.60 0.06 ----
 -------- 12:00 0.06 0.00 ---- 0.01 0.13 1.60 0.06 ----
 28.11.12 13:00 0.07 0.00 ---- 0.01 0.17 1.60 0.12 ----
 -------- 14:00 0.07 0.01 ---- ---- ---- 1.61 ---- ----
 -------- 15:00 0.08 ---- ---- ---- ---- 1.62 ---- ----
 -------- 16:00 0.08 0.01 0.25 0.01 0.10 1.61 0.17 ----
 -------- 17:00 0.08 0.01 0.25 ---- 0.05 1.61 0.34 ----
 28.11.12 18:00 0.07 0.01 0.12 ---- 0.05 1.60 0.37 ----
 -------- 19:00 0.07 0.01 0.12 ---- 0.03 1.61 0.41 ----
 -------- 20:00 0.06 0.01 0.12 ---- 0.07 1.66 0.32 ----
 -------- 21:00 0.07 0.01 ---- ---- 0.07 1.64 0.31 ----
 -------- 22:00 0.07 0.02 ---- 0.01 0.14 1.76 0.13 ----
 28.11.12 23:00 0.04 0.16 0.12 0.01 0.18 1.79 0.06 ----
 -------- 00:00 0.04 0.12 0.17 0.02 0.16 1.80 0.05 ----
 -------- 01:00 0.04 0.21 0.46 0.03 0.17 1.89 0.03 ----
 -------- 02:00 0.03 0.19 0.42 0.03 0.17 1.73 0.04 ----
 -------- 03:00 0.03 0.28 0.62 0.04 0.17 1.75 0.03 ----
 29.11.12 04:00 0.02 0.25 0.54 0.05 0.17 1.80 0.02 ----
 -------- 05:00 0.02 0.12 0.17 0.08 0.16 1.78 0.01 ----
 -------- 06:00 0.02 0.04 0.12 0.07 0.16 1.76 0.02 ----
 -------- 07:00 0.03 0.02 0.12 0.06 0.17 1.75 0.02 ----
 -------- 08:00 0.04 0.02 0.12 0.06 0.18 1.73 0.02 ----
 29.11.12 09:00 0.04 0.04 0.12 0.07 0.18 1.68 0.03 ----
 -------- 10:00 0.04 0.07 0.12 0.09 0.18 1.68 0.03 ----
 -------- 11:00 0.04 0.04 ---- 0.10 0.18 1.72 0.03 ----
