 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 22.03.13 00:00 0.04 0.02 0.44 0.43 0.18 1.53 0.00 0.02
 -------- 01:00 0.04 0.02 0.17 0.41 0.18 1.53 0.01 0.02
 -------- 02:00 0.04 0.03 0.29 0.34 0.22 1.55 0.01 0.03
 -------- 03:00 0.04 0.03 0.42 0.36 0.20 1.56 0.01 0.03
 -------- 04:00 0.04 0.03 0.46 0.27 0.25 1.60 0.01 0.03
 22.03.13 05:00 0.04 0.03 0.50 0.14 0.35 1.66 0.02 0.03
 -------- 06:00 0.04 0.03 0.50 0.16 0.33 1.70 0.02 0.03
 -------- 07:00 0.04 0.02 0.50 0.16 0.30 1.68 0.03 0.03
 -------- 08:00 0.07 0.02 0.46 0.15 0.29 1.68 0.07 0.03
 -------- 09:00 0.09 0.03 0.50 0.14 0.29 1.74 0.17 0.06
 22.03.13 10:00 0.10 0.03 0.54 0.19 0.25 1.73 0.20 0.06
 -------- 11:00 0.10 0.02 0.31 0.22 0.25 1.75 0.22 0.07
 -------- 12:00 0.05 0.02 0.25 0.35 0.20 1.60 0.12 0.04
 -------- 13:00 0.03 0.02 0.25 0.43 0.14 1.53 0.07 0.03
 -------- 14:00 0.02 0.02 0.31 0.44 0.13 1.54 0.06 0.03
 22.03.13 15:00 0.02 0.01 0.12 0.42 0.14 1.54 0.06 0.03
 -------- 16:00 0.02 0.02 0.31 0.43 0.13 1.52 0.04 0.03
 -------- 17:00 0.02 0.01 0.12 0.41 0.15 1.51 0.03 0.03
 -------- 18:00 0.02 0.02 0.38 0.35 0.19 1.52 0.03 0.03
 -------- 19:00 0.03 0.01 0.25 0.27 0.24 1.53 0.02 0.03
 22.03.13 20:00 0.03 0.02 0.33 0.17 0.26 1.55 0.01 0.03
 -------- 21:00 0.02 0.02 0.46 0.23 0.19 1.51 0.01 0.02
 -------- 22:00 0.02 0.02 0.46 0.15 0.21 1.51 0.01 0.02
 -------- 23:00 0.02 0.00 ---- 0.22 0.16 1.51 0.01 0.02
 -------- 00:00 0.02 0.01 0.12 0.19 0.15 1.50 0.01 0.02
 23.03.13 01:00 0.02 0.02 0.29 0.25 0.13 1.49 0.01 0.02
 -------- 02:00 0.02 0.02 0.38 0.14 0.19 1.51 0.01 0.03
 -------- 03:00 0.02 0.03 0.38 0.16 0.20 1.53 0.01 0.03
 -------- 04:00 0.02 0.03 0.42 0.28 0.16 1.51 0.01 0.02
 -------- 05:00 0.03 0.03 0.42 0.27 0.17 1.51 0.01 0.03
 23.03.13 06:00 0.02 0.03 0.50 0.24 0.20 1.51 0.01 0.03
 -------- 07:00 0.06 0.03 0.50 0.24 0.18 1.52 0.01 0.03
 -------- 08:00 0.08 0.03 0.50 0.22 0.20 1.53 0.03 0.04
 -------- 09:00 0.08 0.04 0.50 0.23 0.20 1.54 0.05 0.04
 -------- 10:00 0.08 0.03 0.42 0.31 0.16 1.55 0.04 0.04
 23.03.13 11:00 0.06 0.01 ---- 0.42 0.12 1.56 0.04 0.04
 -------- 12:00 0.06 0.02 0.21 0.51 0.08 1.54 0.03 0.05
 -------- 13:00 0.06 0.02 0.38 0.54 0.07 1.52 0.02 0.04
 -------- 14:00 0.06 0.01 ---- 0.52 0.08 1.51 0.02 0.03
 -------- 15:00 0.05 0.01 0.25 0.54 0.07 1.48 0.02 0.03
 23.03.13 16:00 0.06 0.02 0.42 0.53 0.09 1.49 0.02 0.03
 -------- 17:00 0.05 0.01 0.12 0.55 0.08 1.48 0.01 0.04
 -------- 18:00 0.06 0.01 0.25 0.51 0.11 1.49 0.01 0.06
 -------- 19:00 0.04 0.02 0.33 0.47 0.13 1.56 0.01 0.04
 -------- 20:00 0.04 0.02 0.38 0.49 0.11 1.49 0.01 0.02
 23.03.13 21:00 0.04 0.02 0.42 0.47 0.12 1.49 0.01 0.05
 -------- 22:00 0.04 0.01 0.44 0.47 0.11 1.48 0.01 0.03
 -------- 23:00 0.04 0.00 ---- 0.47 0.12 1.48 0.01 0.02
