 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 16.12.12 00:00 0.03 0.01 0.12 0.09 0.21 1.59 0.03 0.06
 -------- 01:00 0.02 0.02 0.12 0.10 0.20 1.59 0.02 0.06
 -------- 02:00 0.02 0.01 ---- 0.09 0.21 1.61 0.02 0.06
 -------- 03:00 0.02 0.01 ---- 0.11 0.19 1.61 0.01 0.06
 -------- 04:00 0.02 0.01 ---- 0.10 0.19 1.62 0.01 0.06
 16.12.12 05:00 0.02 0.01 ---- 0.08 0.20 1.61 0.02 0.05
 -------- 06:00 0.02 0.01 0.17 0.09 0.20 1.61 0.02 0.06
 -------- 07:00 0.07 0.01 0.12 0.08 0.20 1.62 0.03 0.06
 -------- 08:00 0.08 0.01 ---- 0.07 0.20 1.62 0.03 0.05
 -------- 09:00 0.10 0.00 ---- 0.05 0.20 1.63 0.04 0.06
 16.12.12 10:00 0.10 0.00 ---- 0.06 0.20 1.64 0.06 0.06
 -------- 11:00 0.10 0.00 ---- 0.11 0.16 1.66 0.06 0.06
 -------- 12:00 0.10 0.00 ---- 0.16 0.13 1.67 0.06 0.07
 -------- 13:00 0.10 0.01 ---- 0.18 0.14 1.65 0.05 0.06
 -------- 14:00 0.11 0.01 ---- 0.17 0.15 1.66 0.06 0.07
 16.12.12 15:00 0.12 0.01 ---- 0.13 0.19 1.66 0.08 0.08
 -------- 16:00 0.12 0.01 ---- 0.08 0.22 1.71 0.10 0.08
 -------- 17:00 0.13 0.01 ---- 0.04 0.25 1.70 0.10 0.08
 -------- 18:00 0.11 0.00 ---- 0.12 0.21 1.60 0.04 0.06
 -------- 19:00 0.07 0.01 ---- 0.10 0.24 1.60 0.05 0.07
 16.12.12 20:00 0.06 0.02 ---- 0.07 0.26 1.61 0.06 0.09
 -------- 21:00 0.06 0.05 ---- 0.05 0.28 1.62 0.05 0.09
 -------- 22:00 0.06 0.04 0.12 0.04 0.28 1.63 0.05 0.10
 -------- 23:00 0.06 0.03 0.12 0.04 0.26 1.61 0.05 0.09
 -------- 00:00 0.06 0.02 0.12 0.02 0.27 1.66 0.06 0.09
 17.12.12 01:00 0.06 0.02 0.12 0.01 0.27 1.74 0.08 0.09
 -------- 02:00 0.05 0.02 0.12 0.02 0.27 1.70 0.04 0.08
 -------- 03:00 0.06 0.02 ---- 0.02 0.27 1.75 0.07 0.09
 -------- 04:00 0.11 0.02 0.33 0.02 0.24 2.18 0.23 0.15
 -------- 05:00 0.10 0.02 0.83 0.02 0.24 2.27 0.20 0.14
 17.12.12 06:00 0.09 0.03 0.79 0.02 0.24 2.48 0.17 0.10
 -------- 07:00 0.13 0.04 0.33 0.02 0.20 2.88 0.28 0.09
 -------- 08:00 0.21 0.03 0.25 0.02 0.16 2.74 0.45 0.13
 -------- 09:00 0.21 0.06 0.42 0.02 0.19 2.41 0.41 0.13
 -------- 10:00 0.19 0.03 0.25 0.02 0.20 2.31 0.46 0.13
 17.12.12 11:00 0.19 0.03 0.12 0.03 0.21 2.13 0.44 0.13
 -------- 12:00 0.18 0.04 0.33 0.05 0.26 1.97 0.34 0.14
 -------- 13:00 0.16 0.04 0.25 0.06 0.28 1.81 0.30 0.11
 -------- 14:00 0.11 0.03 0.29 0.10 0.31 1.83 0.17 0.10
 -------- 15:00 0.10 0.03 0.25 0.09 0.30 1.99 0.14 0.08
 17.12.12 16:00 0.10 0.03 0.25 0.05 0.32 1.79 0.12 0.08
 -------- 17:00 0.10 0.03 0.25 0.02 0.34 1.86 0.12 0.09
 -------- 18:00 0.10 0.02 0.29 0.02 0.33 1.95 0.12 0.09
 -------- 19:00 0.11 0.03 0.21 0.02 0.32 1.89 0.09 0.08
 -------- 20:00 0.12 0.11 0.25 0.05 0.30 1.69 0.04 0.07
 17.12.12 21:00 0.12 0.42 1.21 0.03 0.30 1.80 0.08 0.09
 -------- 22:00 0.13 0.18 0.33 0.02 0.23 1.83 0.21 0.10
 -------- 23:00 0.12 0.13 0.12 0.02 0.21 1.83 0.25 0.11
