 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 05.01.13 12:00 0.08 0.02 0.38 0.04 0.22 1.79 0.09 0.05
 -------- 13:00 0.07 0.01 0.33 0.07 0.23 1.67 0.06 0.04
 -------- 14:00 0.07 0.01 0.29 0.08 0.25 1.66 0.05 0.03
 -------- 15:00 0.07 0.01 0.29 0.07 0.24 1.71 0.05 0.04
 -------- 16:00 0.07 0.01 0.29 0.08 0.23 1.62 0.06 0.04
 05.01.13 17:00 0.08 0.01 0.29 0.04 0.24 1.65 0.05 0.04
 -------- 18:00 0.06 0.01 0.25 0.04 0.25 1.62 0.03 0.03
 -------- 19:00 0.06 0.01 0.25 0.03 0.24 1.59 0.03 0.03
 -------- 20:00 0.05 0.01 0.25 0.04 0.23 1.58 0.02 0.03
 -------- 21:00 0.06 0.01 0.21 0.02 0.23 1.68 0.03 0.06
 05.01.13 22:00 0.06 0.01 0.25 0.07 0.21 1.58 0.02 0.03
 -------- 23:00 0.05 0.01 0.25 0.11 0.19 1.57 0.02 0.03
 -------- 00:00 0.06 0.01 0.17 0.04 0.22 1.60 0.02 0.03
 -------- 01:00 0.05 0.01 0.12 0.05 0.22 1.59 0.01 0.03
 -------- 02:00 0.04 0.01 0.12 0.08 0.19 1.60 0.01 0.03
 06.01.13 03:00 0.04 0.01 0.12 0.12 0.16 1.58 0.01 0.02
 -------- 04:00 0.04 0.01 0.12 0.14 0.14 1.55 0.00 0.03
 -------- 05:00 0.04 0.01 0.12 0.15 0.14 1.53 0.01 0.03
 -------- 06:00 0.04 0.01 0.12 0.13 0.14 1.52 0.01 0.03
 -------- 07:00 0.04 0.01 0.12 0.09 0.17 1.54 0.01 0.03
 06.01.13 08:00 0.04 0.01 0.12 0.09 0.17 1.55 0.02 0.03
 -------- 09:00 0.05 0.01 0.12 0.05 0.19 1.56 0.02 0.03
 -------- 10:00 0.06 0.01 0.12 0.03 0.19 1.59 0.03 0.04
 -------- 11:00 0.06 0.01 ---- 0.06 0.17 1.61 0.05 0.04
 -------- 12:00 0.06 0.01 ---- 0.08 0.15 1.59 0.04 0.03
 06.01.13 13:00 0.06 0.01 0.12 0.11 0.14 1.59 0.04 0.03
 -------- 14:00 0.05 0.01 ---- 0.14 0.13 1.58 0.04 0.03
 -------- 15:00 0.05 0.01 ---- 0.16 0.14 1.56 0.03 0.03
 -------- 16:00 0.05 0.01 ---- 0.16 0.15 1.56 0.02 0.03
 -------- 17:00 0.06 0.00 ---- 0.11 0.19 1.55 0.03 0.03
 06.01.13 18:00 0.06 0.00 ---- 0.09 0.20 1.55 0.02 0.03
 -------- 19:00 0.03 0.00 ---- 0.14 0.15 1.53 0.01 0.03
 -------- 20:00 0.02 0.01 ---- 0.12 0.15 1.54 0.01 0.04
 -------- 21:00 0.03 0.01 ---- 0.11 0.16 1.55 0.01 0.04
 -------- 22:00 0.02 0.01 ---- 0.14 0.14 1.53 0.01 0.03
 06.01.13 23:00 0.02 0.01 ---- 0.16 0.13 1.53 0.01 0.03
 -------- 00:00 0.02 0.01 0.12 0.17 0.12 2.42 0.02 0.10
 -------- 01:00 0.02 0.01 0.17 0.18 0.09 1.53 0.01 0.06
 -------- 02:00 0.02 0.01 0.12 0.20 0.08 1.52 0.00 0.02
 -------- 03:00 0.02 0.01 0.12 0.23 0.07 1.51 0.00 0.02
 07.01.13 04:00 0.02 0.01 0.12 0.24 0.08 1.50 0.00 0.02
 -------- 05:00 0.02 0.01 0.12 0.22 0.10 1.50 0.01 0.02
 -------- 06:00 0.02 0.01 0.12 0.20 0.11 1.50 0.00 0.02
 -------- 07:00 0.05 0.01 0.12 0.18 0.12 1.51 0.00 0.02
 -------- 08:00 0.06 0.01 0.12 0.15 0.14 1.53 0.01 0.02
 07.01.13 09:00 0.06 0.01 0.12 0.13 0.15 1.54 0.01 0.02
 -------- 10:00 0.06 0.01 0.12 0.13 0.15 1.53 0.01 0.03
 -------- 11:00 0.06 0.01 0.12 0.15 0.13 1.53 0.02 0.03
