 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 28.12.12 12:00 0.07 0.00 ---- 0.07 0.21 1.57 0.08 0.05
 -------- 13:00 0.08 0.01 ---- 0.08 0.20 1.56 0.07 0.05
 -------- 14:00 0.08 0.01 ---- 0.09 0.21 1.19 0.07 0.05
 -------- 15:00 0.08 0.01 0.29 0.07 0.23 1.57 0.07 0.05
 -------- 16:00 0.07 0.02 0.38 0.08 0.24 1.57 0.06 0.05
 28.12.12 17:00 0.08 0.02 0.42 0.10 0.22 1.58 0.05 0.06
 -------- 18:00 0.08 0.02 0.50 0.09 0.23 1.59 0.05 0.06
 -------- 19:00 0.07 0.02 0.50 0.08 0.23 1.60 0.05 0.06
 -------- 20:00 0.07 0.02 0.50 0.07 0.23 1.60 0.06 0.06
 -------- 21:00 0.05 0.02 0.50 0.14 0.20 1.57 0.04 0.05
 28.12.12 22:00 0.02 0.02 0.38 0.31 0.13 1.51 0.01 0.02
 -------- 23:00 0.02 0.02 0.38 0.31 0.14 1.51 0.01 0.02
 -------- 00:00 ---- 0.01 0.19 0.34 0.12 1.49 0.01 0.02
 -------- 01:00 ---- 0.01 0.12 0.35 0.11 1.49 0.01 0.02
 -------- 02:00 ---- 0.01 0.12 0.41 0.09 1.48 0.01 0.02
 29.12.12 03:00 ---- 0.01 ---- 0.45 0.10 1.48 0.01 0.01
 -------- 04:00 ---- 0.00 ---- 0.43 0.09 1.47 0.01 0.02
 -------- 05:00 ---- 0.00 ---- 0.43 0.08 1.47 0.01 0.02
 -------- 06:00 ---- 0.00 ---- 0.38 0.10 1.47 0.01 0.02
 -------- 07:00 0.06 0.00 ---- 0.36 0.13 1.48 0.01 0.01
 29.12.12 08:00 0.06 ---- ---- 0.35 0.14 1.48 0.01 0.02
 -------- 09:00 0.06 ---- ---- 0.33 0.16 1.48 0.01 0.02
 -------- 10:00 0.06 ---- ---- 0.31 0.17 1.48 0.01 0.02
 -------- 11:00 0.06 ---- ---- 0.31 0.17 1.49 0.02 0.02
 -------- 12:00 0.06 ---- ---- 0.35 0.15 1.49 0.01 0.03
 29.12.12 13:00 0.07 ---- ---- 0.35 0.15 1.50 0.02 0.02
 -------- 14:00 0.06 ---- ---- 0.36 0.13 1.51 0.01 0.02
 -------- 15:00 0.06 ---- ---- 0.34 0.15 1.51 0.01 0.02
 -------- 16:00 0.06 ---- ---- 0.34 0.14 1.51 0.01 0.03
 -------- 17:00 0.06 ---- ---- 0.27 0.16 1.53 0.01 0.04
 29.12.12 18:00 0.06 ---- ---- 0.21 0.20 1.56 0.01 0.04
 -------- 19:00 0.06 ---- ---- 0.23 0.19 1.55 0.01 0.03
 -------- 20:00 ---- ---- ---- 0.20 0.20 1.56 0.01 0.02
 -------- 21:00 ---- ---- ---- 0.17 0.21 1.57 0.01 0.03
 -------- 22:00 ---- ---- ---- 0.23 0.18 1.53 0.01 0.03
 29.12.12 23:00 ---- ---- ---- 0.20 0.19 1.53 0.01 0.03
 -------- 00:00 ---- 0.01 ---- 0.22 0.15 1.53 0.01 0.03
 -------- 01:00 ---- 0.01 ---- 0.20 0.16 1.53 0.01 0.02
 -------- 02:00 ---- 0.01 ---- 0.19 0.17 1.53 0.01 0.03
 -------- 03:00 ---- 0.01 ---- 0.22 0.14 1.51 0.01 0.02
 30.12.12 04:00 ---- 0.01 ---- 0.17 0.18 1.52 0.01 0.03
 -------- 05:00 ---- 0.01 ---- 0.17 0.17 1.52 0.01 0.03
 -------- 06:00 ---- 0.01 ---- 0.19 0.16 1.53 0.01 0.03
 -------- 07:00 0.04 0.01 ---- 0.16 0.16 1.53 0.01 0.03
 -------- 08:00 0.04 0.01 ---- 0.12 0.19 1.54 0.02 0.03
 30.12.12 09:00 0.06 0.01 ---- 0.08 0.20 1.56 0.02 0.03
 -------- 10:00 0.05 0.01 ---- 0.11 0.20 1.56 0.02 0.03
 -------- 11:00 0.06 0.01 ---- 0.10 0.20 1.58 0.04 0.03
