 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 27.01.13 00:00 0.08 0.01 0.12 0.05 0.33 1.66 0.03 0.03
 -------- 01:00 0.08 0.01 0.12 0.03 0.35 1.62 0.04 0.03
 -------- 02:00 0.06 0.01 0.12 0.05 0.34 1.61 0.03 0.03
 -------- 03:00 0.06 0.00 0.12 0.09 0.30 1.59 0.01 0.02
 -------- 04:00 0.06 0.00 ---- 0.10 0.31 1.58 0.01 0.02
 27.01.13 05:00 0.06 0.00 ---- 0.10 0.34 1.59 0.02 0.02
 -------- 06:00 0.07 0.00 ---- 0.11 0.34 1.62 0.05 0.02
 -------- 07:00 0.05 ---- ---- 0.10 0.34 1.58 0.04 0.02
 -------- 08:00 0.07 ---- ---- 0.05 0.36 1.61 0.05 0.02
 -------- 09:00 0.09 ---- ---- 0.02 0.36 1.65 0.09 0.03
 27.01.13 10:00 0.11 ---- ---- 0.03 0.30 1.70 0.19 0.04
 -------- 11:00 0.14 0.00 ---- 0.06 0.26 1.73 0.24 0.05
 -------- 12:00 0.14 0.01 0.12 0.09 0.26 1.73 0.22 0.06
 -------- 13:00 0.11 0.01 0.12 0.14 0.25 1.67 0.15 0.05
 -------- 14:00 0.10 0.02 0.33 0.17 0.24 1.66 0.12 0.05
 27.01.13 15:00 0.08 0.02 0.38 0.17 0.25 1.64 0.09 0.05
 -------- 16:00 0.09 0.02 0.42 0.14 0.28 1.67 0.10 0.05
 -------- 17:00 0.14 0.02 0.46 0.05 0.32 1.72 0.17 0.05
 -------- 18:00 0.25 0.02 0.62 0.01 0.25 2.00 0.51 0.11
 -------- 19:00 0.20 0.02 0.58 0.01 0.29 1.94 0.33 0.11
 27.01.13 20:00 0.24 0.02 0.58 0.01 0.27 2.04 0.37 0.11
 -------- 21:00 0.19 0.01 0.46 0.01 0.31 1.91 0.26 0.11
 -------- 22:00 0.19 0.01 0.50 0.01 0.31 1.91 0.27 0.10
 -------- 23:00 0.15 0.01 0.46 0.01 0.32 1.86 0.23 0.09
 -------- 00:00 0.17 0.01 0.29 0.01 0.29 1.91 0.27 0.10
 28.01.13 01:00 0.16 0.01 0.25 0.01 0.29 1.95 0.29 0.11
 -------- 02:00 0.14 0.01 0.17 0.01 0.30 1.89 0.22 0.09
 -------- 03:00 0.08 0.00 0.12 0.02 0.34 1.75 0.08 0.06
 -------- 04:00 0.07 0.00 ---- 0.04 0.34 1.72 0.04 0.05
 -------- 05:00 0.07 0.00 ---- 0.03 0.35 1.72 0.04 0.05
 28.01.13 06:00 0.08 0.00 ---- 0.02 0.35 1.73 0.07 0.05
 -------- 07:00 0.05 ---- ---- 0.04 0.33 1.68 0.06 0.04
 -------- 08:00 0.07 ---- ---- 0.05 0.32 1.69 0.06 0.05
 -------- 09:00 0.06 ---- ---- 0.06 0.31 1.69 0.05 0.04
 -------- 10:00 0.04 ---- ---- 0.09 0.29 1.65 0.07 0.04
 28.01.13 11:00 0.05 ---- ---- 0.11 0.27 1.68 0.07 0.04
 -------- 12:00 0.04 ---- ---- 0.15 0.24 1.65 0.06 0.04
 -------- 13:00 0.04 ---- ---- 0.19 0.21 1.66 0.06 0.20
 -------- 14:00 0.05 0.00 ---- 0.17 0.24 1.68 0.07 0.12
 -------- 15:00 0.04 0.00 ---- 0.17 0.24 1.63 0.06 0.10
 28.01.13 16:00 0.05 0.01 ---- 0.13 0.27 1.66 0.06 0.10
 -------- 17:00 0.07 0.01 ---- 0.08 0.32 1.68 0.08 0.10
 -------- 18:00 0.06 0.01 ---- 0.09 0.31 1.66 0.07 0.08
 -------- 19:00 0.12 0.01 ---- 0.06 0.33 1.66 0.07 0.08
 -------- 20:00 0.14 0.01 ---- 0.06 0.32 1.68 0.08 0.07
 28.01.13 21:00 0.13 0.01 ---- 0.05 0.32 1.68 0.06 0.08
 -------- 22:00 0.13 0.01 ---- 0.04 0.33 1.66 0.05 0.08
 -------- 23:00 0.12 0.01 0.12 0.05 0.33 1.65 0.04 0.09
