 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 01.01.13 00:00 0.08 0.00 0.17 0.01 0.24 1.87 0.07 0.19
 -------- 01:00 0.09 0.01 0.21 0.01 0.23 2.03 0.08 0.28
 -------- 02:00 0.09 0.01 0.38 0.01 0.23 2.29 0.08 0.44
 -------- 03:00 0.09 0.01 0.38 0.02 0.25 2.04 0.04 0.31
 -------- 04:00 0.09 0.02 0.50 0.01 0.26 1.90 0.09 0.23
 01.01.13 05:00 0.09 0.02 0.58 0.01 0.24 1.85 0.05 0.16
 -------- 06:00 0.05 0.02 0.58 0.09 0.20 1.66 0.01 0.09
 -------- 07:00 0.05 0.02 0.83 0.13 0.19 1.62 0.01 0.07
 -------- 08:00 0.08 0.02 0.87 0.06 0.24 1.66 0.05 0.06
 -------- 09:00 0.07 0.03 0.75 0.03 0.26 1.64 0.03 0.06
 01.01.13 10:00 0.09 0.03 0.79 0.03 0.24 1.65 0.08 0.07
 -------- 11:00 0.09 0.03 0.71 0.04 0.19 1.63 0.10 0.08
 -------- 12:00 0.07 0.02 0.71 0.10 0.17 1.61 0.06 0.07
 -------- 13:00 0.07 0.02 0.54 0.12 0.18 1.65 0.05 0.06
 -------- 14:00 0.07 0.01 0.38 0.16 0.16 1.59 0.04 0.07
 01.01.13 15:00 0.07 0.01 0.33 0.21 0.13 1.55 0.03 0.06
 -------- 16:00 0.07 0.01 0.25 0.22 0.13 1.56 0.02 0.05
 -------- 17:00 0.06 0.01 0.33 0.22 0.13 1.56 0.02 0.06
 -------- 18:00 0.06 0.01 0.25 0.20 0.14 1.56 0.02 0.06
 -------- 19:00 0.04 0.01 0.25 0.15 0.17 1.58 0.03 0.09
 01.01.13 20:00 0.02 0.01 0.33 0.11 0.19 1.61 0.03 0.09
 -------- 21:00 0.02 0.01 0.25 0.17 0.16 1.57 0.02 0.06
 -------- 22:00 0.02 0.01 0.29 0.18 0.16 1.60 0.02 0.07
 -------- 23:00 0.02 0.01 0.38 0.19 0.15 1.58 0.02 0.06
 -------- 00:00 ---- 0.01 0.21 0.17 0.14 1.57 0.01 0.06
 02.01.13 01:00 0.02 0.01 0.12 0.17 0.13 1.56 0.02 0.04
 -------- 02:00 ---- 0.01 0.12 0.16 0.12 1.56 0.01 0.04
 -------- 03:00 0.02 0.01 0.17 0.16 0.12 1.57 0.01 0.03
 -------- 04:00 ---- 0.01 0.12 0.20 0.10 1.55 0.01 0.04
 -------- 05:00 ---- 0.01 0.12 0.22 0.09 1.52 0.01 0.05
 02.01.13 06:00 ---- 0.01 0.12 0.23 0.10 1.52 0.01 0.05
 -------- 07:00 0.02 0.01 0.17 0.21 0.12 1.52 0.02 0.06
 -------- 08:00 0.02 0.01 0.12 0.21 0.14 1.52 0.02 0.06
 -------- 09:00 0.03 0.01 0.12 0.23 0.13 1.53 0.02 0.06
 -------- 10:00 0.03 0.01 0.12 0.20 0.15 1.55 0.02 0.06
 02.01.13 11:00 0.04 0.01 0.12 0.20 0.16 1.57 0.02 0.06
 -------- 12:00 0.05 0.01 0.25 0.18 0.17 1.59 0.04 0.07
 -------- 13:00 0.05 0.01 0.12 0.24 0.15 1.58 0.03 0.06
 -------- 14:00 0.05 0.01 0.12 0.24 0.17 1.59 0.03 0.07
 -------- 15:00 0.04 0.01 0.12 0.28 0.15 1.57 0.02 0.07
 02.01.13 16:00 0.08 0.01 0.12 0.12 0.25 1.66 0.06 0.08
 -------- 17:00 0.08 0.01 0.12 0.10 0.28 1.65 0.05 0.07
 -------- 18:00 0.06 0.01 0.12 0.14 0.27 1.63 0.04 0.06
 -------- 19:00 0.09 0.01 0.12 0.12 0.27 1.67 0.06 0.07
 -------- 20:00 0.06 0.01 0.12 0.20 0.23 1.60 0.01 0.07
 02.01.13 21:00 0.06 0.01 0.12 0.23 0.21 1.58 0.01 0.07
 -------- 22:00 0.06 0.00 0.12 0.24 0.20 1.57 0.01 0.06
 -------- 23:00 0.05 0.00 0.12 0.26 0.19 1.58 0.01 0.06
