 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 19.09.12 00:00 0.17 ---- 0.25 0.01 0.29 1.72 0.14 0.23
 -------- 01:00 0.22 ---- 0.50 0.01 0.27 2.11 0.27 0.21
 -------- 02:00 0.19 ---- 0.54 0.01 0.24 2.24 0.27 0.27
 -------- 03:00 0.15 ---- 0.42 0.01 0.24 2.19 0.21 0.22
 -------- 04:00 0.14 ---- 0.38 0.01 0.23 2.11 0.21 0.18
 19.09.12 05:00 0.13 ---- 0.38 0.01 0.22 2.08 0.18 0.17
 -------- 06:00 0.11 ---- 0.29 0.01 0.23 1.81 0.08 0.13
 -------- 07:00 0.11 ---- 0.29 0.01 0.22 1.73 0.06 0.16
 -------- 08:00 0.11 ---- 0.17 0.01 0.22 1.75 0.07 0.13
 -------- 09:00 0.15 ---- 0.29 0.01 0.24 1.89 0.14 0.17
 19.09.12 10:00 0.15 ---- 0.38 0.02 0.27 1.85 0.16 0.22
 -------- 11:00 0.13 ---- 0.25 0.04 0.26 1.71 0.11 0.21
 -------- 12:00 0.09 ---- ---- 0.11 0.19 1.53 0.05 0.10
 -------- 13:00 0.06 ---- ---- 0.20 0.14 1.48 0.02 0.08
 -------- 14:00 0.06 ---- ---- 0.23 0.13 1.47 0.02 0.09
 19.09.12 15:00 0.07 ---- ---- 0.26 0.14 1.59 0.02 0.12
 -------- 16:00 0.07 ---- ---- 0.25 0.15 1.60 0.02 0.10
 -------- 17:00 0.07 ---- ---- 0.21 0.19 1.52 0.02 0.10
 -------- 18:00 0.08 ---- ---- 0.20 0.22 1.53 0.02 0.12
 -------- 19:00 0.11 ---- 0.12 0.11 0.32 1.58 0.03 0.17
 19.09.12 20:00 0.11 ---- 0.12 0.09 0.33 1.60 0.03 0.17
 -------- 21:00 0.12 ---- 0.12 0.06 0.35 1.73 0.03 0.16
 -------- 22:00 0.12 ---- 0.17 0.02 0.37 1.78 0.05 0.16
 -------- 23:00 0.12 ---- 0.25 0.02 0.34 1.76 0.05 0.18
 -------- 00:00 0.11 ---- 0.25 0.01 0.33 1.77 0.05 0.19
 20.09.12 01:00 0.09 ---- 0.12 0.01 0.29 1.73 0.05 0.15
 -------- 02:00 0.08 ---- 0.12 0.02 0.25 1.69 0.01 0.12
 -------- 03:00 0.07 ---- 0.12 0.03 0.23 1.69 0.01 0.12
 -------- 04:00 0.06 ---- 0.12 0.02 0.22 1.70 0.01 0.11
 -------- 05:00 0.07 ---- 0.12 0.02 0.22 1.66 0.01 0.11
 20.09.12 06:00 0.08 ---- 0.17 0.01 0.22 1.71 0.03 0.11
 -------- 07:00 0.12 ---- 0.33 0.01 0.23 1.75 0.08 0.11
 -------- 08:00 0.14 ---- 0.29 0.02 0.20 1.72 0.06 0.12
 -------- 09:00 0.15 ---- 0.25 0.03 0.19 1.70 0.08 0.13
 -------- 10:00 0.15 ---- 0.25 0.04 0.19 1.69 0.08 0.14
 20.09.12 11:00 0.13 ---- 0.17 0.06 0.19 1.65 0.07 0.14
 -------- 12:00 0.12 ---- ---- 0.14 0.18 1.57 0.03 0.12
 -------- 13:00 0.11 ---- ---- 0.20 0.15 1.51 0.02 0.12
 -------- 14:00 0.10 ---- ---- 0.26 0.14 1.54 0.02 0.10
 -------- 15:00 0.10 ---- ---- 0.26 0.14 1.54 0.02 0.10
 20.09.12 16:00 0.12 ---- ---- 0.23 0.19 1.49 0.02 0.11
 -------- 17:00 0.12 ---- ---- 0.21 0.20 1.50 0.03 0.10
 -------- 18:00 0.14 ---- 0.12 0.16 0.27 1.53 0.03 0.12
 -------- 19:00 0.16 ---- 0.12 0.08 0.36 1.62 0.04 0.17
 -------- 20:00 0.11 ---- 0.12 0.05 0.38 1.67 0.04 0.20
 20.09.12 21:00 0.12 ---- 0.25 0.02 0.39 1.81 0.07 0.19
 -------- 22:00 0.10 ---- 0.17 0.05 0.35 1.79 0.03 0.16
 -------- 23:00 0.08 ---- 0.25 0.05 0.34 1.69 0.03 0.19
