 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 01.10.12 12:00 0.04 ---- 0.12 0.22 0.09 1.50 0.01 0.05
 -------- 13:00 0.04 ---- ---- 0.22 0.09 1.49 0.01 0.05
 -------- 14:00 0.04 ---- ---- 0.23 0.09 1.49 0.01 0.05
 -------- 15:00 0.04 ---- ---- 0.22 0.10 1.50 0.01 0.06
 -------- 16:00 0.04 ---- 0.12 0.20 0.12 1.52 0.01 0.06
 01.10.12 17:00 0.06 ---- ---- 0.19 0.14 1.52 0.01 0.06
 -------- 18:00 0.06 ---- ---- 0.17 0.15 1.52 0.01 0.05
 -------- 19:00 0.05 ---- ---- 0.17 0.15 1.50 0.01 0.05
 -------- 20:00 0.03 ---- ---- 0.12 0.19 1.51 0.01 0.06
 -------- 21:00 0.05 ---- 0.75 0.04 0.26 1.69 0.02 0.07
 01.10.12 22:00 0.06 ---- 1.46 0.01 0.29 1.82 0.03 0.07
 -------- 23:00 0.07 ---- 1.00 0.01 0.27 1.76 0.05 0.08
 -------- 00:00 0.08 ---- 1.71 0.01 0.27 1.93 0.07 0.09
 -------- 01:00 0.09 ---- 1.46 0.01 0.25 1.90 0.08 0.08
 -------- 02:00 0.09 ---- 0.75 0.01 0.23 1.85 0.09 0.10
 02.10.12 03:00 0.07 ---- 0.96 0.01 0.23 1.86 0.09 0.08
 -------- 04:00 0.06 ---- 0.75 0.01 0.21 1.86 0.08 0.09
 -------- 05:00 0.08 ---- 0.58 0.01 0.20 1.86 0.13 0.06
 -------- 06:00 0.14 ---- 0.25 0.01 0.18 1.84 0.18 0.07
 -------- 07:00 0.20 ---- 0.25 0.01 0.19 1.96 0.29 0.17
 02.10.12 08:00 0.30 ---- 0.42 0.01 0.24 2.01 0.40 0.18
 -------- 09:00 0.26 ---- 0.38 0.01 0.26 1.90 0.36 0.15
 -------- 10:00 0.26 ---- 0.42 0.01 0.29 1.83 0.37 0.15
 -------- 11:00 0.19 ---- 0.31 0.03 0.25 1.66 0.21 0.15
 -------- 12:00 0.08 ---- ---- 0.10 0.15 1.54 0.04 0.06
 02.10.12 13:00 0.08 ---- ---- 0.12 0.14 1.52 0.03 0.06
 -------- 14:00 0.07 ---- ---- 0.13 0.14 1.49 0.03 0.05
 -------- 15:00 0.07 ---- ---- 0.15 0.14 1.48 0.02 0.05
 -------- 16:00 0.07 ---- ---- 0.15 0.15 1.48 0.03 0.05
 -------- 17:00 0.10 ---- ---- 0.11 0.21 1.50 0.04 0.06
 02.10.12 18:00 0.11 ---- ---- 0.07 0.25 1.51 0.04 0.07
 -------- 19:00 0.13 ---- ---- 0.03 0.28 1.55 0.06 0.10
 -------- 20:00 0.17 ---- ---- 0.01 0.28 1.62 0.10 0.15
 -------- 21:00 0.17 ---- 0.12 0.01 0.29 1.69 0.12 0.13
 -------- 22:00 0.17 ---- 0.12 0.01 0.28 1.80 0.15 0.19
 02.10.12 23:00 0.16 ---- 0.12 0.01 0.27 1.78 0.14 0.20
 -------- 00:00 0.11 ---- ---- 0.01 0.24 1.68 0.07 0.12
 -------- 01:00 0.10 ---- ---- 0.01 0.24 1.70 0.05 0.11
 -------- 02:00 0.08 ---- ---- 0.01 0.21 1.62 0.03 0.09
 -------- 03:00 0.07 ---- ---- 0.04 0.18 1.58 0.01 0.05
 03.10.12 04:00 0.06 ---- ---- 0.04 0.17 1.60 0.01 0.06
 -------- 05:00 0.06 ---- ---- 0.04 0.17 1.59 0.01 0.06
 -------- 06:00 0.07 ---- ---- 0.03 0.17 1.54 0.02 0.05
 -------- 07:00 0.06 ---- ---- 0.03 0.18 1.54 0.03 0.05
 -------- 08:00 0.05 ---- ---- 0.02 0.18 1.59 0.05 0.05
 03.10.12 09:00 0.07 ---- 0.12 0.02 0.20 1.58 0.07 0.09
 -------- 10:00 0.07 ---- 0.12 0.02 0.20 1.58 0.07 0.11
 -------- 11:00 0.08 ---- 0.12 0.02 0.20 1.56 0.09 0.10
