 Date Time CO H2S OZ NO2 CHX NO
 12.10.12 12:00 0.25 0.88 0.02 0.36 2.51 0.39
 -------- 13:00 0.19 0.62 0.02 0.30 2.21 0.27
 -------- 14:00 0.12 0.33 0.03 0.25 1.90 0.14
 -------- 15:00 0.15 0.58 0.03 0.27 1.95 0.12
 -------- 16:00 0.09 0.17 0.04 0.22 1.71 0.05
 12.10.12 17:00 0.08 0.12 0.05 0.21 1.69 0.03
 -------- 18:00 0.11 0.21 0.01 0.24 1.65 0.07
 -------- 19:00 0.13 0.21 0.01 0.23 1.76 0.10
 -------- 20:00 0.12 0.12 0.01 0.21 1.60 0.06
 -------- 21:00 0.10 ---- 0.02 0.21 1.54 0.02
 12.10.12 22:00 0.08 ---- 0.05 0.19 1.53 0.01
 -------- 23:00 0.08 ---- 0.04 0.19 1.55 0.01
 -------- 00:00 0.08 0.12 0.05 0.18 1.57 0.01
 -------- 01:00 0.07 ---- 0.09 0.13 1.54 0.00
 -------- 02:00 0.06 ---- 0.13 0.09 1.50 0.00
 13.10.12 03:00 0.06 ---- 0.13 0.10 1.49 0.00
 -------- 04:00 0.06 ---- 0.14 0.09 1.51 0.00
 -------- 05:00 0.06 ---- 0.14 0.10 1.50 0.00
 -------- 06:00 0.07 ---- 0.06 0.15 1.53 0.01
 -------- 07:00 0.05 0.12 0.04 0.18 1.53 0.01
 13.10.12 08:00 0.06 ---- 0.03 0.18 1.57 0.02
 -------- 09:00 0.06 0.12 0.03 0.18 1.60 0.03
 -------- 10:00 0.06 0.12 0.05 0.19 1.56 0.04
 -------- 11:00 0.06 ---- 0.10 0.17 1.53 0.03
 -------- 12:00 0.06 ---- 0.13 0.16 1.54 0.03
 13.10.12 13:00 0.05 ---- 0.11 0.16 1.58 0.03
 -------- 14:00 0.06 ---- 0.12 0.14 1.56 0.03
 -------- 15:00 0.05 ---- 0.14 0.12 1.55 0.02
 -------- 16:00 0.06 ---- 0.13 0.14 1.55 0.02
 -------- 17:00 0.07 ---- 0.10 0.17 1.57 0.02
 13.10.12 18:00 0.09 ---- 0.05 0.22 1.58 0.03
 -------- 19:00 0.11 0.12 0.01 0.25 1.60 0.04
 -------- 20:00 0.14 0.71 0.01 0.26 1.81 0.06
 -------- 21:00 0.15 1.33 0.01 0.27 1.94 0.09
 -------- 22:00 0.15 1.33 0.01 0.27 1.98 0.10
 13.10.12 23:00 0.14 1.12 0.01 0.28 1.86 0.07
 -------- 00:00 0.15 1.50 0.01 0.27 1.97 0.10
 -------- 01:00 0.11 1.33 0.01 0.25 1.84 0.05
 -------- 02:00 0.11 0.46 0.01 0.22 1.68 0.04
 -------- 03:00 0.12 0.17 0.01 0.21 1.71 0.05
 14.10.12 04:00 0.14 0.12 0.01 0.20 1.72 0.09
 -------- 05:00 0.12 0.12 0.01 0.20 1.77 0.07
 -------- 06:00 0.11 0.12 0.01 0.19 1.67 0.10
 -------- 07:00 0.18 0.21 0.01 0.19 1.78 0.21
 -------- 08:00 0.25 0.58 0.01 0.21 2.03 0.38
 14.10.12 09:00 0.21 0.38 0.01 0.19 1.96 0.28
 -------- 10:00 0.20 0.38 0.01 0.23 1.93 0.24
 -------- 11:00 0.13 0.12 0.03 0.22 1.69 0.12
