 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 09.01.13 00:00 0.03 0.01 0.12 0.14 0.17 1.60 0.01 0.03
 -------- 01:00 0.03 0.01 0.12 0.14 0.17 1.61 0.01 0.03
 -------- 02:00 0.02 0.01 0.21 0.15 0.16 1.59 0.01 0.03
 -------- 03:00 0.02 0.01 0.21 0.09 0.21 1.61 0.01 0.03
 -------- 04:00 0.02 0.01 0.21 0.09 0.22 1.61 0.01 0.03
 09.01.13 05:00 0.02 0.01 0.21 0.07 0.23 1.61 0.01 0.03
 -------- 06:00 0.04 0.01 0.12 0.06 0.22 1.62 0.01 0.03
 -------- 07:00 0.05 0.01 0.25 0.06 0.22 1.62 0.02 0.03
 -------- 08:00 0.07 0.01 0.12 0.03 0.24 1.65 0.02 0.03
 -------- 09:00 0.07 0.00 0.12 0.04 0.24 1.65 0.03 0.03
 09.01.13 10:00 0.08 0.01 0.12 0.04 0.24 1.68 0.04 0.04
 -------- 11:00 0.08 0.01 0.12 0.06 0.24 1.67 0.06 0.04
 -------- 12:00 0.08 0.01 0.17 0.06 0.23 1.67 0.09 0.05
 -------- 13:00 0.09 0.01 0.12 0.05 0.23 1.70 0.13 0.07
 -------- 14:00 0.09 0.01 0.12 0.05 0.21 1.72 0.15 0.06
 09.01.13 15:00 0.10 0.01 0.21 0.03 0.22 1.75 0.18 0.06
 -------- 16:00 0.09 0.01 0.17 0.03 0.23 1.71 0.14 0.06
 -------- 17:00 0.09 0.01 0.12 0.02 0.27 1.63 0.08 0.05
 -------- 18:00 0.07 0.00 ---- 0.02 0.29 1.59 0.04 0.04
 -------- 19:00 0.06 0.00 ---- 0.05 0.29 1.59 0.02 0.03
 09.01.13 20:00 0.06 ---- ---- 0.04 0.30 1.58 0.03 0.03
 -------- 21:00 0.05 ---- ---- 0.04 0.29 1.57 0.03 0.03
 -------- 22:00 0.05 ---- ---- 0.05 0.29 1.56 0.03 0.03
 -------- 23:00 0.04 ---- ---- 0.09 0.27 1.54 0.02 0.03
 -------- 00:00 0.04 0.00 ---- 0.13 0.24 1.54 0.02 0.03
 10.01.13 01:00 0.03 0.00 ---- 0.23 0.18 1.52 0.01 0.01
 -------- 02:00 0.02 0.00 ---- 0.33 0.10 1.48 0.00 0.01
 -------- 03:00 0.02 0.00 ---- 0.31 0.10 1.49 0.00 0.02
 -------- 04:00 0.02 0.00 ---- 0.30 0.10 1.50 0.00 0.02
 -------- 05:00 0.02 ---- ---- 0.29 0.10 1.50 0.00 0.02
 10.01.13 06:00 0.04 ---- ---- 0.19 0.16 1.52 0.02 0.02
 -------- 07:00 0.07 ---- ---- 0.11 0.23 1.56 0.04 0.03
 -------- 08:00 0.09 ---- ---- 0.05 0.27 1.60 0.09 0.04
 -------- 09:00 0.08 ---- ---- 0.05 0.26 1.59 0.08 0.04
 -------- 10:00 0.09 ---- ---- 0.04 0.25 1.61 0.09 0.04
 10.01.13 11:00 0.09 ---- ---- 0.06 0.22 1.63 0.12 0.05
 -------- 12:00 0.08 ---- ---- 0.10 0.20 1.61 0.10 0.04
 -------- 13:00 0.08 ---- ---- 0.10 0.21 1.62 0.10 0.05
 -------- 14:00 0.11 ---- ---- 0.10 0.21 1.61 0.10 0.04
 -------- 15:00 0.09 ---- ---- 0.12 0.20 1.59 0.09 0.05
 10.01.13 16:00 0.08 ---- ---- 0.12 0.22 1.57 0.08 0.05
 -------- 17:00 0.07 ---- ---- 0.11 0.24 1.58 0.06 0.04
 -------- 18:00 0.08 ---- ---- 0.05 0.28 1.61 0.07 0.06
 -------- 19:00 0.08 ---- ---- 0.08 0.25 1.58 0.07 0.05
 -------- 20:00 0.08 ---- ---- 0.12 0.22 1.57 0.05 0.05
 10.01.13 21:00 0.07 ---- ---- 0.12 0.21 1.56 0.04 0.05
 -------- 22:00 0.07 ---- ---- 0.10 0.23 1.56 0.04 0.05
 -------- 23:00 0.07 ---- ---- 0.14 0.20 1.56 0.03 0.04
