 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 03.10.12 12:00 0.07 ---- ---- 0.03 0.18 1.53 0.08 0.08
 -------- 13:00 0.08 ---- 0.12 0.02 0.20 1.55 0.09 0.10
 -------- 14:00 0.08 ---- 0.12 0.01 0.21 1.56 0.11 0.09
 -------- 15:00 0.08 ---- 0.12 0.01 0.20 1.58 0.10 0.10
 -------- 16:00 0.09 ---- 0.12 0.01 0.22 1.60 0.11 0.12
 03.10.12 17:00 0.11 ---- 0.17 0.01 0.22 1.63 0.13 0.14
 -------- 18:00 0.11 ---- 0.12 0.01 0.21 1.65 0.13 0.16
 -------- 19:00 0.11 ---- 0.17 0.01 0.22 1.67 0.14 0.16
 -------- 20:00 0.14 ---- 0.21 0.01 0.22 1.70 0.14 0.17
 -------- 21:00 0.15 ---- 0.21 0.01 0.20 1.76 0.16 0.19
 03.10.12 22:00 0.17 ---- 0.25 0.01 0.21 1.72 0.19 0.19
 -------- 23:00 0.14 ---- 0.25 0.01 0.19 1.67 0.15 0.16
 -------- 00:00 0.12 ---- 0.17 0.01 0.19 1.69 0.14 0.18
 -------- 01:00 0.15 ---- 0.29 0.01 0.18 1.96 0.23 0.20
 -------- 02:00 0.14 ---- 0.29 0.01 0.16 2.11 0.21 0.18
 04.10.12 03:00 0.13 ---- 0.50 0.01 0.16 2.02 0.20 0.18
 -------- 04:00 0.07 ---- 0.29 0.01 0.14 1.73 0.09 0.15
 -------- 05:00 0.06 ---- 0.42 0.01 0.12 1.74 0.06 0.11
 -------- 06:00 0.07 ---- 0.25 0.01 0.13 1.73 0.09 0.13
 -------- 07:00 0.07 ---- 0.17 0.01 0.11 1.64 0.07 0.10
 04.10.12 08:00 0.11 ---- 0.17 0.01 0.12 1.63 0.10 0.10
 -------- 09:00 0.11 ---- 0.12 0.01 0.13 1.60 0.11 0.19
 -------- 10:00 0.09 ---- 0.12 0.02 0.13 1.57 0.09 0.22
 -------- 11:00 0.08 ---- 0.12 0.03 0.11 1.56 0.06 0.14
 -------- 12:00 0.07 ---- 0.12 0.07 0.11 1.55 0.03 0.12
 04.10.12 13:00 0.09 ---- 0.17 0.06 0.18 1.63 0.06 0.18
 -------- 14:00 0.12 ---- 0.17 0.07 0.21 1.65 0.06 0.18
 -------- 15:00 0.12 ---- 0.12 0.09 0.25 1.63 0.06 0.21
 -------- 16:00 0.13 ---- 0.21 0.08 0.27 1.63 0.06 0.22
 -------- 17:00 0.12 ---- 0.12 0.09 0.24 1.61 0.05 0.19
 04.10.12 18:00 0.14 ---- 0.21 0.04 0.30 1.62 0.07 0.22
 -------- 19:00 0.13 ---- 0.12 0.03 0.29 1.58 0.04 0.17
 -------- 20:00 0.12 ---- 0.12 0.03 0.28 1.55 0.05 0.15
 -------- 21:00 0.11 ---- 0.12 0.04 0.25 1.55 0.04 0.13
 -------- 22:00 0.09 ---- 0.12 0.03 0.22 1.56 0.02 0.13
 04.10.12 23:00 0.09 ---- 0.12 0.05 0.21 1.54 0.02 0.09
 -------- 00:00 0.04 ---- ---- 0.17 0.12 1.45 0.00 0.03
 -------- 01:00 0.04 ---- 0.12 0.19 0.10 1.46 0.00 0.03
 -------- 02:00 0.04 ---- ---- 0.16 0.11 1.48 0.00 0.03
 -------- 03:00 0.04 ---- ---- 0.20 0.10 1.47 0.00 0.02
 05.10.12 04:00 0.05 ---- ---- 0.12 0.16 1.49 0.01 0.03
 -------- 05:00 0.06 ---- 0.12 0.03 0.23 1.52 0.02 0.05
 -------- 06:00 0.08 ---- 0.12 0.01 0.23 1.56 0.07 0.05
 -------- 07:00 0.15 ---- 0.50 0.01 0.27 1.87 0.28 0.11
 -------- 08:00 0.16 ---- 0.38 0.01 0.22 1.88 0.19 0.19
 05.10.12 09:00 0.13 ---- 0.25 0.01 0.19 1.64 0.11 0.09
 -------- 10:00 0.14 ---- 0.25 0.01 0.19 1.63 0.09 0.07
