 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 16.04.13 00:00 0.09 0.02 0.12 0.16 0.55 1.64 0.03 0.21
 -------- 01:00 0.07 0.02 0.12 0.19 0.54 1.65 0.01 0.19
 -------- 02:00 0.07 0.02 0.12 0.18 0.55 1.66 0.02 0.18
 -------- 03:00 0.04 0.02 0.12 0.37 0.37 1.61 0.01 0.12
 -------- 04:00 0.05 0.02 ---- 0.39 0.33 1.59 0.01 0.11
 16.04.13 05:00 0.15 0.02 0.12 0.07 0.52 1.80 0.15 0.19
 -------- 06:00 0.25 0.02 0.21 0.01 0.41 2.17 0.50 0.33
 -------- 07:00 0.33 0.03 0.33 0.01 0.29 2.68 0.82 0.37
 -------- 08:00 0.54 0.03 0.42 0.01 0.23 2.68 1.09 0.43
 -------- 09:00 0.36 0.04 0.33 0.04 0.48 2.09 0.57 0.65
 16.04.13 10:00 0.16 0.03 0.21 0.22 0.48 1.79 0.16 0.39
 -------- 11:00 0.09 0.02 0.12 0.35 0.42 1.73 0.06 0.22
 -------- 12:00 0.08 0.03 0.12 0.42 0.33 1.66 0.05 0.21
 -------- 13:00 0.06 0.03 0.12 0.56 0.21 1.59 0.02 0.16
 -------- 14:00 0.05 0.03 0.12 0.61 0.18 1.60 0.02 0.15
 16.04.13 15:00 0.04 0.02 0.12 0.65 0.16 1.59 0.01 0.15
 -------- 16:00 0.04 0.02 0.12 0.70 0.11 1.54 0.01 0.13
 -------- 17:00 0.04 0.02 0.12 0.66 0.12 1.61 0.01 0.11
 -------- 18:00 0.04 0.02 0.17 0.63 0.12 1.61 0.01 0.10
 -------- 19:00 0.08 0.02 0.29 0.58 0.16 1.69 0.01 0.12
 16.04.13 20:00 0.08 0.02 0.25 0.53 0.19 1.55 0.00 0.11
 -------- 21:00 0.10 0.02 0.25 0.35 0.31 1.61 0.00 0.15
 -------- 22:00 0.12 0.03 0.21 0.26 0.37 1.71 0.01 0.19
 -------- 23:00 0.15 0.03 1.29 0.05 0.56 2.87 0.03 0.22
 -------- 00:00 0.14 0.02 0.46 0.07 0.55 2.72 0.04 0.21
 17.04.13 01:00 0.18 0.02 1.08 ---- 0.56 3.49 0.12 0.23
 -------- 02:00 0.32 0.02 1.29 0.01 0.37 3.42 0.43 0.30
 -------- 03:00 0.15 0.02 0.92 0.01 0.54 2.97 0.09 0.16
 -------- 04:00 0.13 0.02 0.58 0.02 0.54 2.51 0.02 0.14
 -------- 05:00 0.15 0.02 0.58 0.07 0.40 2.15 0.15 0.11
 17.04.13 06:00 0.47 0.03 0.71 0.01 0.06 2.87 1.06 0.26
 -------- 07:00 0.50 0.03 0.75 0.01 0.01 3.27 1.40 0.33
 -------- 08:00 0.55 0.03 0.71 0.01 0.05 3.18 1.41 0.39
 -------- 09:00 0.41 0.04 0.50 0.01 0.26 2.59 0.91 0.36
 -------- 10:00 0.23 0.04 0.25 0.08 0.45 2.04 0.39 0.29
 17.04.13 11:00 0.08 0.03 0.12 0.33 0.30 1.76 0.05 0.12
 -------- 12:00 0.06 0.03 0.12 0.40 0.27 1.71 0.04 0.13
 -------- 13:00 0.05 0.03 0.12 0.52 0.17 1.62 0.02 0.12
 -------- 14:00 0.04 0.02 0.12 0.57 0.14 1.59 0.02 0.10
 -------- 15:00 0.04 0.02 ---- 0.61 0.14 1.59 0.01 0.12
 17.04.13 16:00 0.04 0.02 0.12 0.66 0.13 1.55 0.01 0.12
 -------- 17:00 0.04 0.02 0.12 0.66 0.14 1.56 0.01 0.11
 -------- 18:00 0.04 0.02 0.12 0.65 0.15 1.55 0.01 0.12
 -------- 19:00 ---- 0.02 0.12 0.62 0.17 1.55 0.01 0.12
 -------- 20:00 0.02 0.02 0.12 0.52 0.24 1.58 0.00 0.14
 17.04.13 21:00 0.05 0.03 0.17 0.31 0.43 1.63 0.01 0.19
 -------- 22:00 0.08 0.03 0.17 0.11 0.59 1.70 0.02 0.24
 -------- 23:00 0.05 0.03 0.12 0.21 0.53 1.67 0.01 0.18
