 Date Time CO H2S OZ NO2 CHX NO
 13.11.12 00:00 0.06 ---- ---- 0.16 1.59 0.01
 -------- 01:00 0.06 ---- 0.02 0.16 1.57 0.01
 -------- 02:00 0.06 ---- 0.01 0.17 1.59 0.01
 -------- 03:00 0.04 ---- 0.06 0.13 1.55 0.00
 -------- 04:00 0.04 ---- 0.08 0.11 1.57 0.00
 13.11.12 05:00 0.04 ---- 0.09 0.11 1.57 0.00
 -------- 06:00 0.04 ---- 0.10 0.13 1.57 0.01
 -------- 07:00 0.04 ---- 0.08 0.16 1.56 0.01
 -------- 08:00 0.04 ---- 0.07 0.17 1.56 0.01
 -------- 09:00 0.04 ---- 0.09 0.17 1.58 0.01
 13.11.12 10:00 0.04 ---- 0.07 0.21 1.57 0.03
 -------- 11:00 0.04 ---- 0.11 0.18 1.57 0.02
 -------- 12:00 0.04 ---- 0.08 0.21 1.57 0.03
 -------- 13:00 0.03 ---- 0.13 0.16 1.56 0.02
 -------- 14:00 0.03 ---- 0.14 0.16 1.55 0.02
 13.11.12 15:00 0.04 ---- 0.10 0.19 1.57 0.01
 -------- 16:00 0.03 ---- 0.15 0.16 1.55 0.01
 -------- 17:00 ---- ---- 0.14 0.17 1.50 0.01
 -------- 18:00 ---- ---- 0.12 0.17 1.52 0.01
 -------- 19:00 0.04 ---- 0.10 0.19 1.54 0.01
 13.11.12 20:00 0.04 ---- 0.12 0.19 1.55 0.00
 -------- 21:00 0.05 ---- 0.15 0.17 1.54 0.00
 -------- 22:00 0.05 ---- 0.14 0.16 1.54 0.00
 -------- 23:00 0.04 ---- 0.17 0.13 1.55 0.00
 -------- 00:00 0.05 ---- 0.17 0.13 1.52 0.00
 14.11.12 01:00 0.04 ---- 0.19 0.12 1.52 0.00
 -------- 02:00 0.04 ---- 0.20 0.11 1.50 0.00
 -------- 03:00 0.04 ---- 0.23 0.10 1.51 0.00
 -------- 04:00 0.04 ---- 0.28 0.09 1.50 0.00
 -------- 05:00 0.04 ---- 0.26 0.10 1.50 0.00
 14.11.12 06:00 0.06 ---- 0.27 0.10 1.50 0.00
 -------- 07:00 0.05 ---- 0.24 0.15 1.51 0.00
 -------- 08:00 0.04 ---- 0.17 0.20 1.57 0.01
 -------- 09:00 0.05 ---- 0.17 0.20 1.54 0.01
 -------- 10:00 0.04 ---- 0.16 0.21 1.57 0.01
 14.11.12 11:00 0.05 0.12 0.11 0.25 1.60 0.04
 -------- 12:00 0.04 0.25 0.15 0.20 1.58 0.03
 -------- 13:00 0.04 0.25 0.16 0.19 1.57 0.02
 -------- 14:00 0.04 0.25 0.16 0.19 1.55 0.02
 -------- 15:00 0.04 0.25 0.16 0.17 1.54 0.01
 14.11.12 16:00 0.04 0.25 0.13 0.19 1.56 0.01
 -------- 17:00 0.04 0.21 0.10 0.20 1.53 0.01
 -------- 18:00 0.04 0.17 0.12 0.15 1.52 0.01
 -------- 19:00 0.03 0.21 0.11 0.14 1.53 0.01
 -------- 20:00 0.02 0.17 0.10 0.14 1.52 0.01
 14.11.12 21:00 0.02 0.12 0.10 0.14 1.53 0.01
 -------- 22:00 0.02 0.29 0.09 0.15 1.55 0.01
 -------- 23:00 0.02 0.25 0.10 0.14 1.53 0.01
