 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 12.01.13 00:00 0.05 0.04 0.33 0.06 0.23 1.65 0.02 0.07
 -------- 01:00 0.04 0.02 0.25 0.12 0.18 1.66 0.01 0.07
 -------- 02:00 0.04 0.02 0.38 0.08 0.21 1.74 0.01 0.07
 -------- 03:00 0.04 0.02 0.29 0.10 0.20 1.73 0.01 0.09
 -------- 04:00 0.04 0.02 0.50 0.14 0.17 1.78 0.01 0.08
 12.01.13 05:00 0.04 0.02 0.50 0.09 0.20 1.86 0.01 0.08
 -------- 06:00 0.04 0.02 0.46 0.07 0.23 1.87 0.02 0.08
 -------- 07:00 0.05 0.02 0.46 0.06 0.24 1.84 0.02 0.08
 -------- 08:00 0.06 0.02 0.50 0.04 0.25 1.88 0.05 0.08
 -------- 09:00 0.08 0.03 0.50 0.02 0.25 1.89 0.10 0.10
 12.01.13 10:00 0.08 0.03 0.42 0.03 0.23 1.88 0.10 0.09
 -------- 11:00 0.08 0.03 0.50 0.04 0.22 1.95 0.11 0.10
 -------- 12:00 0.09 0.03 0.50 0.05 0.20 1.94 0.14 0.10
 -------- 13:00 0.10 0.04 0.62 0.06 0.19 1.91 0.16 0.11
 -------- 14:00 0.12 0.04 0.62 0.06 0.20 2.01 0.19 0.11
 12.01.13 15:00 0.11 0.04 0.75 0.05 0.21 2.03 0.18 0.11
 -------- 16:00 0.13 0.04 0.75 0.03 0.22 2.07 0.22 0.12
 -------- 17:00 0.14 0.04 0.79 0.02 0.21 2.02 0.25 0.11
 -------- 18:00 0.15 0.04 1.04 0.02 0.20 2.09 0.25 0.14
 -------- 19:00 0.17 0.04 1.00 0.02 0.17 2.10 0.30 0.14
 12.01.13 20:00 0.19 0.04 1.00 0.02 0.14 2.12 0.36 0.14
 -------- 21:00 0.21 0.04 1.17 0.02 0.15 2.20 0.35 0.15
 -------- 22:00 0.19 0.04 1.17 0.02 0.16 2.14 0.33 0.14
 -------- 23:00 0.21 0.04 1.21 0.02 0.14 2.23 0.33 0.15
 -------- 00:00 0.22 0.03 0.71 0.02 0.13 2.27 0.36 0.14
 13.01.13 01:00 0.20 0.02 0.50 0.02 0.14 2.30 0.33 0.14
 -------- 02:00 0.20 0.02 0.42 0.02 0.14 2.26 0.36 0.13
 -------- 03:00 0.20 0.02 0.38 0.02 0.14 2.14 0.39 0.12
 -------- 04:00 0.17 0.02 0.29 0.02 0.14 2.17 0.37 0.12
 -------- 05:00 0.10 0.02 0.25 0.01 0.19 1.98 0.20 0.09
 13.01.13 06:00 0.09 0.02 0.25 0.01 0.20 1.87 0.14 0.08
 -------- 07:00 0.07 0.02 0.17 0.01 0.22 1.73 0.07 0.06
 -------- 08:00 0.09 0.02 0.17 0.01 0.22 1.76 0.06 0.06
 -------- 09:00 0.08 0.02 0.25 0.01 0.22 1.73 0.07 0.07
 -------- 10:00 0.10 0.02 0.29 0.02 0.21 1.76 0.08 0.08
 13.01.13 11:00 0.10 0.02 0.25 0.06 0.18 1.74 0.07 0.08
 -------- 12:00 0.10 0.02 0.21 0.09 0.17 1.73 0.07 0.07
 -------- 13:00 0.09 0.02 0.17 0.11 0.18 1.68 0.06 0.07
 -------- 14:00 0.10 0.02 0.33 0.10 0.21 1.70 0.07 0.07
 -------- 15:00 0.10 0.02 0.25 0.09 0.21 1.65 0.07 0.07
 13.01.13 16:00 0.09 0.02 0.21 0.08 0.24 1.64 0.06 0.06
 -------- 17:00 0.09 0.02 0.25 0.03 0.27 1.64 0.06 0.07
 -------- 18:00 0.09 0.02 0.25 0.02 0.28 1.64 0.05 0.06
 -------- 19:00 0.09 0.02 0.25 0.04 0.27 1.61 0.03 0.05
 -------- 20:00 0.09 0.02 0.25 0.02 0.27 1.61 0.04 0.06
 13.01.13 21:00 0.09 0.02 0.25 0.01 0.27 1.62 0.05 0.06
 -------- 22:00 0.09 0.01 0.25 0.02 0.27 1.62 0.04 0.06
 -------- 23:00 0.09 0.01 0.25 0.01 0.27 1.63 0.05 0.05
