 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 27.03.13 00:00 0.06 0.02 0.38 0.26 0.32 1.59 0.01 0.02
 -------- 01:00 0.06 0.01 0.21 0.24 0.32 1.59 0.01 0.02
 -------- 02:00 0.06 0.00 ---- 0.17 0.37 1.64 0.01 0.03
 -------- 03:00 0.06 0.01 0.12 0.06 0.44 1.67 0.03 0.04
 -------- 04:00 0.07 0.01 0.29 0.04 0.43 1.69 0.06 0.04
 27.03.13 05:00 0.09 0.01 0.58 0.01 0.45 1.69 0.07 0.03
 -------- 06:00 0.12 0.01 0.46 0.01 0.41 1.71 0.15 0.04
 -------- 07:00 0.13 0.01 0.92 0.01 0.40 1.80 0.24 0.04
 -------- 08:00 0.16 0.01 0.33 0.05 0.35 1.79 0.31 0.06
 -------- 09:00 0.17 0.01 0.19 0.08 0.33 1.77 0.32 0.06
 27.03.13 10:00 0.16 0.00 ---- 0.13 0.32 1.78 0.34 0.08
 -------- 11:00 0.13 0.01 0.19 0.20 0.28 1.70 0.23 0.06
 -------- 12:00 0.09 0.01 ---- 0.33 0.22 1.62 0.13 0.04
 -------- 13:00 0.06 0.00 ---- 0.45 0.15 1.56 0.07 0.03
 -------- 14:00 0.05 0.01 ---- 0.49 0.14 1.54 0.06 0.02
 27.03.13 15:00 0.04 0.00 ---- 0.54 0.12 1.50 0.05 0.02
 -------- 16:00 0.05 0.01 ---- 0.54 0.13 1.51 0.04 0.03
 -------- 17:00 0.04 ---- ---- 0.58 0.13 1.50 0.03 0.02
 -------- 18:00 0.04 0.01 ---- 0.56 0.16 1.51 0.02 0.03
 -------- 19:00 0.09 0.00 ---- 0.50 0.21 1.55 0.01 0.04
 27.03.13 20:00 0.08 0.01 0.21 0.44 0.24 1.56 0.01 0.03
 -------- 21:00 0.11 0.01 ---- 0.23 0.38 1.61 0.01 0.03
 -------- 22:00 0.12 0.00 ---- 0.11 0.45 1.60 0.02 0.04
 -------- 23:00 0.13 0.01 0.25 0.02 0.51 1.65 0.08 0.05
 -------- 00:00 0.13 0.01 0.12 0.01 0.51 1.62 0.06 0.04
 28.03.13 01:00 0.11 0.01 0.42 0.02 0.51 1.66 0.05 0.04
 -------- 02:00 0.10 0.02 0.79 0.01 0.50 1.82 0.07 0.04
 -------- 03:00 0.11 0.02 1.42 0.01 0.50 1.97 0.08 0.04
 -------- 04:00 0.10 0.01 0.25 0.06 0.44 1.58 0.03 0.03
 -------- 05:00 0.10 0.00 ---- 0.06 0.43 1.58 0.02 0.03
 28.03.13 06:00 0.10 ---- ---- 0.02 0.45 1.59 0.06 0.04
 -------- 07:00 0.05 ---- ---- 0.03 0.42 1.61 0.10 0.03
 -------- 08:00 0.06 ---- ---- 0.09 0.37 1.61 0.13 0.04
 -------- 09:00 0.06 0.00 ---- 0.15 0.31 1.62 0.15 0.05
 -------- 10:00 0.07 0.01 0.12 0.20 0.26 1.64 0.18 0.06
 28.03.13 11:00 0.05 0.01 ---- 0.24 0.24 1.62 0.17 0.06
 -------- 12:00 0.04 0.02 ---- 0.32 0.21 1.58 0.12 0.05
 -------- 13:00 0.02 0.01 ---- 0.48 0.12 1.51 0.05 0.02
 -------- 14:00 ---- 0.00 ---- 0.55 0.10 1.49 0.03 0.02
 -------- 15:00 0.02 0.02 ---- 0.54 0.11 1.51 0.04 0.02
 28.03.13 16:00 ---- 0.00 ---- 0.55 0.12 1.50 0.03 0.03
 -------- 17:00 ---- 0.01 ---- 0.54 0.14 1.52 0.03 0.03
 -------- 18:00 ---- ---- ---- 0.57 0.14 1.48 0.02 0.02
 -------- 19:00 0.04 0.01 ---- 0.52 0.19 1.52 0.01 0.03
 -------- 20:00 0.05 0.01 0.29 0.33 0.30 1.62 0.01 0.03
 28.03.13 21:00 0.08 0.02 0.38 0.17 0.40 1.62 0.01 0.04
 -------- 22:00 0.08 0.02 0.50 0.06 0.48 1.62 0.04 0.04
 -------- 23:00 0.08 0.03 0.50 0.04 0.50 1.60 0.03 0.04
