 Date Time CO H2S OZ NO2 CHX NO PM10
 02.12.12 12:00 0.06 ---- 0.03 0.13 1.64 0.10 ----
 -------- 13:00 0.07 ---- 0.04 0.13 1.69 0.12 ----
 -------- 14:00 0.07 ---- 0.04 0.13 1.64 0.09 ----
 -------- 15:00 0.07 ---- 0.03 0.16 1.63 0.08 ----
 -------- 16:00 0.07 ---- 0.02 0.16 1.65 0.10 ----
 02.12.12 17:00 0.07 ---- 0.01 0.19 1.63 0.06 ----
 -------- 18:00 0.07 ---- 0.01 0.20 1.64 0.06 ----
 -------- 19:00 0.09 ---- 0.01 0.21 1.67 0.09 ----
 -------- 20:00 0.09 ---- 0.01 0.22 1.66 0.07 ----
 -------- 21:00 0.08 ---- 0.01 0.23 1.64 0.07 ----
 02.12.12 22:00 0.07 ---- 0.01 0.23 1.71 0.05 ----
 -------- 23:00 0.07 ---- 0.01 0.24 1.67 0.06 ----
 -------- 00:00 0.08 0.25 0.01 0.23 1.65 0.09 ----
 -------- 01:00 0.06 0.38 ---- 0.24 1.65 0.08 ----
 -------- 02:00 0.06 0.25 0.01 0.26 1.62 0.05 ----
 03.12.12 03:00 0.06 0.17 0.01 0.27 1.65 0.05 ----
 -------- 04:00 0.06 0.12 0.01 0.27 1.63 0.03 ----
 -------- 05:00 0.04 0.12 0.05 0.24 1.58 0.01 ----
 -------- 06:00 0.04 0.12 0.10 0.19 1.67 0.01 ----
 -------- 07:00 0.03 0.12 0.07 0.21 1.60 0.01 ----
 03.12.12 08:00 0.02 ---- 0.04 0.22 1.60 0.03 ----
 -------- 09:00 0.02 ---- 0.08 0.19 1.58 0.04 ----
 -------- 10:00 0.03 ---- 0.09 0.19 1.60 0.04 ----
 -------- 11:00 0.02 ---- 0.10 0.19 1.62 0.03 ----
 -------- 12:00 0.02 ---- 0.07 0.20 1.61 0.09 ----
 03.12.12 13:00 0.02 ---- 0.10 0.19 1.58 0.05 ----
 -------- 14:00 0.02 ---- 0.08 0.22 1.67 0.07 ----
 -------- 15:00 0.02 ---- 0.12 0.18 1.65 0.04 ----
 -------- 16:00 0.02 ---- 0.13 0.20 1.60 0.04 ----
 -------- 17:00 0.02 ---- 0.12 0.21 1.63 0.02 ----
 03.12.12 18:00 0.02 ---- 0.10 0.21 1.64 0.02 ----
 -------- 19:00 0.03 ---- 0.13 0.19 1.63 0.01 ----
 -------- 20:00 0.02 ---- 0.17 0.16 1.59 0.01 ----
 -------- 21:00 0.02 ---- 0.19 0.13 1.63 0.01 ----
 -------- 22:00 0.02 ---- 0.19 0.13 1.61 0.01 ----
 03.12.12 23:00 0.02 ---- 0.16 0.14 1.66 0.01 ----
 -------- 00:00 0.02 0.12 0.23 0.10 1.61 0.01 ----
 -------- 01:00 0.02 0.12 0.23 0.09 1.62 0.00 ----
 -------- 02:00 0.02 0.21 0.26 0.08 1.58 0.01 ----
 -------- 03:00 ---- 0.21 0.28 0.07 1.68 0.00 ----
 04.12.12 04:00 0.02 0.25 0.26 0.07 1.68 0.00 ----
 -------- 05:00 0.02 0.29 0.23 0.09 1.62 0.00 ----
 -------- 06:00 0.02 0.25 0.18 0.12 1.60 0.01 ----
 -------- 07:00 0.05 0.25 0.12 0.15 1.71 0.01 ----
 -------- 08:00 0.06 0.25 0.09 0.15 1.70 0.03 ----
 04.12.12 09:00 0.06 0.29 0.05 0.17 1.76 0.03 ----
 -------- 10:00 0.07 0.58 0.04 0.18 1.74 0.05 ----
 -------- 11:00 0.07 1.04 0.02 0.15 1.79 0.11 ----
