 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 23.09.12 12:00 0.04 ---- 0.12 0.12 0.11 1.54 0.02 0.12
 -------- 13:00 0.05 ---- 0.12 0.11 0.12 1.55 0.02 0.15
 -------- 14:00 0.05 ---- 0.12 0.10 0.12 1.54 0.02 0.16
 -------- 15:00 0.10 ---- 0.25 0.03 0.18 1.60 0.07 0.13
 -------- 16:00 0.08 ---- 0.25 0.04 0.17 1.60 0.05 0.11
 23.09.12 17:00 0.11 ---- 0.29 0.02 0.17 1.61 0.07 0.11
 -------- 18:00 0.10 ---- 0.25 0.02 0.17 1.58 0.06 0.08
 -------- 19:00 0.11 ---- 0.25 0.01 0.18 1.58 0.06 0.07
 -------- 20:00 0.13 ---- 0.25 0.01 0.17 1.56 0.05 0.07
 -------- 21:00 0.09 ---- 0.21 0.04 0.16 1.52 0.04 0.05
 23.09.12 22:00 0.07 ---- 0.12 0.10 0.15 1.48 0.01 0.03
 -------- 23:00 0.06 ---- 0.12 0.11 0.16 1.47 0.00 0.03
 -------- 00:00 0.06 ---- 0.12 0.13 0.13 1.46 0.00 0.03
 -------- 01:00 0.04 ---- 0.12 0.15 0.10 1.47 0.00 0.03
 -------- 02:00 0.04 ---- 0.12 0.13 0.10 1.48 0.00 0.04
 24.09.12 03:00 0.04 ---- 0.12 0.13 0.09 1.50 0.00 0.03
 -------- 04:00 0.04 ---- 0.12 0.12 0.09 1.52 0.00 0.03
 -------- 05:00 0.04 ---- 0.12 0.13 0.09 1.53 0.00 0.02
 -------- 06:00 0.04 ---- 0.12 0.16 0.08 1.50 0.00 0.01
 -------- 07:00 0.03 ---- 0.12 0.12 0.14 1.52 0.01 0.02
 24.09.12 08:00 0.03 ---- 0.25 0.05 0.19 1.55 0.02 0.04
 -------- 09:00 0.05 ---- 0.25 0.05 0.16 1.54 0.03 0.04
 -------- 10:00 0.03 ---- 0.25 0.08 0.13 1.51 0.03 0.04
 -------- 11:00 0.02 ---- 0.17 0.11 0.11 1.48 0.02 0.03
 -------- 12:00 0.02 ---- 0.21 0.12 0.12 1.48 0.02 0.03
 24.09.12 13:00 0.02 ---- 0.12 0.15 0.11 1.48 0.02 0.03
 -------- 14:00 0.02 ---- 0.12 0.18 0.09 1.47 0.02 0.03
 -------- 15:00 0.02 ---- 0.17 0.17 0.10 1.47 0.01 0.03
 -------- 16:00 0.02 ---- 0.21 0.16 0.12 1.47 0.01 0.04
 -------- 17:00 0.02 ---- 0.25 0.14 0.12 1.47 0.02 0.03
 24.09.12 18:00 0.02 ---- 0.25 0.12 0.13 1.49 0.02 0.03
 -------- 19:00 0.03 ---- 0.25 0.09 0.13 1.49 0.01 0.03
 -------- 20:00 0.06 ---- 0.25 0.06 0.15 1.49 0.02 0.02
 -------- 21:00 0.05 ---- 0.25 0.10 0.13 1.48 0.01 0.02
 -------- 22:00 0.05 ---- 0.25 0.09 0.13 1.49 0.01 0.02
 24.09.12 23:00 0.04 ---- 0.25 0.08 0.12 1.48 0.01 0.02
 -------- 00:00 0.04 ---- 0.25 0.09 0.11 1.49 0.01 0.02
 -------- 01:00 0.04 ---- 0.25 0.08 0.10 1.49 0.00 0.02
 -------- 02:00 0.03 ---- 0.75 0.09 0.09 1.52 0.00 0.02
 -------- 03:00 0.03 ---- 0.79 0.11 0.07 1.54 0.00 0.02
 25.09.12 04:00 0.03 ---- 0.96 0.12 0.07 1.56 0.00 0.02
 -------- 05:00 0.04 ---- 0.79 0.12 0.08 1.55 0.00 0.02
 -------- 06:00 0.04 ---- 0.54 0.12 0.08 1.52 0.00 0.02
 -------- 07:00 0.04 ---- 0.33 0.10 0.11 1.52 0.01 0.03
 -------- 08:00 0.05 ---- 0.38 0.09 0.12 1.51 0.01 0.03
 25.09.12 09:00 0.04 ---- 0.42 0.11 0.11 1.53 0.01 0.03
 -------- 10:00 0.04 ---- 0.38 0.12 0.11 1.52 0.02 0.04
 -------- 11:00 0.04 ---- 0.33 0.14 0.10 1.52 0.02 0.04
