 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 11.12.12 12:00 0.05 0.01 ---- 0.30 0.16 1.52 0.02 ----
 -------- 13:00 0.06 0.00 ---- 0.26 0.17 1.53 0.02 ----
 -------- 14:00 0.06 0.00 ---- 0.24 0.18 1.57 0.03 ----
 -------- 15:00 0.05 ---- ---- 0.24 0.18 1.83 0.03 ----
 -------- 16:00 0.05 ---- ---- 0.24 0.16 1.59 0.03 ----
 11.12.12 17:00 0.04 ---- ---- 0.29 0.13 1.56 0.03 ----
 -------- 18:00 0.04 ---- ---- 0.31 0.14 1.54 0.02 ----
 -------- 19:00 0.05 ---- ---- 0.18 0.21 1.56 0.03 ----
 -------- 20:00 0.06 ---- ---- 0.14 0.20 1.59 0.03 ----
 -------- 21:00 0.06 0.00 ---- 0.11 0.21 1.61 0.03 ----
 11.12.12 22:00 0.07 0.00 ---- 0.09 0.21 1.61 0.03 ----
 -------- 23:00 0.06 0.01 ---- 0.09 0.23 1.61 0.03 ----
 -------- 00:00 0.07 0.01 0.12 0.07 0.24 1.62 0.04 0.13
 -------- 01:00 0.06 0.02 0.12 0.09 0.24 1.59 0.02 0.12
 -------- 02:00 0.06 0.02 0.12 0.12 0.21 1.57 0.01 0.10
 12.12.12 03:00 0.05 0.02 0.12 0.15 0.20 1.56 0.01 0.08
 -------- 04:00 0.05 0.02 0.12 0.18 0.17 1.56 0.01 0.08
 -------- 05:00 0.05 0.02 0.12 0.15 0.19 1.57 0.02 0.08
 -------- 06:00 0.06 0.02 0.12 0.08 0.23 1.57 0.05 0.08
 -------- 07:00 0.06 0.02 0.12 0.12 0.19 1.57 0.05 0.08
 12.12.12 08:00 0.06 0.02 0.12 0.13 0.19 1.58 0.03 0.08
 -------- 09:00 0.06 0.02 0.12 0.10 0.20 1.59 0.05 0.08
 -------- 10:00 0.06 0.02 0.12 0.11 0.19 1.58 0.04 0.08
 -------- 11:00 0.07 0.02 0.12 0.12 0.17 1.60 0.07 0.08
 -------- 12:00 0.07 0.04 0.46 0.15 0.14 1.61 0.07 0.08
 12.12.12 13:00 0.07 0.04 0.42 0.15 0.13 1.60 0.07 0.08
 -------- 14:00 0.07 0.04 0.50 0.16 0.13 1.60 0.07 0.08
 -------- 15:00 0.10 0.04 0.50 0.09 0.15 1.65 0.20 0.08
 -------- 16:00 0.13 0.04 0.54 0.03 0.14 1.64 0.36 0.09
 -------- 17:00 0.12 0.13 0.71 0.02 0.19 1.72 0.25 0.11
 12.12.12 18:00 0.10 0.35 1.04 0.03 0.26 1.87 0.14 0.12
 -------- 19:00 0.06 0.24 0.58 0.03 0.24 1.80 0.16 0.10
 -------- 20:00 0.04 0.32 0.96 0.03 0.25 1.78 0.11 0.10
 -------- 21:00 0.04 0.14 0.42 0.02 0.16 1.66 0.28 0.08
 -------- 22:00 0.04 0.12 0.38 0.02 0.18 1.64 0.23 0.07
 12.12.12 23:00 0.02 0.09 0.38 0.04 0.19 1.62 0.16 0.07
 -------- 00:00 0.03 0.05 0.21 0.01 0.16 1.59 0.27 0.06
 -------- 01:00 0.07 0.06 0.21 0.02 0.21 1.62 0.20 0.06
 -------- 02:00 0.08 0.05 0.17 0.02 0.22 1.58 0.18 0.06
 -------- 03:00 0.06 0.03 0.21 0.05 0.22 1.54 0.10 0.05
 13.12.12 04:00 0.07 0.02 0.12 0.06 0.23 1.55 0.10 0.05
 -------- 05:00 0.05 0.02 0.12 0.08 0.23 1.54 0.08 0.05
 -------- 06:00 0.04 0.02 0.17 0.11 0.22 1.53 0.08 0.05
 -------- 07:00 0.03 0.02 0.17 0.28 0.13 1.51 0.02 0.05
 -------- 08:00 0.03 0.02 0.25 0.30 0.12 1.51 0.02 0.05
 13.12.12 09:00 0.02 0.02 0.25 0.28 0.14 1.51 0.02 0.05
 -------- 10:00 0.02 0.02 0.25 0.28 0.15 1.53 0.02 0.04
 -------- 11:00 0.02 ---- ---- 0.23 0.18 1.52 0.04 0.05
