 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 04.01.13 12:00 0.06 0.01 0.33 0.06 0.21 1.60 0.05 0.04
 -------- 13:00 0.06 0.01 0.29 0.06 0.22 1.57 0.05 0.03
 -------- 14:00 0.07 0.01 0.29 0.06 0.22 1.59 0.06 0.04
 -------- 15:00 0.07 0.01 0.38 0.09 0.23 1.65 0.03 0.04
 -------- 16:00 0.08 0.01 0.33 0.03 0.26 1.66 0.07 0.05
 04.01.13 17:00 0.08 0.01 0.42 0.02 0.28 1.63 0.05 0.04
 -------- 18:00 0.08 0.01 0.33 0.01 0.28 1.64 0.06 0.04
 -------- 19:00 0.07 0.01 0.38 0.01 0.27 1.65 0.08 0.06
 -------- 20:00 0.08 0.01 0.42 0.01 0.24 1.68 0.13 0.07
 -------- 21:00 0.07 0.01 0.33 0.01 0.24 1.64 0.11 0.06
 04.01.13 22:00 0.07 0.01 0.38 0.01 0.24 1.63 0.09 0.05
 -------- 23:00 0.09 0.01 0.33 0.01 0.22 1.67 0.14 0.06
 -------- 00:00 0.07 0.01 0.21 0.01 0.25 1.69 0.10 0.05
 -------- 01:00 0.07 0.02 0.62 ---- 0.25 1.79 0.11 0.06
 -------- 02:00 0.11 0.03 1.08 0.01 0.22 1.88 0.23 0.06
 05.01.13 03:00 0.12 0.03 0.79 0.01 0.15 2.03 0.28 0.07
 -------- 04:00 0.13 0.03 0.83 0.01 0.13 1.97 0.29 0.07
 -------- 05:00 0.13 0.03 1.00 0.01 0.13 1.85 0.27 0.07
 -------- 06:00 0.07 0.03 1.12 0.01 0.22 1.75 0.13 0.05
 -------- 07:00 0.09 0.03 1.08 0.01 0.25 1.97 0.11 0.04
 05.01.13 08:00 0.08 0.02 0.67 0.01 0.27 1.89 0.05 0.03
 -------- 09:00 0.08 0.02 0.38 0.01 0.28 1.74 0.05 0.04
 -------- 10:00 0.09 0.02 0.38 0.01 0.26 1.89 0.10 0.05
 -------- 11:00 0.09 0.01 0.38 0.02 0.22 1.94 0.10 0.05
 -------- 12:00 0.08 0.02 0.38 0.04 0.22 1.79 0.09 0.05
 05.01.13 13:00 0.07 0.01 0.33 0.07 0.23 1.67 0.06 0.04
 -------- 14:00 0.07 0.01 0.29 0.08 0.25 1.66 0.05 0.03
 -------- 15:00 0.07 0.01 0.29 0.07 0.24 1.71 0.05 0.04
 -------- 16:00 0.07 0.01 0.29 0.08 0.23 1.62 0.06 0.04
 -------- 17:00 0.08 0.01 0.29 0.04 0.24 1.65 0.05 0.04
 05.01.13 18:00 0.06 0.01 0.25 0.04 0.25 1.62 0.03 0.03
 -------- 19:00 0.06 0.01 0.25 0.03 0.24 1.59 0.03 0.03
 -------- 20:00 0.05 0.01 0.25 0.04 0.23 1.58 0.02 0.03
 -------- 21:00 0.06 0.01 0.21 0.02 0.23 1.68 0.03 0.06
 -------- 22:00 0.06 0.01 0.25 0.07 0.21 1.58 0.02 0.03
 05.01.13 23:00 0.05 0.01 0.25 0.11 0.19 1.57 0.02 0.03
 -------- 00:00 0.06 0.01 0.17 0.04 0.22 1.60 0.02 0.03
 -------- 01:00 0.05 0.01 0.12 0.05 0.22 1.59 0.01 0.03
 -------- 02:00 0.04 0.01 0.12 0.08 0.19 1.60 0.01 0.03
 -------- 03:00 0.04 0.01 0.12 0.12 0.16 1.58 0.01 0.02
 06.01.13 04:00 0.04 0.01 0.12 0.14 0.14 1.55 0.00 0.03
 -------- 05:00 0.04 0.01 0.12 0.15 0.14 1.53 0.01 0.03
 -------- 06:00 0.04 0.01 0.12 0.13 0.14 1.52 0.01 0.03
 -------- 07:00 0.04 0.01 0.12 0.09 0.17 1.54 0.01 0.03
 -------- 08:00 0.04 0.01 0.12 0.09 0.17 1.55 0.02 0.03
 06.01.13 09:00 0.05 0.01 0.12 0.05 0.19 1.56 0.02 0.03
 -------- 10:00 0.06 0.01 0.12 0.03 0.19 1.59 0.03 0.04
 -------- 11:00 0.06 0.01 ---- 0.06 0.17 1.61 0.05 0.04
