 Date Time CO H2S OZ NO2 CHX NO PM10
 07.12.12 12:00 0.03 ---- 0.16 0.13 1.51 0.04 ----
 -------- 13:00 0.03 ---- 0.15 0.14 1.52 0.04 ----
 -------- 14:00 0.03 ---- 0.10 0.17 1.52 0.08 ----
 -------- 15:00 0.06 ---- 0.02 0.17 1.57 0.22 ----
 -------- 16:00 0.07 ---- 0.01 0.16 1.66 0.25 ----
 07.12.12 17:00 0.10 ---- 0.01 0.20 1.76 0.17 ----
 -------- 18:00 0.07 0.19 0.01 0.23 1.78 0.10 ----
 -------- 19:00 0.07 0.12 0.03 0.22 1.75 0.04 ----
 -------- 20:00 0.08 0.17 0.03 0.20 1.79 0.05 ----
 -------- 21:00 0.08 0.29 0.02 0.19 1.78 0.05 ----
 07.12.12 22:00 0.07 0.17 0.02 0.18 1.72 0.05 ----
 -------- 23:00 0.07 0.12 0.02 0.17 1.63 0.04 ----
 -------- 00:00 0.07 0.25 0.01 0.17 1.69 0.04 ----
 -------- 01:00 0.06 0.33 0.01 0.17 1.77 0.04 ----
 -------- 02:00 0.06 0.25 0.04 0.17 1.92 0.02 ----
 08.12.12 03:00 0.07 0.21 0.02 0.19 1.91 0.02 ----
 -------- 04:00 0.06 0.12 0.02 0.18 1.79 0.02 ----
 -------- 05:00 0.06 ---- 0.02 0.17 1.71 0.02 ----
 -------- 06:00 0.06 ---- 0.02 0.16 1.69 0.02 ----
 -------- 07:00 0.07 ---- 0.01 0.17 1.79 0.05 ----
 08.12.12 08:00 0.09 ---- 0.01 0.16 1.81 0.10 ----
 -------- 09:00 0.10 0.12 0.01 0.15 1.90 0.11 ----
 -------- 10:00 0.10 ---- 0.01 0.15 1.97 0.13 ----
 -------- 11:00 0.11 ---- 0.02 0.14 1.92 0.15 ----
 -------- 12:00 0.11 0.38 0.03 0.12 1.94 0.17 ----
 08.12.12 13:00 0.10 ---- 0.03 0.11 1.68 0.14 ----
 -------- 14:00 0.09 0.12 0.04 0.11 1.66 0.09 ----
 -------- 15:00 0.09 0.12 0.03 0.11 1.66 0.10 ----
 -------- 16:00 0.09 0.21 0.03 0.12 1.68 0.10 ----
 -------- 17:00 0.11 0.25 0.01 0.12 1.73 0.13 ----
 08.12.12 18:00 0.11 0.38 0.01 0.13 1.74 0.13 ----
 -------- 19:00 0.09 0.33 0.01 0.13 1.72 0.12 ----
 -------- 20:00 0.08 0.38 0.01 0.15 1.70 0.07 ----
 -------- 21:00 0.10 0.25 0.01 0.14 1.71 0.10 ----
 -------- 22:00 0.08 0.25 0.01 0.14 1.70 0.09 ----
 08.12.12 23:00 0.10 0.17 0.01 0.12 1.71 0.11 ----
 -------- 00:00 0.09 0.19 0.01 0.10 1.73 0.14 ----
 -------- 01:00 0.13 0.17 0.01 0.08 1.82 0.25 ----
 -------- 02:00 0.15 0.62 ---- 0.05 2.27 0.34 ----
 -------- 03:00 0.13 0.50 0.01 0.08 2.60 0.24 ----
 09.12.12 04:00 0.13 0.58 ---- 0.07 2.41 0.23 ----
 -------- 05:00 0.13 0.42 ---- 0.07 2.30 0.28 ----
 -------- 06:00 0.14 0.33 0.01 0.06 2.08 0.34 ----
 -------- 07:00 0.09 0.21 0.01 0.09 1.95 0.25 ----
 -------- 08:00 0.09 0.12 0.01 0.10 1.89 0.21 ----
 09.12.12 09:00 0.07 ---- 0.01 0.10 1.75 0.15 ----
 -------- 10:00 0.06 ---- 0.01 0.14 1.70 0.07 ----
 -------- 11:00 0.06 ---- 0.04 0.17 1.67 0.06 ----
