 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 15.04.13 00:00 0.10 0.01 0.25 0.16 0.47 1.65 0.01 0.16
 -------- 01:00 0.09 0.02 0.12 0.13 0.47 1.70 0.03 0.18
 -------- 02:00 0.08 0.02 0.12 0.23 0.36 1.67 0.01 0.16
 -------- 03:00 0.06 0.02 0.12 0.31 0.24 1.66 0.01 0.12
 -------- 04:00 0.06 0.01 0.12 0.27 0.25 1.68 0.00 0.11
 15.04.13 05:00 0.09 0.01 0.12 0.12 0.39 1.74 0.03 0.13
 -------- 06:00 0.15 0.01 0.21 0.04 0.41 1.87 0.13 0.14
 -------- 07:00 0.16 0.02 0.25 0.01 0.39 1.95 0.27 0.19
 -------- 08:00 0.11 0.02 0.25 0.11 0.37 1.84 0.10 0.18
 -------- 09:00 0.11 0.03 0.21 0.17 0.35 1.79 0.09 0.21
 15.04.13 10:00 0.11 0.03 0.25 0.17 0.37 1.81 0.12 0.28
 -------- 11:00 0.10 0.03 0.25 0.22 0.37 1.74 0.11 0.26
 -------- 12:00 0.09 0.03 0.21 0.32 0.35 1.70 0.08 0.23
 -------- 13:00 0.06 0.02 0.17 0.46 0.27 1.61 0.04 0.17
 -------- 14:00 0.05 0.03 0.12 0.59 0.20 1.58 0.02 0.15
 15.04.13 15:00 0.05 0.02 0.12 0.62 0.18 1.56 0.02 0.13
 -------- 16:00 0.05 0.02 0.12 0.61 0.20 1.57 0.02 0.17
 -------- 17:00 0.04 0.02 0.25 0.64 0.19 1.55 0.01 0.15
 -------- 18:00 0.06 0.02 0.21 0.64 0.20 1.57 0.01 0.16
 -------- 19:00 0.04 0.02 0.17 0.64 0.22 1.56 0.01 0.16
 15.04.13 20:00 0.05 0.02 0.17 0.51 0.32 1.60 0.02 0.21
 -------- 21:00 0.07 0.02 0.21 0.42 0.40 1.71 0.03 0.23
 -------- 22:00 0.11 0.03 0.21 0.28 0.48 1.71 0.04 0.27
 -------- 23:00 0.17 0.03 0.29 0.06 0.64 1.77 0.10 0.34
 -------- 00:00 0.09 0.02 0.12 0.16 0.55 1.64 0.03 0.21
 16.04.13 01:00 0.07 0.02 0.12 0.19 0.54 1.65 0.01 0.19
 -------- 02:00 0.07 0.02 0.12 0.18 0.55 1.66 0.02 0.18
 -------- 03:00 0.04 0.02 0.12 0.37 0.37 1.61 0.01 0.12
 -------- 04:00 0.05 0.02 ---- 0.39 0.33 1.59 0.01 0.11
 -------- 05:00 0.15 0.02 0.12 0.07 0.52 1.80 0.15 0.19
 16.04.13 06:00 0.25 0.02 0.21 0.01 0.41 2.17 0.50 0.33
 -------- 07:00 0.33 0.03 0.33 0.01 0.29 2.68 0.82 0.37
 -------- 08:00 0.54 0.03 0.42 0.01 0.23 2.68 1.09 0.43
 -------- 09:00 0.36 0.04 0.33 0.04 0.48 2.09 0.57 0.65
 -------- 10:00 0.16 0.03 0.21 0.22 0.48 1.79 0.16 0.39
 16.04.13 11:00 0.09 0.02 0.12 0.35 0.42 1.73 0.06 0.22
 -------- 12:00 0.08 0.03 0.12 0.42 0.33 1.66 0.05 0.21
 -------- 13:00 0.06 0.03 0.12 0.56 0.21 1.59 0.02 0.16
 -------- 14:00 0.05 0.03 0.12 0.61 0.18 1.60 0.02 0.15
 -------- 15:00 0.04 0.02 0.12 0.65 0.16 1.59 0.01 0.15
 16.04.13 16:00 0.04 0.02 0.12 0.70 0.11 1.54 0.01 0.13
 -------- 17:00 0.04 0.02 0.12 0.66 0.12 1.61 0.01 0.11
 -------- 18:00 0.04 0.02 0.17 0.63 0.12 1.61 0.01 0.10
 -------- 19:00 0.08 0.02 0.29 0.58 0.16 1.69 0.01 0.12
 -------- 20:00 0.08 0.02 0.25 0.53 0.19 1.55 0.00 0.11
 16.04.13 21:00 0.10 0.02 0.25 0.35 0.31 1.61 0.00 0.15
 -------- 22:00 0.12 0.03 0.21 0.26 0.37 1.71 0.01 0.19
 -------- 23:00 0.15 0.03 1.29 0.05 0.56 2.87 0.03 0.22
